ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_N_Los
-298.5528583051008,803815.3578555139,611472.9380176973,54820.40058020998,15854.81364990235,11123.604449892018,29870.95009282248,66720.05473449363,1897.332891151576,2875.5991667096123,2797.5076819404926,0.0227362505776382
-491.1432747316184,782455.1314247466,614617.4906529343,73117.68003751921,16334.92965050926,10281.13727717164,28721.100806564107,47703.40357122393,2435.4447363135687,2890.6674151765483,2814.2349994933675,0.0224271599059574
-330.0184188625503,790670.0066502105,632886.0708150167,82268.26185390443,16291.664137923744,9690.654674452971,27867.17455133979,58632.063300725626,2586.4212294359986,2895.8678734190603,2835.1568170771725,0.0359594868837936
-371.51739950390186,777144.8894085247,601759.9393859522,55679.32522926401,16297.095653224613,11834.619889522142,29866.158469818223,26167.813322354305,1821.9595898719224,2869.4655962306715,2847.313463410558,0.0216331915795257
-336.92243694707213,747041.5200371052,638650.3590196365,82553.69241799049,16760.50757316552,6386.709072973642,26912.355578819428,46240.537554370654,2878.1456508268525,3018.78328106379,2897.070852712286,0.0256212120497086
-401.9419701082722,806441.1080150005,599068.8383947406,80375.5898130648,15694.474688299122,12240.256981375403,29383.89659189917,33352.55408913001,2512.330522435956,2888.852436220687,2743.0291447166564,0.0321673852468338
-474.7166409636741,763931.3527033315,587302.3656416532,50000.00004894992,16496.27479846397,11824.357799739735,29609.512866700705,25201.61720806824,1605.2034538655437,2723.9936976910844,2727.159220192276,0.0167947698147826
-355.9043559262832,795117.524962619,636714.8233872979,65139.963286187536,16244.8517222096,9607.552039559923,28781.05642448113,35930.11982807862,2314.574913874761,2939.9355172119685,2838.759756716779,0.0242054041240363
-499.6784073091914,805679.7638879002,627936.9517689613,71543.97960222718,15846.822010005171,10343.459304881062,29278.27511635027,23824.76695321192,2417.7434686682504,2944.0555203910544,2771.240143509647,0.0219416960991215
-272.4619837948618,799815.2554178701,689795.8522877207,63085.06606910163,15903.4924742445,6056.412934564613,29845.282388411903,40433.71379864582,2132.185097018039,2909.863383642562,3028.751085065825,0.0240504419607798
-320.3944349938423,765147.6436442778,673340.0546469978,50000.00000750493,16413.560967568195,5453.705363203985,29422.29858679973,32121.825871301156,1542.7076375258437,3087.2722176520547,2931.623959696049,0.01422413504028
-423.41151372433046,786885.6380786877,567889.0407809437,51205.51730880104,16223.47315034429,13374.377793947036,30056.41704703746,23230.858989479384,1880.4889637409951,2765.654145369665,2739.2282865160214,0.0220763134419912
-442.3038246038533,777601.3461193844,688718.7845278974,72216.2079391938,16495.078824677104,5237.712077619156,28150.06613368464,35442.945278805935,2565.251225982243,2982.4847428444327,2899.420638117174,0.0232514571315448
-203.94662449533243,788473.5370704922,653606.757697271,105680.26073060012,16502.516279317253,8371.57498467562,26444.162639869606,64469.186257205234,3582.1799082111665,2909.831850540367,2885.0106888897903,0.0335333455112063
-301.4610790295716,761840.9299810372,673375.7166567857,50690.26756948177,16838.86819450081,5557.08200693754,29233.71687037424,31633.54514290212,1669.0527732731534,2986.13532049315,2950.783116939464,0.0137124796219412
-290.0108003551335,812319.3054337456,598323.6341465703,81109.29195825609,15713.557341918786,13309.28063949352,28858.593915016423,45481.63843561112,2444.460374724013,2807.2394084500643,2739.0723984751226,0.0231037550850951
-389.4361264389103,784854.5004173624,586758.600028129,50437.995692445336,16439.720009021366,11373.727602670662,29921.04276721096,76070.07425947355,1636.9498446770804,2657.325708741841,2768.4117550560627,0.0218155076946918
-433.0621548745812,799666.3349181118,675279.1649549024,72848.88439165753,15882.020410255349,6956.848361418062,29846.95658249836,35162.584853659486,2574.624208888716,3023.9223963101526,2929.0391476696104,0.0251605539926738
-302.9193751246796,772146.4442037886,656998.9936182306,80154.66066224032,16479.354490106434,6747.440730265218,27928.0071422188,54388.84683264396,2696.48089975641,2988.698559869499,2880.2490881321937,0.0271275251511145
-462.14789127414986,766748.7354681417,642519.3351619389,50000.10582180011,16524.955796348902,6983.442711483279,29207.515866180995,28543.89898022029,1679.2191768416258,3069.972857883823,2900.2268513286635,0.0251163483335838
-324.0230160358758,781345.288083963,575610.7796885868,58920.860547398486,16210.194918743677,12506.242491117506,29365.469898922493,28801.41739035889,1955.502069275314,2757.312541345244,2751.560025410781,0.0230914523253524
-284.7757484825654,785873.4286588946,645675.4920886073,50000.02218675665,16216.716403126871,8170.979558095103,29988.681849368204,33879.43465390084,1556.713620094506,2956.496631794452,2855.735154071414,0.020533419123725
-463.59420025052594,798097.4806968917,675577.295285314,60315.81273082205,16060.437102423695,6640.136348121768,29392.205057019502,26798.379242101066,2028.4505435826231,2983.561303766972,2889.5466891158185,0.0147634305437382
-314.58493486280645,791286.9429223704,674997.6705461937,52805.77356463215,16184.469297548176,6354.484969601117,29740.957970921576,36055.32540162174,1680.716271853886,2956.903527752876,2987.3182084363534,0.0313459661285756
