ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_H_N
-180.6830326509404,819712.7443956721,678621.0123622691,53415.81204254977,15253.708371444563,6703.593453048749,32435.88273814797,26286.26095401362,1824.616405951602,2458.956973459038,2897.272012732916,0.0409046913903374,0.059609322293006
-192.41291730840484,786931.922079064,681744.9720854722,50000.02514594624,16248.592245833386,5384.681469415292,31449.92475865196,22375.17219766897,1598.696774271751,2467.466912657043,2957.2156508273706,0.0229514985021847,0.0480364234404428
-150.585526169002,835294.6393929324,756632.7041185568,60958.76100989829,15229.375404416973,3352.348690033035,32317.55286029381,29647.974527607275,2120.890936806344,2371.8622225492504,3071.1453708392305,0.0292949482417149,0.0629336626208286
-206.0616417349549,809768.4485338497,702732.5367044517,56870.82758896381,15400.422105369244,5689.502496616016,31200.109207410096,27306.07030382096,1937.730101728844,2582.9973851878385,2970.525903525735,0.0267417523210698,0.049028283963206
-171.87361030677937,785408.5119694707,702576.0539308945,80054.92026062925,16069.387040107544,4331.202010880332,28789.591421558263,48789.36362261933,2836.5739183807364,2550.052312653327,3023.515347735693,0.0296972836560357,0.0493656543732194
-212.1700446595234,820866.3720357516,721490.5127789401,53973.03375711166,15312.895565922185,4587.418819120593,32938.52668958703,20765.585596667257,1745.038803077009,2470.181940680776,2994.303101588157,0.0329387847023745,0.0480753715925646
-164.13561585925737,828348.7849681153,690739.0130100294,54327.632114578,15283.927072399292,6383.679226642167,32353.404905489464,30030.3552119954,1997.732217049351,2509.436216811884,2900.629669718233,0.0299261147231677,0.0459015548304284
-151.41378649474436,793923.6986102834,701327.9138736563,56885.08448858816,16038.144034825504,4358.981537315909,30477.91274698786,24665.748529079538,1970.7381103468492,2407.275645191256,3015.017031190768,0.0186419437270026,0.0650394342853328
-153.74024659995268,800203.1102741621,673434.031244423,55092.159975347095,15767.849823441513,6823.120549667385,32064.30207500766,17848.92380374254,2007.9625340949551,2608.0524738560844,2900.705068704622,0.0243210935802241,0.0300266688214938
-160.88447000647784,803481.460745405,687982.4564811958,76471.11024824894,15792.174739783984,5151.085947085362,29953.318643568997,19859.399781856107,2808.9380383872563,2413.9349194814968,3013.7062240293617,0.0291166242371619,0.0620672012954082
-141.60209643609966,825445.0629079824,725143.9713237396,57181.97675125283,15674.739015837073,4691.222387427615,30303.70045280049,24665.26481994253,1979.4178100923975,2205.3387801011563,3059.241717471435,0.0169720062804042,0.0859810453625263
-216.5668970760768,849106.2819135663,735779.2430144595,66260.85984225238,15070.906009157014,5403.887727759851,31158.76334637179,26057.79332756491,2313.492609074899,2407.153607911931,3093.128777148277,0.0216576168625262,0.0680699407601774
-143.8339241761754,820595.6077891466,649087.1982183227,50000.041659817325,15460.859703416265,8722.665016394774,31820.56175519651,29920.198411766887,1551.6536399425231,2422.011419033384,2881.342859853891,0.0229192079944508,0.0413424717468173
-189.13862151852624,808671.9125013947,723475.8411437641,60152.8493310855,15954.635897686809,4225.536623674468,29700.89213519102,33361.684848385994,2191.7835319308942,2207.6900211768584,3082.9938666418666,0.0115011715410706,0.0953324381022781
-155.72665643366676,806943.6656103869,730623.2484347333,73515.19789526096,15695.841642291727,3679.080276778491,30253.071342282197,31244.247872025597,2738.5938627791675,2599.081349700872,3041.0792561585204,0.0294499490795061,0.0426090303873229
-183.7072649341628,798788.5104506909,657364.7041844883,50000.314179880574,16034.543756581526,7492.051974747449,30286.517314303324,24531.59125563484,1634.9487064821544,2410.416330845173,3028.008884654563,0.011876744623486,0.0521324801084402
