ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_H_N,p_N_Los
-48.08118692937641,814045.6073781893,711695.7124163533,70722.25849202709,15912.725048522836,4935.8169482545245,29848.933091438168,25683.32681655812,2405.447095812672,2497.1869941494715,3040.3068845375324,0.019153849899365,0.0527861000550474,0.0192840751806949
-15.776181102382033,822271.6330340925,672997.15960379,56579.992068625645,15642.908276294014,7640.654766250744,30754.910374734194,26541.65559490764,1823.4588939594155,2446.861569491273,3028.084236706512,0.0200068075951614,0.0603528669603545,0.023621269553914
-31.88358051001788,810127.5893885765,679320.638631648,73055.5977331613,15882.056993137345,6341.031262259887,28580.93534628676,30402.533968000607,2269.172766656831,2528.770686158612,3046.3590041486746,0.0175421344482202,0.0544692191979392,0.023486221424853
-22.938718695895574,804888.8573865179,718038.0602282485,67257.16712865196,15988.152021206392,4453.958267728223,29135.46625089873,29848.387638145385,2172.053688414345,2550.936788734202,3002.978854350385,0.0183473295673423,0.0458931994190674,0.0232145157628664
-28.563913645654324,789118.5354236098,720917.2076385145,60446.51537144344,16202.777673588816,3476.7712864278524,30706.30532625945,22613.81222223906,2003.6875274512377,2537.0080228137963,2997.25914758014,0.0170466938161801,0.0461891693214543,0.0199030427977513
-31.204309303962763,825271.4455933999,711041.5317679408,71148.74703797388,15376.670082592886,5449.6807890408745,30365.979881187108,25778.05265989808,2457.7049681452536,2519.0861271470158,2986.9168147962,0.0239345790787878,0.0522294603966862,0.0128815545235917
-42.81419897239034,819151.1527699482,773400.3135087246,62366.87592318786,15505.055815179792,2264.5458012696936,30513.087498322744,24877.88892151788,2044.508953179993,2349.1804526845485,3119.2510852386463,0.0191926563094218,0.061169074011653,0.0229648441099323
-35.12470106297184,792632.1473561967,681910.3019581946,66334.63239061044,16132.146739384869,5880.979749786975,29211.34873955277,38173.87731433321,2363.9591010712343,2475.788400120045,2916.3195540542765,0.0187547813324603,0.0504941566333017,0.0216233019778085
-24.120178798590103,795555.6837359542,714920.7212107949,50570.76088234919,16008.844532308536,4283.298020129088,30194.417464453552,21577.43013834256,1646.7849436378126,2579.6409968277308,2959.5770490968034,0.0194097485885934,0.0451040191408827,0.0218254940025737
-37.08075810962721,805207.8699104951,633985.5612341366,69541.28550927053,15659.694877315378,8896.567723398468,30612.968379064536,20638.377842932005,2428.4483258017394,2400.022444463819,2888.616068264813,0.0340654773402767,0.0370874165617692,0.0089613355464469
-30.329075394214875,837403.3331922736,707700.2526949102,79263.57537486241,15443.394068462936,6559.701175087627,29697.53289268429,38989.67691633645,2383.02454833915,2471.338947520122,2982.354462336096,0.0124587112050853,0.0562605528387061,0.02332741649525
-25.3694582701889,803010.8745267873,690790.9410867514,54878.79950301668,15921.141622899371,5894.874175785859,30441.345665418776,34652.170049379536,1931.6972984693236,2510.901838779253,2981.734859161824,0.0123365323259934,0.065425630944229,0.0128644414426225
-69.23983632277856,815402.3243260166,687004.8956689155,70150.31897143018,15800.474460478275,6486.423594481267,29449.394229292408,71024.16087541485,2239.77085121727,2416.7799780535643,2973.084333451576,0.0153697338101557,0.0576443340463237,0.0248321804427291
-26.837902870256976,826911.8972783079,686221.0403410203,50000.000302088585,15561.74402965192,6787.742347234508,31957.375853036123,32915.759626034414,1571.7914077658272,2507.3684522859944,3063.77933231076,0.0144433081926479,0.048141921794585,0.0275251141147507
-30.469618452126944,816440.0596470133,751094.9186715072,62320.68376633319,15677.71857754054,3107.81080842174,30385.23809890536,23223.32959771442,2036.2935519180407,2414.9475778530423,3016.256891869929,0.0167752890377858,0.0505838878694512,0.0173023604887562
