ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den
-738.0415497919616,797733.1613016281,607391.0411034791,50000.001658746594,16153.385465724206,10710.47541787585,30838.47970758633,12604.04891495716,1613.8804210284106,2902.8583468877764,2834.989671035991
-613.2176044550192,791497.4463821503,693391.8873960993,53426.52696667192,16133.569862156086,5699.5264310318935,29760.146085067816,24795.944996131373,1761.3748246236362,3056.634365814976,2999.260772735144
-647.7115042538719,843903.4629691133,727170.5315050203,70746.87732000786,15105.832376317509,6596.144637493303,30625.28345421684,32019.788304657177,2383.597549263798,3185.0653166988523,3102.967749664665
-503.9308691468259,793788.2040625688,613960.8449480478,50000.01980407191,15956.601793075144,10873.186132770144,30509.608006827544,34762.038760100084,1587.9299583053769,2717.822813269618,2819.2938257190663
-525.4869187421228,767635.110043057,676477.4777679277,50000.00006105845,16383.956042591331,5780.933418458289,29690.84319221199,29437.92926938564,1645.589517834127,3040.0192396723023,2968.820899562098
-535.8154070567084,753404.0954683837,675646.333139183,64238.73932934082,16546.83995536659,4727.774535485934,29405.48906324581,29398.759656503284,2288.68415431463,3006.537103647293,2949.4330916392764
-363.3718664700208,763687.7644234673,591677.3351979769,50000.00000001715,16622.374629977636,10852.249240199806,29234.53891037514,23446.91904177377,1617.2322986192326,2785.5916757504174,2855.034099866251
-651.0218857748307,823371.7695904333,565200.6071258707,56010.82034975011,15303.288029230867,15650.511615452511,31262.8883168066,26124.15447890789,2082.585437732617,2794.324510788343,2688.455635222915
-736.2040279570828,792487.6005983315,685759.1820277455,64838.43794339308,15940.225077376435,6697.835518245314,29834.813114849137,28968.083499932207,2536.3275602476706,3117.025163350549,2974.481001923924
-354.76476881561905,753356.7994432127,672660.038803218,59132.665105354215,16839.322043314554,5222.802886719564,28867.624156785278,22941.88267935648,2000.905883848556,3075.55607920937,2903.8463734119923
-603.9174932286523,795153.6333792193,627808.6369257403,58985.70106481352,16145.584785617171,10638.521244244794,30554.84176354257,22893.88272696996,1787.5448072713452,2859.296590564065,2812.887020575048
-795.3321636141552,810219.343165137,716906.0498356087,59855.65341974727,15460.992734174806,5302.02853500341,30575.80995097399,30694.22692741814,1954.579393820681,3133.760217571148,3009.935544025341
-593.3489161783409,814980.2475694343,628042.00946914,74635.6009512072,15790.305348072794,11159.925739333654,29848.599127501268,26893.30746956589,2653.9786845637777,2924.413271366121,2854.3523672385672
-510.8103193703956,823535.258022394,605109.7816916227,79058.42482948005,15617.945016124711,13664.970175270855,30700.23784084666,33955.32157730747,2756.461226992148,2875.515812430508,2857.1676921300755
-692.5459607205725,799822.6887569784,587550.4047521965,82326.87823655234,15716.46875109015,11826.471880968831,29350.592400129783,32141.989622911024,2684.5594712974744,2949.057585807683,2814.9343669662235
-530.5639472079638,784613.0377537608,620612.1175506767,61984.08088286683,16198.2057673331,10015.872909297352,29494.603024353903,25594.552254878945,2038.9347721396452,2893.955766300201,2707.9992337362287
-374.24800676227767,754197.3550003963,674013.8573563708,59420.59764449056,16786.815823925837,5026.955323928068,30317.654060311652,23084.190468434084,1967.7002820327025,3040.436340993615,2885.220119872792
-482.1817480743424,822678.7122372714,606293.2468720557,62281.69138844169,15352.086217839622,12351.610706264177,31420.39281320671,19598.36349717152,2156.996315386852,2952.915157493353,2762.129095401099
-693.1545780626782,810759.7795231875,676024.4942501032,66398.47716961752,15471.090811380262,8260.354605136985,31099.015570008,24572.039204074896,2458.123395863134,2933.218700540943,2883.4378910573646
-619.2441280292313,775675.383439683,594345.5074240529,62911.80838453654,16264.72684430159,11959.21480890887,29417.43420022473,31467.5247460796,2333.380402255346,2807.526891902075,2706.885983511618
-458.2388610841297,754725.8837051096,676636.2988291354,65461.05716644463,16472.99146444885,4717.024746178879,29442.407244823786,23152.572344546857,2279.610688909401,3066.468011448909,2926.995195661888
-475.75316909418,794335.171227681,574859.9368247566,64585.47572147166,15908.44367992135,13748.449366075678,31064.289767453854,16171.481532013016,2307.831637643784,2649.414086378749,2682.128711050399
-502.7668507286369,839213.5650536879,636241.2831307448,78347.95074294452,15169.941196400265,13065.334288754804,30671.480509306417,35946.09087242648,2567.945303705762,3012.899192639131,2807.3655148431985
-407.6690948601953,811558.003093164,631983.044753054,57008.31273726794,15662.754279519657,11477.952091196808,31173.35283745449,25239.783222196675,2086.8458267681854,3139.4192891745333,2893.35047908978
-721.4177576041199,788663.7916469573,602673.15530892,61608.49064105586,16104.61686151584,10962.312393314409,29954.182534517666,70020.63509306937,1866.3657070348356,2835.0737596004547,2734.584667121771
-560.0831979514498,814432.4602181129,634053.1439014209,66884.90205746223,15669.737702306707,10496.241646363153,31664.254379807036,49860.44812036722,2388.603103536768,2941.9331779612507,2972.443471329663
-415.9563394321893,805786.654970043,725356.5833451096,53444.97568219037,15716.61240630387,4440.807229674565,31529.8024630528,16996.81721204166,1673.9038690516927,3013.992401155339,2994.594871082861
-359.4358621952893,770676.0278399371,582347.2413427718,61791.78721871061,16354.545465662331,13127.059615083765,28989.0842458128,29445.861777136008,2196.009421644459,2756.138031592857,2689.450332334965
-586.7722704962282,781941.6750692303,614295.381783773,55330.61103883162,16343.255427352113,10135.926774450094,30577.49196889868,29775.880980861693,1677.1617314146135,2894.150772872623,2718.837601191813
-947.6071656427848,748598.4285709293,657576.5528288354,58339.29619520066,16682.631921270164,5025.688235633144,28537.19989219517,33701.225207802374,2032.4270937859276,2955.816427490295,2870.601515514961
-572.0668704397497,741587.7190457337,654187.0703880119,58096.01405503609,16699.231747369624,5150.991050324074,30001.109039264968,30126.93591311411,2109.526185062974,3055.829863155413,2822.459640665599
-709.7822110311561,851063.7484638727,656710.7138664146,68040.27912521489,14743.968278248034,11205.145471008334,32109.50063162799,26247.13594512009,2453.7093673406825,2938.4527868039177,2976.1599256736663
