ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_H_N,p_N_Los
-118.95712783317391,866421.3545106406,686986.9124410875,69503.97803297135,15333.224430203298,9206.047098819046,29485.92325105644,45773.000879113606,2750.9634101606166,1946.0606712930487,2972.58757401952,0.1293787825909234,0.0206429518422165
-34.08718349224158,819508.6007965689,672086.0063120044,67603.74690750577,16126.914908233548,7993.073094905597,28981.759610082318,33874.22347286092,2373.460835185537,2203.2536327103244,2884.013292450086,0.082689913399833,0.0161914160984459
-35.04047910512354,832425.3218714669,687904.620212895,50974.47371879817,15999.589472565303,6792.084974943593,29982.756292758226,18783.443499643592,1468.356914094137,1911.839955217138,2955.334678801555,0.1436576660580314,0.0146912485400701
-90.67041125053348,853136.672222225,746662.721991101,55599.12097497483,15346.226800398868,4866.626511215822,30228.16593095011,38380.6506567836,1730.6120155228657,1924.3076335392475,3066.05082658821,0.1242843943859028,0.0187699195518432
-73.78391254170242,837079.7514981874,704751.048204825,81251.72814965823,15908.40066569212,6280.140496909718,28743.929619557726,29584.07288356816,2830.029427658737,2071.978732405962,3045.0495145195214,0.1059639925318098,0.0195730278603025
-40.689314580161096,841703.017544459,682467.4930866485,60048.612029342,15711.049094143626,7864.801652404803,29852.304570948163,27877.809177335945,1949.1570673948568,2034.416572599014,3075.4477902004483,0.1202018613783811,0.0231597726783329
-54.08808783179811,828292.5128627011,699947.5983430165,71299.68325901167,15923.716915063427,5975.530035332986,28171.2745314699,29574.685420379614,2199.012894881823,2124.357744559292,3104.145885425184,0.1064282069150954,0.023838314269482
-56.17581187385265,825134.1642641647,718421.6636974161,76264.47354496794,15974.790171797938,5441.042468217102,28218.60122090589,35216.465199934166,2502.795084585938,2166.3196147868825,3010.3443664220567,0.0874367572064891,0.024309996328871
-58.92531037948763,797458.2640873366,712411.7143624364,65417.80921762507,16377.64357199456,4328.313708840023,29617.395544691142,24380.671866244025,2196.4199591754823,2094.485978115581,3001.327978445791,0.0917110148919247,0.0194018884417112
-63.19430360603047,852942.3806195754,718756.6467448664,75925.90735926435,15363.014110765753,6152.783549598953,29431.32551639078,27830.875195138084,2663.979874665148,1992.93644644006,3023.718324635465,0.1190477310833139,0.0128226171834522
-74.78296060945101,848668.5358268429,760431.7401184294,77579.37452896005,15381.386425139608,4356.496556745992,29388.150278090816,30721.316945063263,2622.7031679630845,2009.2649264426068,3122.2930030471966,0.109066999407379,0.0239918429532385
-70.36944649205388,811624.4301742162,712081.9166573513,69995.10344779547,16167.305759185208,5116.397850326178,28370.32231425336,40420.53593800192,2515.9610569660167,2090.301849890327,2990.0729151571254,0.1014323429724214,0.0225068837917058
-49.650994959352985,815300.1642258235,723755.9306007347,60013.76275019682,16048.147472823184,4755.984527757984,29127.34851468895,26007.831129329792,2021.4930324586385,2108.632914854738,3001.6586643194714,0.1019411181168402,0.0214728559550735
-131.26369077983492,842448.0689643666,639458.4913877927,107674.22130120274,15650.439231129276,10173.29424062328,27703.668501488926,34127.914906037724,4072.0769715860592,1826.0091034611944,2931.4106050303017,0.1238187527622119,0.0094962280243781
-42.30393725562786,837531.1673074298,725048.958908207,119094.2124905478,15673.583775683155,5677.6693511504045,26975.992126232763,60767.86464944836,3753.6665234247503,2240.142114505152,3023.208060819503,0.0828850033321736,0.0239713585940824
