ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_N_Los
-71.01931257315026,813696.4278705477,622298.7625725414,61118.85384480042,15287.930875861066,10031.89475255842,31845.45548309964,26164.399186880062,1885.677284484252,3007.7938680287257,2774.159042775906,0.0327600705857317,0.0255818472457059
-82.42921352266688,796254.0162093102,619626.4873613558,50725.28402564962,15543.230790861902,9709.762521420904,31632.099811539043,33967.858197104666,1688.7390824902234,2869.8578835260287,2798.9691922259035,0.0396531959837183,0.0149382915253099
-61.898963000231966,793846.0319180882,646597.8050045038,61888.17751794236,16003.333268876931,7820.073239698297,29935.662346151552,31947.74580441777,2161.800351810231,2993.713503493123,2817.643795360816,0.032850259319539,0.0169063372009973
-103.76974932695542,805190.25905619,643930.0912695569,77631.9179877044,15562.65927789672,8401.397817215093,30043.743285847813,28847.94473147292,2670.3808760485326,3112.5013532326216,2801.330536726247,0.0329858087580823,0.0164681757178976
-77.46515170139136,829328.3985008532,672342.7941507952,64837.57901459988,15190.03459903902,7976.406002565762,31605.88068776773,39548.99884488717,2244.207357907833,2924.4189319710763,2962.862960932965,0.0250242370017446,0.0196269909565417
-68.81611676720617,780829.1306756462,673326.588363629,50000.0000196673,15932.943895540751,5753.7820893940925,31083.617432807096,27642.82585295536,1535.4510971328557,3109.034364725941,2898.5621204462072,0.0261496710690832,0.012105613776949
-65.58590066029316,786456.1677725888,575060.410936356,58914.165034072445,15933.207003438438,11748.191592962405,30967.17497248899,26054.53478794383,2169.857771964291,2811.6555529619186,2763.259892157845,0.0342081913925294,0.016441655107493
-75.83349184009339,765780.8727798554,686564.3070442263,76669.22555914651,16374.820747579352,4094.9918097093423,28738.94163358104,31102.707266124387,2892.553156511122,2997.5783299079208,2857.2635706272163,0.0379951455563894,0.0163261846545569
-82.85014211159125,779492.0895323388,656244.6875514502,104272.92843454478,16422.48777122651,6965.87703332437,27153.0669601735,59268.59454955465,3561.491255143603,2954.5105870081466,2866.701088430892,0.0229571815167493,0.0290604649575492
-63.68132137075567,768240.4512714656,667008.2577747226,51993.86243433367,16332.290949087246,5670.515460272188,30297.40454288551,28682.875266245264,1740.41874628711,3069.243737873908,2908.7537136930428,0.0300078227697911,0.0100186507414804
-80.44904354431623,810667.216786139,624691.0664260617,72055.0120826344,15477.423583786986,10482.967892594665,30019.553212740117,45522.047297218654,2248.5092671220154,2891.23169868953,2814.060370976883,0.0275253028518779,0.0186651626099616
-48.28837927985812,781975.0597789927,595515.2090812258,50840.50364665613,16142.931770117182,9819.449257110797,30716.65638627786,54500.57060438884,1669.3545383595338,2729.605092044225,2741.352223352737,0.0324584034961559,0.0165350783542483
