ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_H_N
-241.288331898374,843842.7007666562,726180.6811820554,66288.72902282992,15411.10469118434,5866.8980309922845,30053.592501396248,29826.575956291897,2086.9121535616105,2035.38231116708,3114.9947439505654,0.1041217228001134
-252.179682167117,812553.2875055751,687858.2436771352,52188.75530808252,16212.4831778163,5976.924464181415,29760.56423276497,56167.83346387008,1761.6346578462922,1853.0147459727432,3040.4606399718004,0.1127939280572969
-216.1834187551276,841704.3174331847,732225.6383812692,74804.98062980917,15557.449948723315,4768.699369396054,30245.278262736698,29827.07180320382,2879.77011415716,1876.3835197001447,3040.9749650507565,0.1328607942840142
-224.3313027714236,827040.2428020468,735765.7123474265,83142.64920743395,15762.9815070607,4434.672315886702,29079.32680183083,43427.535601547264,2909.4147920392616,2158.160996184883,3040.787579442795,0.0916957067443072
-160.3192235869758,832699.9654379707,700993.2071847104,54835.42439130005,16008.623231959276,5510.750279139988,30057.345805596244,23008.591339070303,1933.656611849374,1802.3849494544577,3069.076899823071,0.1703234230867407
-242.281172402749,796618.2127811334,684183.0525025919,62627.640776930144,16193.26889433748,5536.8624304302375,29279.53082024074,30349.798824097343,2199.2284130215603,2012.909780666154,3097.063929986248,0.1124060427581922
-72.44688477969055,823991.3326014263,699779.008472617,52454.33637898616,15868.070569827309,5764.331394845718,31032.309251214963,27218.06901010605,1716.8800621393627,2012.7615059801776,2970.2867738663517,0.1160603747128585
-155.1491967428088,862788.3728056961,742745.0971374586,63131.07969464963,15394.296105868692,5116.748517262838,30276.15548074281,27808.797685705733,2181.670706288566,1904.5346614034531,3046.006580891155,0.1357839464110436
-242.2237046149792,822878.8251059345,736688.3839414023,63480.22318647408,15904.035019648312,3933.454618255428,30052.81539854987,32596.39785709108,2093.162129867546,1957.956597769524,3086.698650542354,0.1227375533679935
-160.49302001308072,828899.2803151555,708126.0927684578,59856.35571220655,15827.469725960407,5908.32325367506,30758.017219634046,24633.46902148413,1983.0032241779563,1997.9366014936527,3047.850313081848,0.1235779970944974
-349.6121853063598,864709.3042250924,739219.1060357164,55811.274554578406,15269.22248682143,5467.564327174775,31521.46233990816,26881.974434035223,1758.3471747865472,1846.386091417536,3134.4700703606395,0.1324166330526412
-205.9087077061028,832225.54743666,719386.4529239676,72249.94440988971,15807.10351240482,5103.604875095557,30030.991079294545,23976.60720642811,2476.604867080578,1984.4914680294924,3039.030557784772,0.1307328968969418
-327.7701377997758,814592.3213102225,693205.5940941797,63995.9561719172,16259.41801283188,5412.413864255546,29649.46221282673,25147.26996858568,2314.7064484204748,1942.426966180004,3041.907621552875,0.1531747368276802
-224.7060025325437,818169.6613180834,737322.7228421968,59261.6752712829,15923.7246291556,3710.4795944170446,30240.28134276532,20210.807437228505,2122.315564309902,2133.093439363917,3040.143372300117,0.1193517001091504
