model,ll,T_NDH,T_ND,N_Anc,N_Yor,N_ND,N_Den,N_Alt,T_H_N,p_H_N,N_Gho,MH_pulse,T_Gho,T_Gho_Den,p_Gho_Den,T_pHN,p_HN
778,-365.404506937802,899999.9999999992,532629.3695501622,14169.968481664526,31228.98830809308,12967.574364930091,1000.0000000002618,1817.954309470617,175979.7078327811,0.0640402039003706,3288.294826414844,True,1000000.0,100000.0,0.07,,
779,-612.7991793163003,899999.9999999992,643375.740188373,14076.26485998717,31376.23801247869,8272.687789595911,1000.000000005804,2139.9949806800346,187303.7186220601,0.0653142647187539,2806.5215464587804,True,1000000.0,100000.0,0.08,,
780,-913.1016968839058,899999.9999999992,517572.2934347431,13940.745964329317,31534.612609381005,13402.45570769128,1000.000000000212,1896.1273306566704,161828.36101214416,0.0538207588807946,2063.1346253981924,True,1000000.0,100000.0,0.09,,
781,-1287.251507845464,899999.9999999992,588369.503898028,13788.511423316691,31636.284766847508,10294.402307924352,1000.000000001834,2083.156724341432,160053.4669741286,0.0522271799638783,1803.50273878458,True,1000000.0,100000.0,0.1,,
782,-38.18081465876031,768518.5679120698,724250.333142386,16393.065945051676,27234.37848722508,1523.765923655476,3835.146250893465,2530.87741445902,283843.98464426486,0.1031203772974923,49999.99999994689,True,1000000.0,150000.0,0.005,,
783,-35.34302310095207,766284.7472432923,743888.6316735398,16408.724102984364,27229.561582688504,759.1383192457189,3624.0595935605143,2474.620494544948,267764.8584052232,0.0960358435940433,49999.99999959553,True,1000000.0,150000.0,0.01,,
784,-38.38035507824067,785690.7562437285,732302.3909340892,16078.491951171334,27888.8807833268,1814.1813062053411,3108.4802532863087,2365.40193292252,243870.51916500763,0.0854773736621832,49999.99999970424,True,1000000.0,150000.0,0.02,,
785,-47.85640542516708,776569.5977249531,762779.5298220678,16178.917421718515,27757.497726592806,453.1129236303567,2653.7437320592207,2314.762500007488,227460.17706586336,0.0772466053442687,49999.99999976855,True,1000000.0,150000.0,0.03,,
786,-62.46635671061678,799360.1135320098,744111.7068617132,15805.479864277771,28476.48309484693,1818.3251831422888,2249.338799444519,2250.855049291365,215895.34828969004,0.0726138469913503,49999.999999976026,True,1000000.0,150000.0,0.04,,
787,-77.77861486046757,798856.6159251116,754835.6024781879,15777.710963492837,28567.11394443403,1418.2916517258498,1907.2900967663463,2245.816544469886,208382.33804933607,0.0678389189028429,49999.99999971108,True,1000000.0,150000.0,0.05,,
788,-91.30121845787896,811479.9934856924,724245.4978752884,15560.927613235724,28977.68408586787,2831.654268802757,1661.562214890636,2242.5414224408537,205176.71588561105,0.0650909732415426,49999.999999856656,True,1000000.0,150000.0,0.06,,
789,-103.4642963131269,818115.9088691926,732368.7122877211,15432.31483764042,29224.219952253137,2723.8752078822413,1477.387723611558,2253.180106378424,200820.27763217172,0.0619500416480997,49999.99999992149,True,1000000.0,150000.0,0.07,,
790,-112.88816437561267,824103.979571044,691780.0561432602,15316.037803057778,29453.65501379776,4269.45382229654,1340.5715014038722,2262.2893291562355,198124.2149522708,0.0587147883240881,49999.99999968933,True,1000000.0,150000.0,0.08,,
791,-121.81550661862158,833119.6815969681,694246.168564488,15160.433069224477,29738.017268525626,4396.285945066903,1238.6754470326025,2276.825114706688,195842.08502504637,0.056752949307376,49999.99999972672,True,1000000.0,150000.0,0.09,,
792,-127.6389395194233,847503.8521959771,628528.1553305383,14928.490911686707,30133.87682910876,7136.582165276829,1165.0987493797854,2256.6141253912137,195493.4731703104,0.0546900726013583,49999.999999747495,True,1000000.0,150000.0,0.1,,
793,-39.82452827377917,773319.6771345334,711410.1627537669,16320.205198515496,27371.96759413513,2148.063016661527,3866.345111608801,2545.5893550676738,287585.7492159042,0.1040364952015888,49999.9999992574,True,1000000.0,200000.0,0.005,,
794,-37.392563977624896,775507.9701956251,721599.6469028473,16269.352071933796,27491.75109973816,1856.0071334687384,3713.729871351761,2497.6364432231667,273422.06010379695,0.0975667423356716,49999.99999994192,True,1000000.0,200000.0,0.01,,
795,-35.3898312520238,770266.6991740823,749877.7855182401,16315.810681682377,27476.01532797314,683.7758447421902,3420.3270192196715,2460.397480921616,254617.06453923896,0.0872876963405268,49999.99999983729,True,1000000.0,200000.0,0.02,,
796,-39.022574705087735,783014.7582703627,749920.2480705408,16090.55578131446,27937.64804867933,1099.3439521534517,3099.255236144482,2409.025480647434,239737.99926502944,0.0801381655930048,49999.99999957617,True,1000000.0,200000.0,0.03,,
797,-46.87353610664978,798706.0723425366,733667.2494707721,15823.41443847224,28464.38695728614,2160.6783975588914,2806.542998187621,2378.6195003582543,229878.01355559388,0.0747271902197246,49999.99999948042,True,1000000.0,200000.0,0.04,,
798,-55.65508670341439,801851.810088616,726674.3788711599,15745.897917968852,28648.72404051208,2479.859044764604,2555.7239107382597,2359.1422825841755,221369.8425895608,0.0699872455719321,49999.99999982601,True,1000000.0,200000.0,0.05,,
799,-65.08771612136482,802457.2319780781,733343.6704662503,15706.298904129875,28766.090230563364,2241.130116185984,2347.6341939894432,2355.284719823176,213245.24785363884,0.0652785769801709,45880.18018612402,True,1000000.0,200000.0,0.06,,
800,-75.20593465672107,806549.7237574486,745954.4450685753,15616.859926179708,28964.94122996319,1918.3831437185945,2177.086414349125,2368.873588453901,207479.3364085574,0.0615210602506756,35672.27743980945,True,1000000.0,200000.0,0.07,,
801,-84.82327163765116,823017.4580397037,695819.5620234292,15347.925913562756,29449.88727861674,4108.58434162752,2031.7723217523328,2373.181999492624,207435.02656503324,0.059658080484093,32209.085174113912,True,1000000.0,200000.0,0.08,,
802,-94.8146467908414,825913.7320003331,745674.6358583551,15281.84759168399,29593.89121679012,2455.428991515856,1917.372149181291,2396.69974506997,202251.9255230272,0.0573705425366935,29329.800631500148,True,1000000.0,200000.0,0.09,,
