T_NH,T_H_N,T_OOA,T_UL,T_LS,T_L_S,N_Anc,N_Vin,N_H,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,p_H_N,p_N_OOA,p_L_S,m_SY,m_LY,m_LS
771659.6648674246,197604.35505965067,72005.17115130056,45000.00000021301,59309.27451269458,7000.0000000167365,16150.932688504568,2197.8085373509666,35313.57791786362,8318.860919729312,653.0320198742372,5552.270000205032,9951.901420428016,1007.1893369054268,0.08657997814238202,0.03336107604537851,0.3312442647843584,1.0000000010934489e-08,0.0001568471278345114,1.00000000585049e-08
842337.5459071717,212719.29114223586,63539.57364579644,45000.00000022404,59662.87197463936,7000.0000000178925,15140.010317352673,2378.1209437236143,36144.06522618567,8273.831179419469,239.88342912534574,3953.4434373993768,9885.449498615826,1040.5591552933115,0.08332944366621954,0.03064378879865207,0.3400699970438252,1.000000002310161e-08,0.00015100784999992219,2.8552603608184947e-05
770574.6363115069,143268.78404597365,78316.43884924638,45000.0000000063,57196.22734683441,7000.00000000036,16112.653266776251,2185.0012087062464,32880.519978644385,10584.062662946752,1193.576704933408,5393.223989780689,9021.02659755634,1022.0258163314257,0.05653861213806366,0.038061712394809204,0.28916280366380887,1.0000000018264094e-08,0.00013282280866383758,2.5946539643166716e-05
845489.2265889425,206718.64990620138,79785.64420460424,45000.0000000589,60926.94851946463,7000.000000009623,15172.864892085448,2112.1896230197904,34635.77666913387,8774.180536915985,1017.0497503209483,4834.940356924632,9631.892482480196,1248.0401150470082,0.1135220827060872,0.041166573287925355,0.36398035243580684,1.0000000031066403e-08,0.00014211870857348293,1.0000000115939668e-08
798697.8973159158,235069.2573212681,79185.64267611415,45000.000000032036,59999.24553260803,7000.000000059921,16068.752516257484,2197.864996059057,34240.96333102046,9318.485342101176,973.6999553934572,5605.608382516812,9493.017664365741,1018.3996399887653,0.14158596734517623,0.03964180970091447,0.3459889659746983,1.0000000019904097e-08,0.00015801698719891991,1.0000000153099988e-08
809515.5745290085,184046.06080750094,106197.95615727107,45000.00000000158,56179.10481039709,7000.000000069322,15524.124512952936,2142.490382645201,33132.60269157984,13027.532040602602,2310.2094942913022,5220.458012161664,9887.554511439026,1108.0749524620978,0.08903894310497226,0.041350308062100403,0.3393815348463475,1.0000000025248906e-08,0.00012866036665911472,1.000000005494373e-08
837666.6870488769,177140.0094981993,82387.19434294992,45000.00000005746,62751.8656665385,7000.000000036606,15256.332921670244,2122.424555697769,35449.58525309513,8958.170766096995,1046.323098504313,5324.191676130986,9697.27071910296,1172.694905949234,0.09539851989790994,0.03744316085292112,0.3714842456133393,1.0000000017083455e-08,0.00014779010882703624,1.0000000163758768e-08
800211.8067959797,162633.42066477376,103562.80568741904,45000.00000004435,58949.88704979997,7000.0000000425625,15748.966194373052,2037.4243832064037,37545.65460830879,8681.788508549893,1840.8743605565755,4763.435518142032,9997.646376317489,1100.583664362272,0.0792428782431053,0.02930621026440788,0.3365410122257418,1.0000000004257022e-08,0.00016601401209934385,1.0000000224691965e-08
765001.1132000269,182243.5315157821,64997.73609484125,45000.00000009207,56057.22410066234,7000.000000042674,16256.554138488576,2170.7394667146295,32847.33982879907,8867.08687431051,544.8453637616964,6403.6774815945255,9911.29400917698,1051.5515535935804,0.07880082576615412,0.034570193983904304,0.3334005635378552,1.0000000005697362e-08,0.00014329643930348238,1.0000000114148319e-08
827567.0314238983,196559.4042356317,77941.57569391494,45000.000000000065,63396.748781546565,7000.000000001454,15463.153367321507,2428.892144918086,35235.65013147719,9044.797688947958,866.7411957152977,3187.6796294959227,691.9011336709909,1084.4677531807256,0.07082330492805311,0.043109786697453086,0.3975723390052604,1.0000000024799239e-08,0.00015731352963771136,3.256410787995861e-05
793145.9465590478,212031.11596023082,90765.01075418026,45000.00000003651,63364.088095594954,7000.000000004476,15868.783220090985,2330.8883773421103,39672.01787850444,8264.76408417536,1134.4748919999245,5782.675625206917,9882.87354287933,1041.6842495276808,0.10216062665202397,0.0378229031188894,0.39656414620436153,1.0000000020869582e-08,0.00017888222636239468,2.2486428788774968e-06
831895.395867443,202652.65746726905,87716.35560614688,45000.00000041133,59137.96252795276,7000.000000062284,16058.9176232587,2193.4644767124387,33157.05859650773,11617.113667575486,1490.1045236083414,5864.215125042573,9954.030990020261,1167.0549745503615,0.12143666191901756,0.03777763509063133,0.346790191789322,1.0000000010019842e-08,0.00013148835522457046,1.000000006879935e-08
773671.0784288928,200363.14980097543,68239.94986148678,45000.00000002437,60171.11173350802,7000.000000025701,16431.518981749803,2101.4453772306506,35890.40017111337,7147.0785373354975,383.2240653529409,4366.6977034502115,9475.929531825393,969.9179576200162,0.10743466565421056,0.04488473044249286,0.3653670936838184,1.0000000003833964e-08,0.0001864277739990156,1.0000000563711281e-08
803345.8646272542,177844.2509723388,79188.26798774957,45000.000000394946,62392.65471990289,7000.000000010283,15600.205739285682,2297.5285962290545,38977.169443848565,8292.920007126973,821.8344159441976,5633.303243952588,9978.305776283649,1102.6937887288473,0.05928859229644029,0.037436676929915855,0.367219541260641,1.0000000001134826e-08,0.0001508723304876668,1.0000000020877291e-08
859630.9899458357,190272.01047605777,67501.41030455244,45000.000000031396,56814.103831275075,7000.000000042401,15097.410082879296,2391.5062736289356,33795.64653483799,10402.838084248562,642.9147934446408,5635.053359866194,9355.094397712479,1159.998266882462,0.07550428274358346,0.03734517393098453,0.3151974790030092,1.0000000006771597e-08,0.0001188657011533917,1.0000000011884911e-08
827423.8772531494,117327.84828628546,65835.75402359768,45000.000000000065,58565.49238250882,7000.000000059673,15177.228590572016,2180.946919079704,35213.55979597187,10684.218084877886,459.556114943318,4203.071294308692,1071.985484774631,1150.886932234652,0.04030678814666081,0.03303352757443827,0.37196041458189016,1.0000000019244251e-08,0.00013911631585233878,1.0000000155332939e-08
