ll,T_DH,T_Dbot,N_anc,N_D,N_Dbot,N_Y
-22.053596493808413,800310.2129745287,68020.0121016005,16051.5731855391,8879.281878453252,33.48547186790369,27973.916419506597
-26.408730007140186,750609.8840297507,67514.85967102455,16954.065867616788,7827.057728239386,31.740561552625064,26951.27152318225
-18.28473538599001,814865.5652418329,68642.59274948858,15731.98257553825,8474.899129033098,45.55836218915505,28560.94749726429
-18.76477906457898,809109.3275268457,68179.4517806851,15790.905447199406,9105.322871522969,36.314065734906855,27843.31474749711
-18.595086017539685,811469.6731311746,68711.37853451874,15299.906919604342,8052.728527170863,44.80670481379352,28667.376511523747
-26.64546490024109,796435.0898993536,68525.3600884455,16241.32927437429,9759.451220161242,36.47896198115127,28593.974815326725
-16.76808050206239,811098.405672164,68036.36043799315,15386.804646088129,7291.616242331137,39.818322965494914,28001.903235626643
-22.462892154062693,838279.6963246744,68420.20706457591,15431.56611911976,6893.717946669223,53.0428987229233,27763.837703112677
-29.064455221940804,825652.7709067126,67880.32176154564,15340.560412007677,9330.971514959923,33.3457881585952,28560.125802888237
-13.318724527484356,776984.7590939506,68458.8435576417,16073.412019414534,8036.610477500638,41.81067615823176,27117.29848447964
-23.57445868860588,773543.3677320426,68648.93189691396,16199.879716552625,8324.089249087063,45.90106817869702,28259.909185674347
-24.848684364621104,815104.4529031201,68360.54245185856,15485.08826926088,6658.871548619175,52.51219272729514,27864.32391713671
-13.18449883962646,848284.0582899166,67371.24262465897,15215.410060549306,6587.948511783816,36.99096095500175,28115.357718098123
-19.235248449609607,793346.9199606564,67817.94397223335,16269.070349961949,6674.708450875736,48.19215695096768,27652.57657565957
-14.586315949422785,779120.3594737797,68462.20844329074,16167.375381907708,7096.779121264821,55.71457487308383,27525.213213254254
