sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
62,-602.405380797923,719365.184491583,705273.5447959511,118957.11278339037,61097.49792014669,57220.31004613888,17879.786258775177,756.564577042704,3175.567501917709,2692.1712168483414,176.7792340792287,361.79101087237655,959.7924309221371,33268.50947171803,8221.549445961507,765.6262033826741,4.482654777111497e-06,0.00019633679146254906,0.07458546969109581,0.006548533292020782,0.034997105740232716
63,-636.3323469736257,725234.8941680714,701285.0618788423,118689.39873800027,62505.45070683077,63048.60457649123,17921.62871040646,1522.09904230306,3110.3487694553323,2390.541493519281,192.16000371446782,343.6860733898248,865.4871188510248,30889.383041044883,13394.133189669154,1028.963297321526,5.63467079397989e-06,0.00014206598439285348,0.08075467352888611,0.013422705661297293,0.02933997078238495
64,-557.6570734618448,755324.016652754,740758.3580701686,119533.44849301309,64734.73760418062,62219.64951890406,17476.803759846876,683.2585985307145,3470.007267176794,2417.5181725249276,224.66088286419733,590.526948783199,962.8189392562299,31847.37539647615,11790.015401853985,970.4071259886199,4.118937222699249e-06,0.00015478856137967454,0.09837111315200593,0.009965924595091843,0.030299645538792337
65,-479.9380180063532,749360.8863801644,717636.684200584,119771.51727592385,63656.23445419083,52297.927234202354,17940.57291505665,1379.3338846443567,3359.038190102155,2570.4254020381354,275.5632417029925,487.4863960141048,1070.0427697218752,29279.788267996722,12136.682035165226,907.7740758995262,3.4188360849130297e-06,0.00013777624022892425,0.08487782397530998,0.012994531449818198,0.02809529019370395
66,-543.9124951081938,711989.725380123,643115.3521577063,121453.61060554668,60220.769596572085,48000.00000002257,18096.336529855023,2860.86656913821,3613.78521705074,2515.2073280340032,454.29440280083696,233.48405131779145,960.4558695641921,30546.611237637364,8715.527137588684,732.8419346828218,2.0768983176567827e-06,0.0002150779540525022,0.08929130237714124,0.012743717930520175,0.04044101767829403
67,-643.7724973320403,712235.7075277071,663763.8258006615,118110.7477296334,62797.866037564025,55739.128663600786,18120.437283030773,2410.4255464350913,3322.547098604459,2429.488083061754,155.45972418799417,378.8680461887581,945.3600507078432,28980.48413390225,12522.509674769313,917.2687303618237,3.9037834268178235e-06,0.00013359617116325833,0.09694603616976585,0.013487735376166331,0.035089388820814214
68,-472.9494829648899,786993.1361108479,763926.3649372879,118725.68837825423,61878.24093427053,69241.60472041955,16942.89345290609,1191.958543802594,3455.6727336861677,2550.1288624624362,244.15041736257834,299.5145904970533,906.0674834436974,33938.67191823509,11067.066150898407,1093.6180997486924,3.997669505349811e-06,0.00015184852537937556,0.0876002741135798,0.01208750129086024,0.027265121860938043
69,-586.099523999386,726917.5780055461,693666.576029754,118308.1882704018,65576.76563319165,48872.987257558394,17970.16957955978,1479.5097207231086,3493.340704166656,2607.494734582418,158.51436139144747,603.0558357479905,1036.6165062381028,29877.149847462402,9981.6924481976,743.4256901973832,2.506630195143876e-06,0.00016595505888368313,0.0893661980974295,0.010211693592019818,0.029369569421565128
70,-537.4788707703552,726597.7300879603,683733.7906771143,121207.8672954881,59858.676639925725,54935.94675479792,17504.272335031143,1786.6243844764247,3658.5814191718364,2799.7446815460808,298.0624872140397,191.17045736583538,705.3056165542359,28141.851430565177,15920.094360987248,947.2301545957224,1.5807356365262032e-06,0.00012036232694604768,0.06563174491843272,0.011510429683071505,0.03715165571214812
71,-577.9749337386481,750486.3798577554,718845.8877726066,118423.10425109246,60623.851651219724,60032.98445587188,17165.928839273347,1896.9922341944903,3100.4252394486957,2506.491020298067,167.50603298564417,276.58714024442645,759.2844178679134,32416.306285523387,10471.72281170299,919.9818156695584,5.247124834422038e-06,0.00017232599925011568,0.07413972541303242,0.013835076234109345,0.02364740254332456
