sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
45,-535.2330204134889,735159.5105191027,701313.7662274753,121229.41590672273,69725.28660536319,48127.65865133618,17849.527771731293,1251.128323651195,3844.618659637155,2884.258887272248,265.55357561923995,945.1924797679909,1241.9187921737075,34066.00883702128,6581.808511934947,629.5387562391056,9.907741335152325e-07,0.0002652117270422357,0.09159115629878052,0.03574807371497022
46,-687.3243606153615,716808.321448514,673249.4501116717,118556.58570349921,66840.36362043834,62193.968232002415,18215.756448853965,1911.1961693258982,3521.003547235001,2950.5717942350757,137.47599868563486,613.9887061015377,1244.1730318537195,37198.58081718303,6194.346159041929,730.6729689952182,2.608216658226738e-06,0.00024439980705691616,0.07728466300702685,0.05238835945625097
47,-640.508725471082,756646.6349707124,702005.2053992816,122243.32572698772,72827.04519689683,48000.00000047942,17560.638614975433,2212.089819940732,3577.4014320999086,2635.2932373091085,320.7786229053549,1121.089741513913,1630.5615543257516,39388.8527693399,5075.111351456874,561.7159660401135,2.393054358190148e-06,0.00029652922306803065,0.09568806391989695,0.06361862806297243
48,-543.400649338402,754366.0560563508,678192.3411581506,117631.14403223657,68085.83845063866,50946.5800254497,17275.987167600655,3135.289271928283,3575.071161560261,2813.764493336328,110.56598768924748,626.4507687123624,1303.030238937693,37727.07998800803,5886.958318340404,660.5683147320625,2.614763358599121e-06,0.0002559272745640595,0.08975285422860983,0.04632319728231313
49,-653.1643588462106,713607.1887165564,645334.8440812372,118325.60893219047,69216.24802474056,57745.58035094587,17834.26868406852,3209.7811260681115,3342.0818494936425,2825.4667666625805,117.38926429038065,1009.3137547670863,1305.545518794641,36249.31854436704,6107.309548910804,653.0276215198252,3.3886586624718457e-06,0.00025482483877510234,0.07181529923865135,0.05468443683159444
50,-507.192390188859,715999.9628747917,684102.9702427901,118657.48408086249,64311.94221796528,48000.00000000151,18148.97130996132,1506.1090078859374,3731.3256036252856,2688.661716681988,139.23866225677105,479.0141025642226,1298.7065241583086,36604.856475540146,4881.145474242449,562.7160914940213,3.252550047449489e-06,0.0003189113015527691,0.09194755734115366,0.0674522439804852
51,-474.35720307080453,694952.2561801196,672221.7542235601,117399.84312494911,72286.88700824989,63004.946915346285,18395.17587704517,1005.1997370401602,3613.757411641761,2576.414464256334,103.00332101812104,1142.3639633884895,1759.9328800388353,36186.77364289363,7190.318543443287,762.4365714981474,3.0280305164238966e-06,0.00022474803969632352,0.11229551712225021,0.044109662455771775
52,-464.18277308297496,742022.5452751899,713985.6155180519,119666.33565643181,64891.99991287377,48000.000000205124,17960.383417604076,1486.653556928174,3537.3946388924783,2898.6894243765837,187.75265017165424,611.7483946132053,1221.566063603409,38533.11504984133,4962.363644848774,583.1483052490111,4.37431045229139e-06,0.00032034566882938183,0.06688558826702715,0.05471855739535746
53,-597.4705352860167,739333.1665574799,692510.6302389326,118771.4079314461,63695.83817866419,48000.00000000023,17758.17492186203,2546.4862748701285,3317.3617535204303,2897.286106081574,121.21481502997898,568.5348752590946,1133.8153379515115,40525.114469744665,4749.18715278641,548.0365115119849,4.561704130448048e-06,0.00033598523625412056,0.0598990889510436,0.04798242214935984
54,-545.7740005836895,739293.2290750671,729510.3540925939,118075.30179436925,63595.517652842704,48000.000000029904,17724.92017000427,424.1244831170917,3483.3457736500973,2841.0518810605604,104.66939529775966,450.3545662648785,1160.7659812461375,40264.83417803533,4175.064928597089,525.701595593655,3.223480640589882e-06,0.00035417337665823173,0.08483475385738248,0.0663941989383729
