sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,m_ND
257,-650.4412778213893,810339.3336663657,675133.3366229123,122598.32539521705,63023.41387073846,16133.184546223076,30030.62047865263,11204.845616903847,2716.3565364427864,3235.1749218060727,292.1141312884385,397.348094100052,1003.7654536520818,6.925568519928809e-06
258,-719.8985389073318,811686.1086218333,670059.0374948442,123870.44689110118,64318.73919415791,16397.427940087222,29571.236431149315,13278.167345287044,2716.1364836295998,3204.7971081370765,308.12933866309083,372.5083686277849,1067.5363025950526,7.3488686563698144e-06
259,-689.6184299148163,782937.9451028617,715972.9611851781,122548.99899469916,66169.95668349738,16437.190491676487,28825.942846185437,6974.984739038356,2815.424750839054,3206.007158318587,344.9139600363563,683.2167725192062,1132.221062125016,7.506928123355862e-06
260,-594.2898371167244,787710.3885870699,738450.9016882825,120642.52987178233,61655.37909445066,16611.17640214851,28934.207120535266,9015.020404409239,2553.293744845187,3143.121995438566,205.15001273909348,299.5567143250334,858.2231919470086,9.339867185214897e-06
261,-623.1616810888576,777704.149560708,673866.8832036627,123946.43891770864,62273.550828626496,16663.12302129587,29398.75950062655,13956.360758304134,2456.6308422574043,2953.0040087351013,334.0696981794455,310.1297910893311,1016.4577125764043,9.097213175046684e-06
262,-560.4129461375512,799457.9054640448,642947.0279131294,119951.09853090464,59542.85935160098,16628.539894139885,30043.715428666168,11056.611181486589,2865.4198518935136,3326.543544402494,189.2416634577547,188.04043359504325,808.3838093265085,6.034473300253138e-06
263,-583.4190395152741,769541.3189284235,619827.5284076912,127872.85699566835,71187.8238933768,16781.48601351746,29458.034171682648,19115.558433901253,2358.5767264605884,2816.2282686597946,395.86311307825844,847.1762692262072,1672.431633049873,9.897300829176018e-06
264,-800.843769409468,800798.4481402537,672935.3932797527,129344.61193128783,74430.93861198473,16269.083680850306,30042.868433218544,21556.937302436865,2510.8526700985035,2811.3615050900994,458.46818616629463,999.9609338281222,1516.82139075297,9.784763309012377e-06
265,-848.6737430577992,852190.7796496036,661982.8043779981,135277.49683481568,83569.81753625993,15692.335046955237,31140.131958561564,20731.08036354673,2592.244009386155,2870.9681649141553,773.2847726811157,1264.8718391468858,2462.1212517813806,9.064879480530867e-06
266,-636.4167406751242,788936.8373203522,734910.5808615161,124789.212735303,62116.25628967205,16983.14357918939,29285.392021028252,5353.269142410664,2781.766412282135,3226.1032719986774,414.56432114556014,317.09707754847534,1144.8478602382283,7.571148554020277e-06
