sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,m_ND
62,-481.85518650210736,707758.261694928,649780.0282648023,118850.71959296663,64472.87525283952,17457.49528214231,28793.556167741932,8695.111708762937,2389.485393286388,2915.559724760967,150.20474356296904,583.8460986848326,1116.5235214393356,0.023833675865151616,1.0640865394532284e-05
63,-593.9703531202829,685198.7193847555,675521.4969156587,129161.42478756506,82717.87962951885,17908.26475644881,29127.412562878122,3155.5925414762687,2406.493565695704,2650.8238133424798,570.095280502054,1472.1108069017894,1895.6994189281659,0.027725174356352338,1.1950178051409394e-05
64,-417.4296706100589,714082.1048745327,661744.219359795,121764.67875732438,67870.40290305896,17326.680953037427,29517.066681972152,6803.841025201704,2499.352153106643,2906.5817023733066,264.8361100431178,806.1352001076225,1130.710103708942,0.036853524279607204,1.0818965847776273e-05
65,-540.0522172335518,728753.6383571184,702108.1486108667,122201.57750316558,74190.88347881337,17508.32384651039,28717.142779459726,4489.020791097619,2396.3810009795743,2900.2054156529407,308.3475478583725,1274.956443652371,1729.6846241633077,0.03547650400064299,1.1154326510966127e-05
66,-455.5515574223209,706084.7946332424,622822.2584002669,119563.30912276355,63327.758174372866,17357.423757323417,29062.003574227125,7707.863172196594,2634.2272096869806,2980.7091164994276,213.9587740313215,395.74814001517296,1145.5178111737705,0.03641885575921687,9.535886046159997e-06
67,-614.0888678411006,677725.5890488747,632372.8998578471,118775.10652417578,69098.5368761132,17830.424193166604,28256.524387959846,7563.967581009741,2426.178521688467,2824.8941294130314,144.750049941165,762.4811693387121,1258.3942889763223,0.03562797296623394,1.1567254424564849e-05
68,-405.9928863202758,725287.3016645311,663895.8971661066,121481.15438465556,68056.97712013904,17227.350955965707,29533.998688428732,7319.598211352645,2610.361922916492,3061.404289422213,317.8363893977748,624.1598838730015,1232.988403340407,0.03213705256520573,9.53414786146347e-06
69,-481.11225562400466,671197.9126800802,636309.8566017259,120650.34378260253,70224.88855418663,18106.912370699403,27253.949079104535,2987.7547775653193,2643.3176429234645,3135.810851607106,223.8536872407086,929.4807570831874,1249.2491809820287,0.03269486071924556,8.155594435931379e-06
70,-501.2420849678206,707078.3652855007,623888.8092213089,118693.78714053934,63965.07823582854,17245.89779722821,28295.498615365515,5600.804047051007,2833.164226062159,3230.0883909376303,132.69491803190326,384.19120043496144,894.4163891365903,0.025644562677651323,6.549723546916088e-06
71,-585.1821732168069,705999.5777601535,657927.7206387983,120254.82418521312,66292.65174696836,17282.412884422978,28623.746336437212,5646.185786956797,2538.6582771540916,3030.146207221614,202.8607484564271,630.7957765883181,1048.4563536283197,0.027119903967185662,9.72770347323591e-06
72,-525.1274317590347,707445.6995593787,683738.9558318645,118678.11566008934,69402.42626330035,17699.527000871196,28977.581049041914,3493.135181751343,2676.0433825430086,3016.4818166967107,130.45036785181986,838.9326422925581,1150.1688551356528,0.029246182820374167,1.0215522342094043e-05
73,-539.527395359484,721511.0660207911,665859.5515936395,123034.68690655034,70008.7275369074,17328.481267178053,28792.7187194351,5857.09093319594,2637.5832919875006,3027.6959613104714,285.12630169308505,796.0854511494582,1358.0804124763545,0.03947651152029648,9.511935840007694e-06
74,-513.7773653519778,719687.0163876136,644433.2296165742,120121.31808493786,64883.711241836834,17252.095746855,29724.806916993122,5167.35634670518,2863.0613707055427,3232.1384432680834,188.9863645039423,485.77430218143184,1103.154269731625,0.028633009418708586,7.382501439775226e-06
75,-512.9499123010628,695209.3786131195,619351.8558811534,122715.92918871873,68456.44270667169,17831.404305537806,28388.354120819946,5911.447844386133,2549.9053875242535,3103.383289735504,336.8045711293559,690.0358908498678,1229.3777073612748,0.034623970706069755,7.984397022371076e-06
76,-442.7717938738696,709119.6864380772,539482.6397993335,118679.38263551956,69045.8407159405,17323.51901652973,29400.251170265543,13492.950008459475,2321.0532524096875,2812.81817784746,147.12454302816153,747.7837913495422,1417.3347523419047,0.03554098729158624,9.892855481663434e-06
77,-394.3042596096884,746026.2739292589,705310.7667511716,125813.88698060157,73334.85474997773,16879.883026872463,30100.087390811714,7588.996714127774,2491.1211120291323,2861.1897087315815,415.2659004928894,1119.5557345617678,1879.5151688949986,0.030756015704338578,1.0564442787362917e-05
78,-435.0004262229408,704550.9639039938,654274.9151558598,124164.10315367364,74989.47123038386,17496.522354438646,28136.78189458439,6323.9373618772825,2680.4130169621185,2828.0178010820537,375.11206229284255,1404.9684167749722,1814.2399909895955,0.031956484328692955,9.746011865071757e-06
79,-413.36767043304997,681017.3003004391,637979.3457610685,119898.13069392652,68044.16249393506,18048.4896401268,28813.541334309262,4567.793072939761,2910.8971941934674,2985.454423136827,229.0052973757055,732.3366729986,1274.5487150148083,0.023916898811738748,9.282421137864433e-06
80,-479.84525592995794,726603.9442622205,680655.0441008185,125528.87244133773,75529.00953059788,17058.841947368586,29037.44128508496,9377.993011173805,2330.293103295617,2790.4817341472826,409.1210781449344,1855.7277962694536,1731.2923316366318,0.032267361030845695,1.1117154201151712e-05
81,-550.8103269122113,699262.3033595311,651545.8352674445,117412.90332589005,68823.57506256089,17581.094343099398,28772.072094364972,5762.4027961577285,2632.999903288815,2951.9950555276173,90.66689782793947,963.6322291521117,1617.284139459127,0.0272656137984228,1.0273629282327476e-05
82,-382.4276784297456,729898.3221432988,685042.8858368129,120483.4521718914,73199.95507327771,17265.098746173826,29767.444998207997,6043.108178186441,2464.374887856615,2995.678220802431,205.90166853820142,932.6226090933831,1419.3217526807723,0.028801747164372345,9.840767180839587e-06
83,-384.3389139242997,713081.8258653501,699779.4593283931,130072.84864521338,77737.22773052573,17473.570109770848,29081.861368058042,2627.988641669049,2602.7238997993304,2881.981872703603,547.8903593891928,1242.0196125349064,1918.4108834905064,0.02737866295628798,1.0469216101149749e-05
84,-486.80013175844,726035.9801860948,647669.1766795475,123298.37727342306,67071.95209111444,17405.285746487785,28151.061396686877,8347.659177561,2552.9442804556943,3037.716941246685,360.22105415548333,653.0725653149867,1232.7262734528654,0.01885914539604588,8.83709706840834e-06
85,-512.3279208936849,718753.2588494571,622358.5866387194,118845.24871101246,67778.67696838069,17070.84957763722,29674.925443007876,12076.114461455596,2298.227317360964,2828.8126357835663,128.51198682161112,613.391817111022,1163.666402783465,0.03804996232581595,1.09444677618748e-05
86,-316.4025131860369,690850.3459876517,644122.6398646449,119937.51540575505,67440.15808246443,17748.4013459317,28247.251858726297,4405.915347253539,2647.6235763903383,3006.7606926942103,224.12229444752518,711.6692056043669,1222.4292262479044,0.026741926093538242,9.250734128475554e-06
87,-487.4523243551128,715546.7692308204,639208.7105043968,118893.25758853457,66391.68012033163,17877.281774581665,29376.787700798905,7485.734793083269,2499.2325009995848,3048.6818226819055,149.09654343413163,617.0722977220133,1170.0982178522775,0.026438418880648268,9.204210414816618e-06
88,-512.0610905042372,697013.4215227556,620604.4241379877,121007.74157997893,65862.28947320345,17728.013477222008,29119.018569521937,6097.4246295586945,2622.633254165901,3052.210035912063,278.95896473352525,724.6628154023447,1256.3072223189017,0.030397006741374917,8.523434058630728e-06
89,-521.4837075819505,680485.8703709849,610476.3601563346,122046.12280200719,72756.02484625172,17726.40728716627,28616.502681550865,8513.339275395725,2314.396022953077,2862.6287958557077,310.69491807124086,988.5697492070976,1554.1810410541443,0.029596231885863057,1.0673720439040127e-05
90,-454.0769589326416,692400.4198295717,676284.039884145,122755.58786256611,75650.15927039656,17834.674348061115,28543.744569981543,3661.4956062876054,2560.5516602581306,2843.6174914952358,265.9283859235116,1229.8188543660851,1404.9445765857538,0.03110611309962197,1.1140398949647425e-05
91,-407.33563619973745,702262.5898107546,636403.4216997159,123378.55956667231,76672.48127648406,17595.52910612665,27613.682807204197,10143.52529904763,2568.8647355870476,2759.240644859095,320.9723035123203,1130.1873204158028,1686.135755782092,0.0392207582000931,1.1431847354529064e-05
92,-425.25502473168433,730797.1510231432,654129.5514251181,118902.65565160749,66838.70427385255,17316.848516707963,29932.909176667246,11272.048696284734,2428.361638003659,2906.923077181639,155.05402618740987,610.5398801556205,1111.3924021838436,0.03340179735952097,1.0596794074884723e-05
93,-430.306112475629,708903.3550260585,608867.1868160416,118123.63102026268,66620.89175752294,17638.83532471862,28622.233642157316,11408.24833985352,2582.659418127278,2924.774505916001,101.25005941692365,685.9968702762259,1435.3969450312247,0.03935763201338554,1.043959698077011e-05
94,-615.1985839552121,708006.8742484384,663314.9952444105,124448.67101428875,68978.8230308021,17504.138943202,28725.850355077197,4974.910252365973,2619.1112673918324,3052.150248530504,422.66730634666357,692.7036426930981,1265.107368848343,0.02478260437542062,9.103838880297247e-06
95,-359.2536604453229,707583.5338188281,657625.5516797263,120856.73014515548,69203.78043101548,17109.47866844548,30611.033934191237,5050.639106220562,2729.442966680988,3026.30233498537,225.8232197581608,760.287216942991,1251.848334534084,0.029413479034989264,9.387564438783293e-06
96,-601.9837278030336,715746.0940245173,705253.1679688798,124797.86211692038,69933.54722051168,17446.276341731456,29366.211306874386,1122.1043225095382,2754.51703079926,3066.187023691908,415.5698306811989,909.7848216842426,1476.7043102290254,0.026509644203879284,9.204470753913756e-06
