sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
49,-633.7508889561872,792715.6760227769,701231.0538196815,116730.68970131341,66722.1374416137,48000.000000873006,17126.6068472701,4419.417195521936,3181.6986984962973,2329.122977602675,70.05494722078821,426.75639500757217,1020.7891031285507,28228.122483480372,18779.03209468113,1057.8217877299312,4.010065510270099e-06,6.573958909779035e-05,0.09983702735705738,0.01333483581679318,0.02209871848434026
50,-650.8749229416229,832668.9318011733,774802.0262774625,120815.69140553215,61423.76421342967,55315.623167452046,16611.439174606818,2722.9115141654383,3394.0447897178165,2668.0474479500035,307.4533218709522,324.34207157301876,1035.1547960974776,31962.136020218455,16141.924636522748,965.6601854519374,3.949782493980951e-06,0.00013763676818007324,0.08002810771217347,0.009130686118133781,0.033731659661622115
51,-463.8947079030818,790106.9085443799,763070.699511435,120327.86819613926,62814.18055826518,58228.689536224825,17064.964057745612,1147.9025501473318,3601.296877079001,2609.062498652451,256.934591685974,352.32651909127327,923.6819745931283,30894.508046591483,15281.639019571663,1053.79070035811,3.080544318945528e-06,0.00011776314422456394,0.08075026892230068,0.009040911352576297,0.03272076129817696
52,-547.8888802332573,807763.2601377162,779485.4529660433,120747.09120700113,65595.65299733689,48000.000000316824,16416.456949398635,1223.245307914708,3369.956355819921,2515.7594571628742,355.8923557549028,487.5219944345933,961.826502061886,28576.348111567568,71071.91192054051,1059.258711718714,3.3072386998645417e-06,4.422456547960324e-05,0.0931954197852282,0.011049238412600897,0.025437494929874037
53,-483.6524443572082,783068.1443607849,718782.7265521215,117446.36119607915,63975.237882938476,48000.0000005629,17295.73593645102,2296.6159916795255,3897.2903031138003,2513.1576091528345,137.03009008583993,370.0219114491942,1057.8282451129494,29725.984767097707,15941.190489877472,845.9046982163106,8.058847364773457e-07,0.00013602155737018053,0.1149556433983241,0.009911086036523208,0.015567319522260105
54,-456.31759348909225,785177.6936108433,707126.7959140617,118075.49415968117,61454.768320502655,62759.49220603272,17190.6206727008,3446.706628882399,3528.8498921972296,2364.085677429156,160.41248855821755,335.43072133471327,899.2834047300165,30702.7304481953,14898.57869464281,1040.7870666597141,3.4402031814237034e-06,0.0001302589856355905,0.09884995787615913,0.01144161313420872,0.03667546680727943
55,-431.9188527174022,780482.1705067663,684348.3385243308,118115.41623197628,60083.43517387442,48000.00000059905,17027.072570023018,3767.7673250624803,3764.3545348060225,2832.863658002641,152.0729508502017,180.80175622650978,646.2001029847341,30164.28943967299,15697.167061008007,817.4966995530491,1.4280190427240842e-06,9.899867551506076e-05,0.08160862544049803,0.012237861392382697,0.028771296423175757
56,-517.0372159665974,754274.2056342259,670523.928151375,119807.47491314154,60321.74180031676,48000.00000046655,17489.234510691713,3098.8427793213978,3713.181146595151,2555.081230267445,312.2068130114162,215.7476641810904,789.4791741369625,28737.486749159245,20207.33003718818,951.5742197579015,1.268670429556706e-06,9.127694416561621e-05,0.09207945672936971,0.016432485371078585,0.02835693940800165
57,-531.1931365711068,744792.3119709454,700494.9891187447,118558.42438311318,59446.87953110345,54670.35478090124,17955.716415564453,1538.194920612927,4001.369339060426,2684.9671728124904,183.59285716459638,163.75066026286038,836.2025166688043,30917.994218322514,11740.10803271367,881.8886411484515,3.6807142020054236e-07,0.00014231068009647478,0.09502478547457174,0.010571113740145964,0.022396688643684087
58,-465.60102239288284,758287.5515135183,701082.0588568216,118277.70356039456,64386.030635769246,51770.467542139675,17379.780053848364,2267.8371937658203,3607.0379391291667,2595.4859189183803,141.66067207509272,416.9158612051334,985.4969090288755,28202.07725266921,20765.704604774164,978.8288458983693,2.4895113526969486e-06,0.00010525862650470406,0.08547878719220468,0.008237952791864775,0.028442756724117654
59,-419.02075404556444,816962.8174765783,768165.0733876856,117405.21160915027,59281.55914196251,48534.034203262345,16522.374382826503,2103.5801521896938,3718.9274000016103,2601.277998595087,107.95567564429906,177.2492137416539,708.9477401380299,27612.053657167507,31174.38734405653,1063.9477595174847,3.2122252952687677e-06,3.934076832738832e-05,0.08669986204348908,0.010574953740825207,0.021733295444421444
60,-613.7332976778036,780751.7101597029,731172.2990597,119601.5852978489,61394.30604769342,48000.000000574495,16925.27431001736,1770.4051531857272,3998.0179584321927,2636.9168214090746,235.38339971356532,248.50192876975152,744.5484769709076,26644.33438364162,53772.876668079414,1042.7499988367565,1.2515500799459972e-06,4.858775980132353e-05,0.09011154452510196,0.012424587936802081,0.021386357279636375
