sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_V_L
10,-669.8929175248659,776782.3998399697,689682.7063769901,121068.98541566661,64730.97120950187,48000.00000003707,17154.23243993695,14769.1877658493,2565.4258109851153,2971.0019535297774,252.4829030037056,821.2620954555546,1193.4670416940744,47669.55386657006,3674.135326042288,472.25967077320865,9.821544392536202e-06,0.00038922694420938164,0.0711018216236584
11,-579.0385241726398,789714.8740011307,781634.1523243277,118904.98888606182,60708.35973250553,48000.00000025143,16904.95669129378,2724.911728924517,2716.900888348588,3066.502766737927,147.45267126285896,302.4713425382252,1034.401726806991,52580.215217295445,3555.306551397737,408.96180235708175,1.0780664778590557e-05,0.00047134380849869366,0.1085139545807378
12,-711.2557120086394,833073.848560261,745997.152095655,123849.07902609307,62438.1365716922,48000.00000000424,16653.47399562428,12616.166161142875,2804.50959704886,3058.453427660525,321.9211271301495,445.84385796381275,1348.4914137040264,54379.46835703897,3194.7177607994145,431.8594221225763,9.62736375634744e-06,0.00041977469328052016,0.10426405863164243
13,-667.5114160522639,774421.9958440645,663132.8453739001,118384.89876467371,61130.26981867887,48000.000000000065,16957.17964020189,13308.85430559894,2781.2189210322636,2989.9651600621205,127.31429902783323,374.8212476650965,785.3687583899352,49457.905085830935,3477.6721981204,441.14037960410093,9.447497278198875e-06,0.0004482599653128411,0.10348313673230664
14,-543.4322256474068,775520.7666953021,668026.5189669773,119366.7179059205,62248.36051968898,48000.000000170425,16993.502929149152,10216.40104348138,2761.6080323514043,3155.270876930609,165.06916779552006,373.1967657885132,988.8018249069318,48714.80037587718,3389.301302890854,478.6965367428462,8.355210043715296e-06,0.00039305453668504167,0.0851868082369529
15,-571.3395297450714,819438.5251507713,725719.4279624706,122435.97277965044,69258.98081694923,48000.00000003536,16653.35799916211,9671.39240990326,2692.725552457281,3055.69249815141,275.5995805850091,793.9330507535791,1630.6136210705058,66586.53814625258,3030.9244358968112,381.83307819754856,8.82210448085644e-06,0.0004931076335417609,0.1197295651906427
16,-532.0424820405548,799016.5598899188,724123.4756542194,122287.17558608775,63173.360363388274,48000.00000002829,17135.233078256068,9161.435372468355,2840.949439743338,3163.5721826282397,245.95302629477226,425.70570059936546,1102.0140397581938,48162.83558143707,3684.8380265488113,456.898796922171,8.830524892870857e-06,0.0004081222605900741,0.09757782159679197
17,-606.3575945035027,757434.010094919,735281.1650844736,121585.3976434042,62430.332663882175,48000.000000480024,17427.42246422125,2516.6485023802534,2747.248751743179,3190.559934721805,249.82587844639582,415.6935840893282,869.65618801592,41405.136772606755,3879.6811895325536,526.222290424343,8.64204750277407e-06,0.0003454370137370469,0.07136172190887982
18,-806.9693894509436,761593.1297904596,695627.2680030662,119988.92774410955,70584.96705118883,48000.00000053135,17615.20489458115,12757.812355044067,2710.924986107095,2815.758629064773,207.72019097937792,1085.3120672380355,1974.0697906245464,51938.263969193664,3290.6994049961577,445.4175285356431,1.1009936999569557e-05,0.0004552844492661431,0.09768552075548735
19,-760.8497849186406,771561.6654868165,603547.4716152983,119588.17900283149,67659.98059993755,48000.000000037835,17468.04322302933,12749.230463196169,2807.5463718217216,3098.551173747349,166.87670818726718,648.5916638513041,1510.5525874049422,55364.910105695446,3258.9488178996694,425.43443526852235,7.432304676063382e-06,0.0004733847894153887,0.09923241308432154
20,-417.96400644775815,773031.7359424883,657168.9836887702,120695.74614195898,62986.72837034778,48000.000000000146,17096.566582533862,9899.620120694202,2830.2627070406156,3208.6488715938567,241.92674134007356,349.49106984594204,984.5636949155988,47477.924438430215,3582.114109766337,464.10785978413867,7.0285850068076594e-06,0.0004100883348055912,0.08590148136142987
21,-677.7741916368494,791062.6130902409,760809.6984538198,120437.83335307888,64167.908199059966,48000.00000031563,16755.202309913635,56598.38959507394,2598.379273244376,2919.8971845082096,226.4160096600161,497.5869619256496,1246.3187184356295,42330.75726014057,4426.168979967316,533.2901834982863,1.132902461356661e-05,0.00031447407373141,0.06862415833404117
22,-575.1943186390397,781511.3869379517,715089.0233707876,117185.2214404225,63562.67543027272,48000.000000000065,16871.940546688304,12493.822905733274,2735.368971094156,3058.41973263729,79.1467174094963,590.7493911747035,1097.032692301723,49370.04913319545,3784.85997407006,457.12322978662877,1.0469651634900295e-05,0.00042420861219812095,0.08058729995519069
