sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,m_ND
77,-448.53599284121304,777492.7863944588,619421.0736884894,128445.94910926426,75217.33705505557,16378.329344670019,30701.70693829276,12650.500125375067,2578.961889506485,2936.329617970619,623.1842841045974,1118.4522954672102,1457.8868874938198,0.03405460490255846,8.50401255546965e-06
78,-417.7688761785841,801135.9581640576,632061.5481742779,124514.88465403205,65515.28705643274,15778.175873894186,31083.00856824027,10726.756560215672,2773.5074158263938,3208.99217243796,391.60811746402896,483.42662658420227,1237.054844641308,0.026012875526091217,6.479776645060976e-06
79,-491.92747617752104,813780.3052085026,632337.974062476,123684.68298051604,66893.97800986601,15766.414336902591,31641.83130647956,13880.903368970532,2486.3277051465084,3131.225983238218,313.0798321445189,642.8307647165798,1147.947049343176,0.039252739115695566,7.808237120911743e-06
80,-466.3424089605063,794588.1965679629,585701.6996637867,126506.0514927817,64952.8218046045,16201.922339542343,30037.52981467103,11541.80569952411,2697.126015697871,3287.678000507882,494.48564384489123,407.9593165803314,838.003741890145,0.03371107808760073,6.005387450867315e-06
81,-327.5620432499142,792843.0590139198,673666.431185155,128506.54295090731,66894.96896702473,16233.447935423777,30710.173481186637,10185.578281908067,2781.251614682275,3180.5418204273237,646.8782628451047,573.8633854731627,1147.4530122396068,0.02898173959048763,7.518933498799109e-06
82,-506.64286512738187,781224.1398839707,664805.8418730287,127282.42681988796,66228.08916545597,16566.56492730972,30058.43242259398,9083.621661371446,2679.301754289736,3210.243724169467,642.3936233415833,576.8102623587073,1333.1048927714367,0.03176841661335427,7.944596869807748e-06
83,-461.21798418431285,781153.4681221889,717363.9196513958,129013.7978016902,68067.41126029931,16468.781224027003,30847.85003010419,4932.57396142081,2858.501309708686,3192.3234086761627,590.6530557622834,628.9866011941145,1504.7848204278957,0.033872646996034275,7.773046013156582e-06
84,-540.7487721011764,749773.7285688496,650928.0352672973,123500.57778172521,67357.99306931702,16909.178483920256,27902.089238306275,8267.396653735042,3042.6669896507688,3159.0288020490702,419.0158865755562,666.0091500415249,1130.569583766519,0.02381891871442376,7.972073597056086e-06
85,-399.6814302702329,777071.6839130352,606684.5302039245,119689.78844411526,64044.541915934584,16602.012490967165,30780.980692346267,10921.713900807968,2776.6855779634298,3304.17245577988,189.70629036149364,455.34934581039585,1156.8785007285974,0.029433888337088484,6.658972674344501e-06
86,-406.90091709025353,735783.309051098,637334.5457171847,123109.8514549322,69029.41015708003,16876.478910950405,29560.60821318087,6501.031094282415,2673.68355487539,3255.628788054065,327.5246555628349,598.6679032396374,1028.7391290451133,0.03232478829119953,6.386331317045174e-06
87,-459.90416933847615,794947.1268629592,626752.2643694204,122281.85398481996,68508.51202965272,16174.183540647191,31542.419265523,12584.624165210635,2608.4147869901594,3085.244643960105,304.803527356643,601.6025338723462,1318.482460749309,0.027409719837038334,8.06215577383733e-06
88,-416.79472008560026,738355.7948993513,638061.1154634587,126573.69786772714,66912.89537269025,16972.303910458264,29528.58473101326,5759.569371755782,2912.0037134171826,3347.055565229639,557.0507506207097,509.11697291315124,949.44221258888,0.02698416141312253,5.955982408308565e-06
89,-365.7806242390187,738477.5006174038,645077.8648920252,138510.75844184906,93649.0537724306,17153.011153080897,29629.05249963105,13358.45249347738,2411.4449161567113,2621.1606536388413,1069.367344111254,1802.0960597517285,2743.226368039286,0.022847393219290805,1.0277310025346156e-05
90,-404.67660502799555,758145.32891249,656415.9260585094,126252.36944910411,70149.94651171322,16979.619320207297,29444.203086238802,7311.68188766507,2849.562411404502,3122.3273841842224,468.9707404374866,802.5768844881134,1658.1032146035107,0.024583178419123212,7.393864275417181e-06
91,-523.529457345919,741114.4357678579,666971.9185738154,122864.8975221354,66626.58216652308,16797.571726784157,29074.375427051804,6592.001800170797,2588.1476568597072,3180.7199074312057,311.56743663190025,490.2107927534815,1135.452213069514,0.02844941294900772,8.343249140396042e-06
