sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,m_ND
426,-908.6961902885965,728098.032234809,714421.0419625842,116651.81586575272,65665.13860669198,17474.514654506645,28457.820830368037,5046.228426071538,2697.4821842846054,2940.275191925652,62.15677190639057,600.1591730815278,1171.719019696868,1.1647747818923836e-05
427,-567.812363260496,729360.7947098599,716917.8447901425,121104.34300251007,61535.48215730299,17547.253784339864,28197.02820512382,1542.9094693645582,2690.2835760843113,3227.689167200633,331.5290135530203,294.4872521123734,914.6760062042421,8.649233035992707e-06
428,-518.9456768453779,731618.7593028307,716532.5986194308,118388.15149265897,67377.84833317582,17545.448038907165,29571.715487725156,3878.242862704544,2724.022937366076,2960.3425690994372,118.23330394620211,754.5912140931613,1356.2476851995275,1.0207422841697653e-05
429,-740.7074255371443,722614.3182398637,713163.1294236142,124618.57847602844,72960.48109940272,17397.584220068733,28016.05853093875,6436.0040367758265,2598.0367788816284,2829.1385137598086,364.9224607575431,1144.999512637055,1579.6572459001106,1.1505582841594728e-05
430,-624.9464639232285,746372.2552267845,739367.63579094,118082.71819658368,65302.85157034716,16873.27324192075,29218.798968398027,1689.0989303573376,2655.9673233884937,3004.231209129252,142.92468212255582,685.4845110997283,1194.448155985667,1.0209784086894838e-05
431,-663.9927745301327,762172.4340129412,757060.8469077044,127400.63049378386,77333.78194605082,17315.753146415744,29777.984522339913,977.6253214165368,2736.7715246926055,3049.0388706911826,550.077701434237,1456.0668263053963,2066.4356837715145,9.126207582380874e-06
432,-483.2032196733684,723646.8754095933,712344.341674997,120918.14289713428,69768.26386698727,17393.657209382895,27665.810058796123,1587.008501795555,2704.3349834165756,3052.9340683388705,271.70891469566715,988.5012661898222,1138.560388471706,8.718832345032379e-06
433,-721.3086042082082,705153.9626727931,694239.5484743182,123530.68844746953,68926.89038860507,18117.41003160909,28919.379344719888,1555.197413904544,2726.69290358417,3112.8507840221955,413.6675677450208,619.7212546782613,1250.3630043971336,9.060074447281921e-06
434,-552.8832031640366,703246.407461171,617005.3018328657,120614.36028348892,72820.36359014196,17858.849890716698,28134.237189223717,18390.569682239846,2507.69698370797,2749.0753135414107,208.57630740568607,950.2088829843831,1597.2423550900676,1.1839823111477287e-05
435,-725.5485015980249,713133.4750203678,701624.291190889,120066.27843266824,69397.13630889819,17743.141684814254,27449.700677893492,3476.9610737840053,2525.159458817411,2930.400100925535,203.90075054460476,788.3972743419797,1279.8444526313922,1.1018917601275711e-05
436,-534.6381081021963,734301.8747400484,727022.6936461532,124792.62104366047,67302.14121671475,17579.273264723903,29132.743064708666,1970.2356670199383,2802.22461812349,2954.478408564496,405.6260269745236,822.0628530065318,1369.2717555759125,1.0658806471884898e-05
437,-666.8019130227771,698579.0553309135,694042.0220078042,119756.5199280781,73835.21713182234,18274.297343236525,27968.594104238524,1297.3314541207296,2711.36837911133,2872.934608600322,209.0792333649001,1727.823666087974,1622.9893017184934,1.1843746114958645e-05
438,-737.3301559668632,728884.2843847814,613942.5875063557,118142.34101527829,70463.04832354476,17779.340242745613,28552.123981089953,26775.644684184503,2392.420349416667,2735.236139672965,155.47902591106782,1051.6941864979663,1672.7027383333877,1.1702605341431228e-05
439,-534.5260734471824,733462.4577523379,666097.8361887723,130787.37256909885,89041.09186447527,17236.160867681658,28606.477869602164,29579.38159363358,2385.03801169594,2567.4087504482723,676.8864431039304,1443.536809222209,2242.782104380118,1.1385137456034888e-05
440,-817.868741616538,688238.258134495,685729.8362239611,122161.22919252778,66618.0558591684,18196.77155474423,27860.755612095043,585.2777411317019,2775.540523681795,2939.550765027294,371.31334786962987,597.7452600252383,1354.0419191853646,1.0968471686352978e-05
441,-631.7296538064293,711125.3694431777,705171.5240106714,121799.0908471151,69167.79823522877,17877.51291623913,27501.755975402066,1121.982350940025,2558.0810212911547,2966.507446438209,307.4709275369281,1027.718141556654,1466.4465618395297,1.009844042106363e-05
442,-585.8774970553532,692662.5581237146,687360.8021088482,119343.18015471808,63214.28969870788,17587.256578601926,26840.613195877817,1112.5371077527384,2527.600046752203,2980.5404931612256,144.31364045629073,417.4894624115199,1045.72843110648,1.005129405640766e-05
