sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_H_N,p_H_WN,m_ND
219,-413.33486306196903,769809.0675125538,677849.4048423108,129590.10816199036,64269.46674440235,16989.357143595946,28193.767761217783,3579.101356165288,3451.490728939948,2500.335890042895,769.0378507334151,438.6146923024606,972.5490368830444,0.08521267901083596,0.014688420864215984,1.7128877001430855e-06
220,-466.16749943168406,746204.4211404237,645075.3535673167,127039.55175147929,67564.97330169826,17856.576134691062,26779.518447883285,3610.3979846705147,3910.4498914137807,2591.0945236131583,672.7327779002318,518.3811281931859,1044.0310509959477,0.08554255434989891,0.014737101598859778,3.429178265906523e-07
221,-410.4571508743403,761959.1626747309,713857.9171221222,116950.97688052505,64085.70447337116,17370.37933315031,27151.831379164036,1739.9235733748844,3755.3580165064022,2605.0506609544364,84.13800005263658,396.96486714104174,882.6748699954246,0.10755301959305266,0.010485409494323932,1.6555649952570114e-06
222,-481.4354662490459,738153.5866589067,715211.2497364832,145815.30232652297,84112.22945428902,17785.979451606294,27108.70399222246,794.2469580328539,4227.272980641523,2526.577170916819,1792.089000705489,1358.5101198436175,1994.6242757930618,0.0895082526755225,0.007909494598102173,1.6311650339256778e-07
223,-337.96802633681557,779751.1189131782,707304.0052485223,116931.81707256213,64047.365112230014,16710.509122372983,27966.9670526686,2848.5113295672368,3508.1671744168025,2629.94094557166,80.47428125073814,381.43667936445013,899.5073313749102,0.10129496450148807,0.008421419876453309,2.3676121555269914e-06
224,-503.6424952370376,783438.9281210563,710134.83186498,124596.30540210223,58708.60883690703,17236.326060725656,27667.223128839996,2599.7779723693893,3792.597286844405,2704.463829309009,484.9052649777131,146.53245048206014,923.6492065528719,0.09043808804261702,0.010530856253930389,1.1059778960079343e-06
225,-358.7151618346549,780991.8014862265,695352.8050119078,124904.58866537016,67081.21453864922,17159.21999311565,29217.061474209484,4341.128321680691,3334.203191081617,2571.2002979264334,508.23333453403455,519.8233555492072,1445.7322219516966,0.07398054011246222,0.009158667996539586,4.663928687044797e-06
226,-286.88449492619213,762939.9338049296,717572.6022831108,117566.42271176496,60909.838077966866,17406.57369214331,27615.002790586695,1972.0479379777832,3542.7047914920395,2472.2409152573177,119.06682742332143,262.989262462161,946.6945886241767,0.09786535743827558,0.010891564229341386,3.277274007854438e-06
227,-326.8095631487936,769928.0789761142,684055.6428346328,124644.73430154331,65665.41024076771,16902.255738635056,28045.33554531595,3259.6726880553983,3588.7472911060618,2628.4663590336318,621.2803247393955,506.1415244997704,1067.601914683179,0.07694845808993159,0.012804560657959579,1.3211365809255375e-06
228,-355.50945481703536,765405.1481377817,639055.3202145414,117329.9348874516,58812.03835142353,17281.39282583119,28420.18585068482,4716.8191320246615,3766.962797440089,2623.8903965117306,114.06221911847555,145.24913054618406,747.1887060698026,0.09818632791022636,0.008722263781277247,1.0505177903028228e-06
229,-248.5415919091535,733046.6245763492,658664.8083940357,164650.23945273153,105195.78085007198,17668.20211716321,26875.74629048071,2685.4831766109883,3865.8013232726385,1847.4390258306387,3638.5905684667355,2069.377097464558,3333.298668897984,0.09481542020711337,0.012025034796557059,1.8731710264885787e-07
230,-354.52971828398853,789234.1960266433,693807.7446610727,124020.10588332248,62429.95985883401,16875.10962229784,29137.97943202299,4484.229464244052,3226.879250198316,2601.6031787080988,487.0711585699526,326.3381840772506,937.4670985644499,0.06484881046897577,0.0124829821853477,3.396996799102475e-06
231,-287.222282448284,769967.5758670712,664508.7460866291,119344.02364827736,62163.869476272324,16961.996927802284,28078.606988117495,4231.27110059092,3622.452742692688,2755.755352335666,228.53482662672704,330.61194895160077,892.3115147274979,0.07879656779574555,0.010323645063592093,1.5083380424923095e-06
232,-372.11691645198533,720308.7587915086,642068.3196853037,121324.18385036827,61673.84043983415,17946.620510246205,26713.60476345628,3020.8500741288726,3886.5212380040125,2729.8322075624183,445.48542174658024,269.1030961902299,814.1210964465289,0.0852537372981972,0.011195111179248709,1.2242981743465174e-06
233,-363.92905455281755,736825.4427014834,701796.2421221536,123171.25263858029,61872.82856880634,17729.463178961196,27105.299263346296,1244.0183618671933,3928.1680162476337,2663.6526418257304,452.6839383968438,293.9136140030704,937.52874062272,0.08929977222604157,0.011285722088383781,1.0628380565055476e-06
234,-379.68295229779335,729117.7862389651,701514.9482330697,125871.54513700299,62485.201558741464,17599.064842531556,26317.658191522634,1063.4190312898227,3892.1867762280317,2908.425197762272,807.023959339785,371.2531739498216,834.7073496152041,0.07160834602015254,0.008003511149999483,8.301504509341479e-07
235,-467.69636156965703,791694.5239444303,762605.2353379241,116519.88240475093,62245.18695600043,17009.580324384453,28088.83670205128,1375.055834486314,3707.8154136163666,2359.38888356142,92.7406369593114,338.715878819367,1296.5892991642097,0.10233790124875461,0.011338066081802288,4.612560848494571e-06
236,-472.06124691809714,781112.5361132772,756450.7002480252,123088.37566836609,62193.50851011243,17052.876679783727,28364.350059908647,1162.4422597062937,3625.840715491246,2717.0879423514916,451.70410482980697,358.09007508381,781.7059367286372,0.07716022582215967,0.006614813352047853,3.7743137159531652e-06
237,-408.7249363684539,767737.6499630637,630190.7574193493,142925.11267052052,80547.7610884583,17529.026049146814,28281.421886048018,5009.089716658157,3681.59460080097,2279.4552448983122,2126.6720762381847,1228.4558698045494,2231.3550008602874,0.08764126210146833,0.013956621371592351,1.0000000001783516e-08
238,-438.0292603467585,785892.3524124203,738022.4065750602,121552.62261397624,60994.80853533529,16710.899883453465,28375.89374565367,1920.9401229846137,3628.921318693084,2775.6167176941626,302.47086440375296,230.92995044055309,735.0334323076355,0.07705993920259599,0.008382671209678193,1.599138346448059e-06
239,-348.9751101616275,764364.8100198406,726851.9452710816,116900.23664530546,59460.237196351234,17550.667544093347,27309.940359041728,2301.951758310917,3031.3737101506417,2286.7680337675547,74.22742508199978,155.30698085880482,868.9448740592643,0.08855256782288129,0.01564196334267458,6.039884448815107e-06
240,-297.0416632442223,833337.1756082233,739694.0592280894,120001.46697101077,60686.82214348215,16407.930127874308,29102.019463354212,3719.7462770609523,3603.5917762055456,2518.710699553679,363.7309946137235,227.3138123832254,779.8551467378936,0.09507998974482944,0.013950321785555228,3.0092874004317337e-06
241,-399.49086625259054,720652.3306176143,672123.5560614642,116700.25105055254,60445.7828312485,17924.071524320352,27146.4279496202,1944.486472702,3635.9739372680033,2694.6137104672703,83.93905680064992,228.31208034517945,759.267106288677,0.08594306596420755,0.009730933678829694,1.8438050274008363e-06
242,-334.49267666990045,748962.8512467849,720083.1524512616,120354.83579180767,60119.41606220235,17730.524631541608,28065.988298284905,1186.791480197587,3800.784045079029,2833.550324782272,307.4038620192343,269.49008083812885,738.2506337825874,0.07390583895947296,0.008868612562587003,2.175512904659158e-06
243,-347.16546488612664,793516.5113172089,627798.2462706032,121611.41756061515,64857.08154869506,16891.822992361827,28392.435222602664,5574.277787932518,3861.5171319301344,2614.9867463231035,379.400694368714,447.2810961690686,910.7818506486024,0.09951482889058562,0.010418847481674216,1.0000016551941972e-08
244,-316.727408493166,724312.0813919076,684154.7297715149,136053.8964940092,72840.7195870858,17915.67986211282,26155.869558764436,1483.9421543532937,3855.697450528934,2590.86041747954,1417.1626364642314,815.0567850484596,1753.2134613698613,0.07605662581356507,0.010714130019069944,1.0885179683927618e-07
245,-338.09885055089603,751827.352270853,688267.5162359314,116034.14287663017,58391.26026301709,17079.01931382283,27158.85505739738,2832.228049598257,3307.613308177189,2526.3253170677053,50.72193643949185,136.60853662770495,753.4288088030265,0.08275510366591245,0.015848483514617557,2.9525201311190814e-06
246,-262.81600912463796,809705.022632286,748541.7989600945,118307.28928611011,59938.262869063015,16809.33960240049,28291.57515967876,3876.211722970692,3121.801580131606,2472.448492828065,139.73978136934494,220.05344900842704,928.9101556145387,0.07887467711938026,0.01021082929606313,5.78913607320598e-06
247,-262.2004726563518,772442.2439828499,761558.8000738381,124394.99209629188,62284.87233995769,16776.39698651097,28305.698325687215,390.13810487880204,3797.396630387266,2741.6196842114814,493.2838131098866,294.92073948787174,858.8746336025558,0.0760049971621014,0.007949816887245826,1.5164398373941723e-06
248,-331.0536665685412,760921.2380363873,722716.0194433146,133205.80115697964,70071.01574946556,17074.233484359225,27993.786430425196,1871.3250565222704,3366.2669829085894,2456.8336018565,956.1424772759179,602.5491889600987,1461.7075165271858,0.07258394149685814,0.011073233416536848,3.470199000333961e-06
249,-366.82839324905376,768763.0831862456,729515.3927583139,131796.6953112129,66364.67208564667,17070.24091166619,28114.80207000568,1793.7641398339626,3507.1859533452207,2583.0780417964334,1007.853989523722,463.62486783773886,1154.2733745070361,0.07083280713450363,0.012020951979081668,2.8489681803469815e-06
250,-400.7883540214084,752389.6358113347,648276.5292000123,120160.0692248841,57432.16839039501,17603.111797069945,26029.50866735985,4376.711471113009,3782.012095494873,2657.0918100295703,250.99221969475713,95.54567993822126,645.2922057138998,0.08936772458288611,0.01182380538146007,1.9197814803849832e-06
251,-464.47387809968467,785020.2587874115,736261.2860776258,123705.21004375996,63451.08558122736,17044.577812210176,28272.76986109103,1991.6503231790782,3569.208664671905,2614.7233148870746,537.4304371312847,355.56996051595894,1087.9748984069886,0.07418041115954134,0.015331836464732154,2.1955052172409493e-06
252,-347.3816741892804,773631.0386656824,714222.118758571,118489.86270698812,65368.08006469309,17020.378076134344,27577.018605639507,2510.907522485508,3308.0946409589196,2652.483557020185,190.70627644909743,491.1127271593855,1142.3859959364984,0.08898663117931073,0.009858377049267853,2.5941830229793206e-06
253,-272.2324541592625,719417.4947625371,657301.0261322185,119856.39881799962,60618.50706010408,18072.463153765304,27277.97449787512,2538.4287701143317,3460.361990300622,2746.4243133187097,262.8266416488923,196.99170001907137,832.9403205296161,0.07841842366893759,0.01220128194635108,2.147881577653732e-06
254,-396.3395553105553,724692.5326175938,682292.6085351638,122326.47507305999,64596.66058285751,18033.675148448674,26093.940620272995,1444.2243598607022,4093.7712726735053,2690.954637959416,389.571129855826,523.6226107675127,1159.0929987709842,0.09552005630719865,0.009622015637056709,8.158318201663801e-08
255,-329.21096790220236,787151.6177765777,678049.6927267769,115933.61802368904,60956.22642119403,16936.198996228173,28075.53187039689,3564.718328016668,3945.937629562824,2526.446076379765,38.437202802404904,217.30441613967838,893.5486698965448,0.12490989251248248,0.011459105652861939,3.767969819388926e-07
256,-422.57504633429744,794758.9272475682,763615.4833556284,130550.22147116174,65611.23963198405,16882.765265341226,28468.077613869023,1074.125193583295,4024.0533016429413,2654.3720365317254,914.1890420175256,537.8919220307555,1058.4551031611425,0.08115784272177305,0.011826431763608961,1.0544055400320992e-06
257,-407.1931159829013,779170.4568402275,700584.6513591475,122245.7942764434,61752.71134404397,16929.200720620116,28259.67288839932,2706.7430468497046,3812.8155448447405,2789.881321949036,348.666915443013,298.9408536915536,920.3171052169686,0.08515310675503696,0.00926984846940967,2.6420023169847437e-07
258,-378.86393877177574,768819.355402485,712087.876788882,117766.61663918044,59594.31409228129,17429.5654256946,27501.062536284902,2460.7194273067007,3480.6280041029627,2523.764758928098,115.47782325130612,156.6131738390916,762.4530520180563,0.09004114964008414,0.01453798283557777,2.7163282202141393e-06
259,-453.3332359060788,732748.5927039088,717891.124897468,120282.60927034423,65755.14029365304,17520.622140943033,26525.94863047987,573.1809056489224,3789.7668506689047,2694.187930048496,287.3980511421688,583.2834277277714,1094.329454216981,0.08820561988720281,0.007599906599994781,1.4169244902910482e-06
260,-409.61879813542043,766195.7107095309,748745.1284260516,120532.23392477403,62883.93826313185,17219.445896202087,27546.850942139223,771.0236942491409,3482.246980160735,2816.552652294541,226.25549764230868,336.42909995242917,924.1748974795887,0.08142634941960654,0.0051199451127016595,3.0122926309121767e-06
261,-388.8365903972612,768135.4236685387,683193.1028135769,118737.4103998251,59362.005289200046,17122.765706036575,28331.966665122167,5057.075257945171,2902.3311567305395,2334.8771952973307,171.10656010569457,161.80395651283678,804.7960549413735,0.0791954745297731,0.013344745654425602,5.550851372505186e-06
262,-337.7738975174504,759834.527422541,716634.5267641724,119296.30810141667,57989.618614727784,17533.21989730347,28115.72198428303,1620.9828010350968,3798.127118324,2858.6302537940164,202.20159630143147,109.91465590990977,701.8991580187367,0.07586646003433307,0.01054303261431722,1.1697678491726483e-06
263,-307.17918108949243,761723.5762976196,682645.1746959352,117447.0084097518,59813.33237487333,17238.882910845063,28375.410195647677,4341.121646186105,2962.21357993966,2348.557062823179,87.83395631930512,204.8602503305359,874.4503017382384,0.09154060052433426,0.014137612716986193,5.349277409483556e-06
264,-445.6812892355051,786705.9919691915,697516.9076237605,120890.91797325532,64530.72097814189,16860.45943730959,28636.808009581517,4465.883315551936,3239.129241604418,2232.713570261852,243.2193898320912,408.3226661239278,943.7561420048864,0.09772910201013074,0.01569172643617329,4.2897119570697395e-06
265,-467.86216155286127,813007.9223869701,788516.5787766192,125939.79332138704,64893.77401682066,16658.003377656376,29120.29718725205,985.7702638734595,3627.7580000573375,2440.468852981441,649.3664812539726,361.1552800695475,1162.9592445138571,0.08404800350755694,0.017985606078132006,2.9628746572853293e-06
266,-369.0386874605116,750655.179689073,726510.6331048121,130084.59362006288,62987.46906662179,17885.088566905903,27312.4847337656,826.4483376308746,3973.969900716357,2707.540003815896,940.6697450475081,324.56047986885454,1173.0727310292436,0.07913274961912174,0.011736048482286985,3.030835679132891e-07
267,-426.4410063435537,807501.5397533074,750837.5980176288,120040.76782817802,58183.04444124511,16571.397073353626,27769.562035714775,2051.2180538053963,3607.1918018977617,2584.556316149479,237.1380614914953,155.70977043941832,814.5479346773819,0.09467887593845149,0.00981088954647488,2.0215138909659206e-06
268,-353.11216399993936,778972.1190203298,690817.1122562526,118832.25965839584,61990.33625816252,16755.392681960584,26712.322283737405,3910.5969650627376,3388.556976400062,2409.826009819219,195.25588009996247,275.01244768535787,1146.1430525462918,0.10226734350575031,0.013166505591776328,3.402199190914111e-06
269,-505.37053700498296,731111.7245137825,564819.081413341,159983.35544363607,97758.73447236909,17946.114439195782,26502.130702200728,6234.100342203142,3121.932189972044,1968.6935259069905,2683.0320200795964,2646.687094933811,2473.0111000296597,0.08501412551357729,0.013215341291109347,1.0000000004468018e-08
270,-451.29411568863515,785884.081337858,741313.6956082365,123670.55685406052,61481.42529427355,17240.13629665811,28157.482518199293,1908.5276456167835,3509.3479380509852,2503.079211280718,511.550065914827,249.99337523274508,805.4009752942137,0.08352780413995864,0.014071808651651169,2.740327703256052e-06
271,-364.8544268049095,685152.4757234078,652547.4986261963,120412.72714440331,64191.19696503003,18505.505450329707,25907.641392939477,1310.932522113234,3594.834488942339,2482.8512232742796,307.55372889978645,462.8656387878635,967.9485543291642,0.09311385132890126,0.013153580918974615,2.121979062645155e-06
272,-345.52754085320004,763432.8834828692,713309.4802865112,117358.97659352537,62484.50149771989,17065.03401132406,27377.45087581939,1941.1554403876085,3565.598971111466,2559.5469700958492,96.77432534981607,317.67572823960336,912.952779879828,0.08708170984036163,0.011496132576805368,2.1709036129149127e-06
273,-370.50744604569434,735440.4803932337,720193.9879929029,119552.49218781752,60258.93602341037,17480.413406788477,28026.619187272838,608.6197466494925,3805.5315468726426,2512.757907341149,254.6720323998416,200.86927795421843,737.2099360113135,0.09509540643893065,0.012529371457365924,2.0334903039713043e-06
274,-402.1836600354921,736497.5780455959,614114.8202235437,119455.56649703113,60933.43711965837,17520.36290718017,26460.807455889033,5036.799620925356,3676.5629509060946,2679.990158297183,215.4082937639535,233.18061665028128,906.668378796132,0.08800074527740608,0.007844971291741146,2.3102105674749367e-06
275,-414.15195546231774,755740.7417298931,663607.1229823874,124897.69176435132,61154.469598648415,17220.96409459599,28198.93857480021,3839.4093531723192,3592.8233251132233,2659.0018911699744,649.7828022423125,265.67915038456084,723.4175757226739,0.07833023994952526,0.013160790046911649,1.9053008091479244e-06
276,-274.1587177998207,780375.7321355778,729719.4405124638,121941.28844109365,60057.28322362735,16954.731609676004,29443.99841276347,2973.8096761906327,3269.530143691359,2537.189555651684,348.62752345581094,179.94054441315683,772.7589332739997,0.06896968658952166,0.009823221101978813,4.847814308970341e-06
277,-416.6659168652164,762430.1567894632,719345.4714512085,116986.53584415886,59575.761224313064,17456.78715494106,27571.49720350676,1764.450834670906,3685.5577733864784,2685.172891760322,76.36381808484394,160.231909065315,766.3823348399675,0.0895906609086919,0.010529779154590227,2.5979592387715565e-06
278,-429.84832045099074,758131.2330804865,708698.9078089781,125944.81692863282,64718.81970765225,17364.217332093634,27938.69906458684,1890.4273093821917,3628.2026794214125,2363.4225182982796,740.2508988905545,425.968583385659,1111.623991536201,0.09210542470938696,0.01718247653970967,2.1422940102944315e-06
279,-411.465464804033,762889.9713799445,663598.7518745698,118171.8282330694,59551.231673247785,17429.681608779894,28137.575141560792,5253.566246417096,3252.2852552211293,2554.2110472417316,191.4334962327393,189.123784617149,795.3810847256673,0.07832258772933245,0.010663278277200459,4.690920313717993e-06
280,-418.68375011667024,801169.3101763445,615983.5285416194,164293.0307383198,109580.68765932426,16912.308540985134,27550.7761125584,6193.343370148372,3578.8380882328283,1554.119921517298,3013.78007699772,2404.368880182184,2857.6418930498057,0.11747149968198525,0.015574534633433968,6.786409499704394e-07
281,-556.6723282043288,742782.884118562,673320.0768974326,134451.7771351616,65237.00222101776,17718.17756725273,26324.13237076914,2609.1628724144166,3796.792282105123,2601.7534256101844,1315.2354660319343,444.10734326332005,1210.1704839005333,0.08735815734297381,0.014204893212958362,1.6249650184662192e-07
282,-526.7573595857807,748121.7814827114,726776.2209236351,117896.31277045103,66315.50529500697,17243.97199023962,26394.53523902164,1012.8670657064121,3373.9660886914153,2320.2622714318836,125.36584979291364,500.77402444380255,1117.1922034469114,0.10187379442729337,0.013064925079535957,3.8014756385740942e-06
283,-369.0196164778383,766682.2101437344,735026.6231758469,132272.30564558116,67077.75792131702,17543.01854893928,28575.31696693208,1241.9861341442595,3537.656815389707,2613.127003534993,1216.8021689062414,472.9884707016632,1157.7092704433821,0.07723633549430314,0.01561436591016038,1.0051815013682383e-06
