sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_V_L
436,-642.6655419957897,849822.8732406597,625258.2263900132,123435.61778146877,59240.62886525892,48000.000000247164,16357.53313973326,15854.544394117931,2768.1790191837017,3124.214510442287,289.0020589175742,206.6982645443481,1031.7684680440025,53460.60022428174,3382.8553602888783,445.3918257064682,8.099038138678742e-06,0.00043484866891711755,0.09043163859967432
437,-648.1787741775915,857243.0788754058,612535.2743511116,124828.40168018847,62535.77463869902,48000.00000022798,15917.741881722392,16279.817647042824,2662.71412248904,3269.419424062542,322.37935429083666,364.7799343897094,980.9713898794802,46954.0187031379,3947.5174285813955,499.76012042069,6.48133843001578e-06,0.0003751916225934564,0.08204976658842165
438,-719.9911230266516,805651.9850971678,697977.837664123,132000.4550786452,65768.87925240936,48000.00000004414,16720.75633027245,8529.173595102997,2868.5004962638186,3187.3921655609574,722.4416010298294,544.7567430408361,1394.5184764454887,50022.36717526768,3773.045869264267,460.0626866431025,7.582102380826541e-06,0.00038753591771563314,0.08379506837430103
439,-574.9456688817431,790729.3561731346,675114.3197777021,120221.93051185047,63181.62470668294,48000.00000041496,17247.331448816058,10168.413791897223,2762.517071937427,3168.6001742232484,184.6733144613181,480.6682873305328,1395.0828270729894,44541.777393103,3608.9417676374815,484.2712806827526,7.996336970836515e-06,0.00039266524483517356,0.09396015023507993
440,-729.8095935958792,775952.8686620818,582854.1400741973,120599.54967408204,60127.65740264595,48000.000000075095,17069.811629788404,11561.46398186064,2834.3723575860868,3176.859581798089,202.9305056541532,249.51401033811314,887.8892882495292,48043.38461643412,3525.9948751159636,472.7003221569157,5.8020310166634466e-06,0.0004026698564841786,0.08284248680367298
441,-608.360198436333,798226.6069796567,668553.953523945,121503.6145749218,64886.69277838385,48000.000000091044,17019.839584820817,15568.345851966136,2669.273821040507,3010.761702870498,279.7782987658404,498.77201358213773,1395.3025846788805,46403.00644776898,4117.613931858594,517.0425689156175,9.600785504316194e-06,0.0003781569798805587,0.07886956099655591
442,-651.9747252608018,807394.0040746694,683392.0941163016,123509.013160087,62135.603528358246,48000.00000017878,16974.35154559115,10132.63394763596,2925.0306602975206,3278.847312768321,340.90595048746746,358.15726418985344,1020.7869063636273,54561.904434197764,3204.271420266061,478.8407054650846,7.749714294692298e-06,0.00040730325546055665,0.07914475750977441
443,-661.2785299273273,826473.4265309178,571054.0870549238,120870.98404588364,66969.82407308278,48000.000000005435,16779.695396272797,13723.023482865074,3002.1654305363827,3191.179560834644,304.0451469097626,781.9044590926926,1479.3390782342965,56645.445787254364,3465.556633805857,438.4711968632192,5.910830773687483e-06,0.00041454239758133895,0.09193020470128616
444,-545.6821239833685,825867.3708380891,675235.4549736609,121911.13597759808,61052.72577273496,48000.000000006374,16519.831303841118,11037.369760000258,2865.9951352425383,3171.632829474007,279.54991119424284,378.8723178377847,950.7424849591652,52825.409808486926,3221.528768425144,451.61583692864906,7.522191019701128e-06,0.00040956226474127305,0.11098890638322079
445,-594.8276572165488,771458.8203446084,602225.6936624808,121886.81817834603,60482.65643406676,48000.00000022261,17052.717235188386,12305.315541318387,2899.3615560384783,3152.4971587207974,283.65516126694394,265.46324152402406,868.9232425972373,48328.31001716691,3504.8501655190885,453.33729794812575,6.7186329927957745e-06,0.00038637169734313803,0.08113080841998724
446,-688.1102901498584,793210.9875412674,625230.5847212666,125305.12735127973,68089.48062566352,48000.00000015678,16900.946834055667,13529.154895157051,2771.519321793137,3020.0076100948286,434.3799768048954,687.2347724785714,1407.8410975794566,47131.035888081926,3815.2188350946526,487.05746344355504,8.346310495995706e-06,0.00038091240611087465,0.09450490542941975
447,-582.1947192263438,787706.1403851066,678007.9149102105,121281.29788287007,67486.48557773864,48000.00000016855,16805.639373420112,7660.31305585034,2889.7137187292938,3217.5586437536276,248.5839629725063,702.676820015571,1473.592468167904,49180.01343720073,3803.456112697122,483.61293903975474,6.812043532012146e-06,0.00039736342239261424,0.08740010759759442
448,-757.337764414128,836075.3751962378,666394.2479313755,127934.82031455947,71566.67378034248,48000.000000001935,16189.764002611368,14839.4874942184,2728.5994485302394,3120.3516966492107,587.1978869815676,889.7407408116951,1552.8260095229807,52287.45026838542,3450.701273324876,485.8594052088698,8.094836128128144e-06,0.0003990042004330482,0.08487687062199635
449,-742.7734413837239,832086.8646440529,647636.2360956612,126776.9128497271,69752.04270701714,48000.000000005944,16668.354649859637,13204.120720222052,2861.802150772046,3166.351342667243,509.855345594106,723.1367118477266,1683.6659874379552,53252.03784473084,3368.2924921179647,449.66050934862074,7.399995903527808e-06,0.00041964826526406164,0.10532427264120749
