sample,ll,T_SA,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
58,-468.7011228140801,2499999.9999835077,734369.594193582,679134.7361648778,121408.65232803264,61359.32939984324,17512.69136348443,28578.957685706606,3054.196591641397,3087.9239867447586,2722.788837410083,314.2215159175665,318.6741241810728,862.9836677455004,0.005414028228548472,0.0582138955531677,0.012539166639120667,4.729677418779695e-06
59,-411.0484765649033,1958785.256500663,685089.5921077722,641615.5325018187,143658.02145185167,66652.87750725509,18529.414209748094,27113.39045545017,1641.4451997583517,3630.3622078004987,2804.450779457021,2152.298503864303,570.0931617856331,1279.666536364543,0.004722628599092317,0.05315957420793893,0.016167907262783776,1.0000000007052297e-08
60,-407.0729630310816,2499999.999995529,696113.3172679106,678942.3243302098,127498.6354611649,62888.598076703885,17799.480268001502,28036.504425629115,755.413993229048,3349.1744526889906,2706.2590319976475,837.178591942009,329.96446433339383,858.2413081781336,0.0006340370976555229,0.06574161605261292,0.012549822457526097,2.2855184906027244e-06
61,-355.4954065242211,1000000.0000141766,723260.0841485705,675284.7134806582,118270.84581920049,62102.92901469872,18075.3454494232,27888.53529867558,3066.3755732185236,3014.946162088302,2463.202348197598,140.40453651206323,305.6551178147251,970.1984452227998,0.031619811872336735,0.07391680478111838,0.013267815433224844,6.625000952653993e-06
62,-417.822391088493,2499999.9999976074,708997.9098543115,676245.4456636593,118149.71763621001,61393.37087734189,17923.618550977408,27214.4224066791,1877.3747102821205,3041.130936682076,2604.8407013277865,145.1758114226124,354.78143309224095,911.2752677579956,0.00026520510907118575,0.07519360877275806,0.008501719901823197,5.00228619093134e-06
63,-447.8594036875817,2499999.9999892674,727204.7723798765,685405.4512181731,126466.66629708918,64068.82857028264,17738.878595859525,28693.075880852844,2319.758609122962,3245.432490084142,2476.5360706208667,750.2040823973755,404.61450989694504,878.6819548740355,0.0020949954093495956,0.0669918215079177,0.0171521253005649,4.3696459441460084e-06
64,-358.79129443416804,2499999.999996648,710864.3026270254,688439.6103117873,120992.10322395581,63192.167249543,17873.54569795686,27669.88424269675,1134.3519168791581,3223.0213170635043,2633.7611430771026,282.46663752711754,457.83300355301213,871.705092247323,0.00750234681756176,0.07368371308107328,0.00843019601249432,4.772298015265381e-06
65,-393.9788664016891,2499999.9999856036,751438.2324064003,712600.1715060247,120979.34441299156,63625.990023128186,17734.77429705443,27535.94684615026,1829.9071895685736,3223.2459775277594,2596.343815983701,366.59692932244604,479.6662569404313,1022.6472924909842,0.003635183363333211,0.07334381709920289,0.014212558410261849,4.121544052684682e-06
66,-344.5759673296079,2499999.999979831,704519.9135139802,624354.8040759818,136083.5169761155,62864.07974193614,17874.69927468672,27214.739490281172,2929.7153407556684,3788.438206294931,2763.8931403968418,1924.6944763322176,342.0766271827469,1074.7458611359061,0.0071856161589251505,0.06622465342765665,0.014954661303165634,1.0000000001274874e-08
67,-467.8279906825927,2499999.999970705,687587.6476550341,597777.6419925907,133529.14002382776,65999.18387403776,18266.36942326056,26538.108180629082,3468.2516250802787,3627.609376487126,2630.5155056896583,1305.0194552410467,527.2574772151806,1049.3131930107702,0.003970897735440166,0.07730539154478504,0.017222826015845377,1.0000000001160229e-08
68,-302.6629534535013,2499999.999987935,747127.6074478186,680459.4080838165,122825.97940733013,61566.45143251109,17380.02094563965,28476.202800089573,3202.1265956249,3408.3230968157054,2744.9372927306795,562.9603472343439,273.79583511862626,840.3275671368486,0.004956461583516408,0.06889440455049581,0.012681828720802408,3.229724307728459e-06
69,-406.48390928769163,2499999.999993642,681575.0929394874,672147.3432371563,122089.12392379613,63139.641662474125,18332.925663170994,26359.41119880228,440.1680856082416,3346.6087727825648,2916.674467717439,369.1954114924926,433.7196240073739,855.3838884200093,0.009572174547908895,0.05570880976042943,0.011032551384869636,2.9323941469188764e-06
70,-412.6864685383771,2240595.509080613,684474.882967881,676931.0786906827,128593.48901095947,63056.04014018446,17946.191972192097,26369.711224852483,301.05340478680444,3686.0540599556475,2934.39520897425,716.7121115397935,315.01361050090185,816.5958781794972,0.006901798045180071,0.0523881417719586,0.012379382970816234,1.1746245191664778e-06
71,-457.04701973212747,2499999.9999987446,712818.0345825703,694022.5076888022,118831.21675034093,60909.99150667288,17667.77955908073,27213.997750749193,1107.061467591058,3085.1849921082467,2519.69749979257,193.47733026460892,279.7724202493397,733.9186325318221,0.0025560892674797433,0.07036329442704171,0.014986560644235971,5.28614494921835e-06
72,-407.3345510567642,2499999.99998099,708454.492015838,666778.2821034632,117884.07142034805,61695.55976814777,18100.411501836013,27645.52556250815,2563.646972888593,3181.643293472859,2669.646464255348,130.31189657817978,331.7289312551697,734.14334639379,0.005893814385765371,0.054791475389636426,0.013816619062088087,5.5201997050439375e-06
73,-404.1712432302488,2499999.999999215,707185.7827891604,694400.4879411558,120898.06569358005,60260.59883517721,18005.617683109456,26858.92710647155,692.9084486407202,3217.6140316967194,2632.492205203156,273.62009317429164,228.89432432963662,761.9379004006671,0.01083627231515484,0.059770962145903994,0.01531314070794206,4.90306124358134e-06
74,-364.10301299684795,1040960.52816587,734031.350847101,683040.0246670004,132924.9908344159,62259.46531841537,17427.63703477421,28785.260588751436,1847.2527036366034,3752.6598428464577,2870.7754826280707,1100.7277909966792,311.666885353666,909.1798971321085,0.042992592672173695,0.05136390415679473,0.01658304594560232,1.2794363241666447e-06
75,-421.26119646970596,2499999.999985635,715488.9326659513,677810.3980587362,127508.81681325569,63124.900173598,18010.581568243862,27314.333652021825,1407.5855596621072,3621.3887663365613,2849.9199505986467,794.7143493169184,369.0899998841614,901.0655854617157,0.006862209235526497,0.07382030365847578,0.011349200914315495,7.180098351560323e-07
