sample,ll,T_NDH,T_OOA,T_LS,T_L_S,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,p_H_N,p_N_OOA,p_L_S
33,-86.57170899896481,814622.466604478,53974.4141127736,52535.582388681934,21276.307455857004,16787.61324057699,2462.596214397546,30307.403764101044,16173.147408413506,93.37288105752101,4977.3489065256035,19999.999999942287,1475.1651163793908,1.0000000125296734e-08,7.5635437719911e-05,0.11134517581029107,0.02259173162325438,0.4022932790671017
34,-172.22306458325448,836359.9928515857,52257.638992503555,50734.342069438266,28131.568743355227,16380.590628851343,2309.5702223537573,28384.697788871028,27258.588181672836,115.70207641800577,7088.564060192936,1118.464257057459,1625.1809338823093,1.0000000003831264e-08,3.6724905880775763e-05,0.14674823844865778,0.018342755706832116,0.5299569279964719
35,-142.80967336119443,839581.6365277912,52433.67586469099,49906.3597381347,27595.155816407572,17006.81125168919,2119.157369016685,27845.53021354072,21528.338922309063,172.4909705271166,5117.18797221145,470.7734178133028,1444.7710085065562,1.0000000087523251e-08,4.79922590410297e-05,0.1828206388983079,0.022330647045012794,0.4728950098622625
36,-109.74809060563192,849764.1657129518,55647.29389020447,51982.467611755565,28109.72022857801,16241.263991668888,2213.8774837812534,30409.54437262522,16154.27788552535,236.24779566336395,4643.365204865163,575.7911679300814,1719.9285978567343,2.8943074083035778e-05,3.472974484352514e-05,0.16085538455017828,0.02057893397390777,0.5121209543301661
37,-145.17715397813572,848030.2368857458,53943.25138691392,52081.47884832458,22146.9596976452,16866.77274388509,2170.910686952603,29256.98060160601,42831.823961974784,131.0115403492936,4120.647771510571,14719.662396459502,1654.399695569382,1.0000000257894208e-08,4.642865451446262e-05,0.17480365152530272,0.02119011592321182,0.4309320266941394
38,-112.6134077841422,823550.1444748265,56435.93467784789,55187.53140572362,31426.37237814789,16876.445679387394,2222.3100594594002,29222.14706758708,14515.256703908946,94.23742381758878,6429.062761272565,7272.703626306987,1447.5860306946638,2.2944255924574558e-05,6.433301863286184e-05,0.16876025547404544,0.01823611579688244,0.6263429378987442
39,-154.24565212994207,811210.7581726887,53699.0591244689,52170.453492693894,31267.240296896813,16792.904587340472,2252.6293884803526,29758.025800597137,22800.368179511424,113.63284643158174,8075.064013345813,1250.2309959400573,1422.8362100197946,1.0000000061848892e-08,6.368765368860913e-05,0.14809784963101655,0.01822589934453682,0.595019373924263
40,-129.9396643736818,878232.8036671275,56030.99697403545,54924.12111558158,25303.215471565196,16160.781400507594,2207.0683740559225,29793.018360152746,17630.921668900024,85.47226719244,5177.551456967487,18291.484954774965,1426.2936860330137,1.000000006099123e-08,7.042635305838615e-05,0.16213890188272087,0.024040113700739676,0.5195548746471625
41,-110.12926870488953,789439.954564195,52983.70401195068,52355.567695492755,30562.82967146751,17622.095013872855,2241.538615651258,26230.32452273921,29186.56145855163,54.93434558359731,7110.211293463763,357.9798872076403,1708.0358710039698,1.0000000238498025e-08,2.316581943067306e-05,0.14549734676312973,0.021473273011329095,0.6202564903574104
42,-139.40149908530893,777593.1763765905,56519.16793644683,54574.51132452226,10307.030450230384,17352.838213870025,2269.220931724211,29627.816361693134,18081.87592218307,133.31961051951646,3215.311868328489,19999.99999992218,1497.4511956276287,1.0000000128403404e-08,8.576007355392777e-05,0.14718265747273493,0.014993160264260817,0.3395616610265214
