sample,ll,T_NDH,T_OOA,T_LS,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,m_LS,p_H_N,p_N_OOA
24,-181.35608836120446,820950.1470800076,52447.70628366168,51266.60381276549,16894.58251110459,2296.6416687923384,30583.368639386164,16628.286247540418,78.24475012973511,4492.257056491692,9999.999999955227,975.9314201098834,2.81776665848287e-05,6.537476801997711e-05,0.00033617139926525147,0.1527065712485226,0.026258639344228115
25,-125.67264934758973,849028.2847038528,55592.3185659927,53315.5859018687,16335.594528041662,2173.833414365955,29807.744693280216,17534.346102126783,167.6548500053502,4222.117635599619,7185.643240738335,892.9312269873378,1.000000006883072e-08,7.660254749082451e-05,0.0004213274057878589,0.16628657477786463,0.027631782274036704
26,-192.84614403072234,776996.4993583724,52120.23771758383,50073.43054509936,17626.30907540252,2293.438126909891,27226.12083979124,20305.187247943173,165.80199610100274,4772.050289641069,1269.6319192370145,1002.5973197783776,1.0000000030074628e-08,4.518494667765599e-05,0.0003361646306579087,0.1425766213155188,0.02394823606683088
27,-189.4964633030086,816141.3908727685,53705.34805659846,52228.84005757216,16892.822164301466,2278.903201352057,28641.525221169464,17028.62607825429,113.17080681335541,4160.77334892594,9999.999999975904,940.6051777582378,1.0000000096157093e-08,6.041567251022537e-05,0.00036320988641768955,0.1475524046910347,0.025579242618491566
28,-111.17229339003948,794563.1533542987,53851.05280653753,49257.11841246326,17229.815351767505,2191.238351523697,27506.008595003612,14903.080088802179,336.4373691266382,4871.190019743982,393.3773974897804,936.7218415013805,1.0000000054247825e-08,6.401671910782519e-05,0.0003938810988218698,0.17086593437318465,0.01772207520718283
29,-134.41987707310238,787320.2637513791,51749.914493598975,50457.529102865,16990.588960543115,2410.164851663837,28042.340895827547,26946.21577950283,99.48053078357788,5134.488252109384,858.9580439537749,1046.3852102125957,1.0000000021912552e-08,2.7671941839165208e-05,0.00038820622569974973,0.11906855462648828,0.017085282522259267
30,-144.70507746658046,795700.6798590756,57016.56733486547,52342.68532961126,16596.29053113658,2347.22810538399,28543.35210276825,25923.166646732207,330.31055124467304,5322.067905383416,1361.4019950907434,1090.2877244922104,1.000000007076979e-08,4.937957077236196e-05,0.00034765557617734893,0.13303469721358738,0.02878260940774612
31,-112.17330902485571,784031.1081870979,51982.46961758352,50061.49779358714,16771.017411321234,2362.1253782281597,30449.318845375114,14729.92917030264,116.48793026702897,4413.788975991621,9999.999999999742,1010.4531614590402,4.7902335383951246e-05,5.0334869755107775e-05,0.00036103427684748275,0.10575206929116526,0.02416032012083499
32,-134.79156280886963,881060.7683338631,54672.88698443726,53310.63535101715,15669.571940981485,2398.576601264006,30077.379022606154,15610.153888695426,110.27018435033972,4285.385777225297,9999.999999914726,930.4649472983295,8.809658343355913e-06,6.017985162114911e-05,0.0003769397822927375,0.11744698008213555,0.02366713646999656
33,-97.50187529488544,806979.5255317648,51817.3863118867,50728.948742361354,16845.025116995315,2488.6335981360858,29816.228664142633,17732.272903893547,71.95280377645685,4941.0693290147,9999.99999994034,1021.6332626887055,3.543715022794598e-06,6.271993450719374e-05,0.0003279661792883163,0.1073661358929259,0.02475826741716681
34,-191.54329456855132,830595.818036726,50288.898888789176,48727.882240163286,16420.410365389693,2328.3344502723094,28053.07163346286,32930.587279246975,118.48352498107396,5557.56387279349,873.587570540926,1113.957215551732,1.0000000087797308e-08,2.2883367791428878e-05,0.0003450222861913669,0.14495226373663544,0.018203941778873668
35,-163.12917741133379,842927.538393726,52040.899456768726,48889.487296174244,16869.454522343236,2149.770884522435,27962.928630393933,23386.60968300797,217.03565584982087,4453.265263770813,465.64067826839727,1004.1547492865516,1.0000000084163308e-08,4.178368725226367e-05,0.00030939493239475624,0.17716369315286515,0.022923256235167108
36,-128.887733885334,837477.198449029,51780.42097114958,49740.38214050261,16396.081984138003,2221.849480261,30191.693944088267,15975.100208105447,128.06870973396485,4055.485987218395,520.4936722670689,1213.193015247251,3.5764545349827876e-05,2.350568486549173e-05,0.0003026830276761623,0.16210597049825437,0.020654478334767287
37,-154.89262212670957,828891.9299966826,51570.43709754999,50527.02309123184,17087.84245034955,2194.848242291825,28547.600193534847,60195.33409185899,75.09566599282729,4200.465168692409,5085.674925496933,1144.7402160594781,1.0000000124007774e-08,3.262665360820184e-05,0.0003298286456530547,0.16947993193784147,0.02275802845530916
38,-144.48174082035143,805163.0924390716,50189.017333189266,47999.99999957766,17115.49654787546,2217.849215622919,29901.979610774582,10494.087898196896,119.88824424765087,3718.697354692186,1106.9889169487037,963.6699813750299,8.045795281157136e-05,5.1372303813956166e-05,0.00034542915714462345,0.16511770312536014,0.01844347799267122
39,-184.5164426616779,803763.2703430068,52127.153389225365,50493.19689050747,16800.53749406391,2294.0261605460487,29943.723361357836,22240.30380917725,118.33120351504915,5308.056677535557,1950.3048639474307,925.3151489900245,1.0000000126843692e-08,6.41357920628822e-05,0.00034959221036985643,0.14150213621066943,0.015832148088883134
40,-167.1571750820828,873500.1859750141,53794.821872254266,52345.34760248105,16183.096455219618,2211.0802586070795,29231.461932961614,20607.201022040666,113.15270866174197,4502.253509546595,9999.999999907159,944.6487096513162,1.0000000060269533e-08,5.4116614660240716e-05,0.0003753576441722498,0.16277849458829685,0.024023660120574636
41,-145.35880546386144,782489.0635349123,54279.054285520295,49616.930982651415,17612.16258525505,2309.8210033398545,25976.487205413967,37317.26318462676,390.76752396544754,5078.676451412282,368.9930627604756,1149.5101062076617,1.0000000095955903e-08,9.45424432941712e-06,0.00035924381115680213,0.1366601086762687,0.021589876870126624
