sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
72,-409.3789131043492,728799.1416536049,658924.424511633,117039.1844926288,61769.403055394796,17749.09090988847,28422.556140569905,4894.915847052569,3027.146148355343,2628.9456561212396,89.99412167554935,335.50343200581455,737.8246023916494,0.010743015342583815,0.04817062686312543,0.013891267404671566,6.596925495754195e-06
73,-403.58909158957215,743326.092046046,741168.6119128168,122927.5141922929,59841.88588785772,17372.877271213598,28210.899323333855,128.57595558227533,3180.8740510536063,2742.179326667722,373.5042946963139,210.2908011694085,743.8716475149278,0.02021361429629256,0.046738180450858625,0.015029405967171963,5.562536991832773e-06
74,-362.7551417819572,717127.3874927622,660049.4290267649,135888.1472919289,62252.88249127615,17688.46180580241,28214.073085119344,2026.367430409975,3880.2470844799054,2897.524657087924,1375.6162362025286,312.4152345829218,905.22758392425,0.008727123581929641,0.052450686365792525,0.01719921945178472,1.3523832596379975e-07
75,-421.4143435717681,703662.1806607618,661196.9664568361,128265.71078436427,64086.352496635365,18169.210354517796,27041.496703139765,1634.9937247191942,3522.87040880443,2840.4936740676103,839.6292961319587,417.0794375084903,952.7171549514179,0.011106876591958342,0.06974711349540023,0.011251874134865284,9.899543095140508e-07
76,-376.33598359110084,704925.3265504426,610748.886050312,120855.1180725886,64319.907161841365,17957.39125675415,27288.194962793605,3706.216773802407,3336.9556475091276,2671.792716030239,303.26377343359593,450.54323169453005,1102.473162409268,0.007690472694139683,0.09022495955166022,0.00919658071629923,1.7490432383237032e-06
77,-268.18962424943857,742611.4476971003,709659.7765221163,127490.5425345281,61704.25859427172,17358.093636780344,28483.87714975867,1742.802171871114,3232.2347497933315,2656.0465189516685,699.3619695054834,337.5760332253408,1020.9142172480337,0.007928356666899401,0.054203496422094925,0.014784947245272143,4.26398399577355e-06
78,-300.0733107840169,690149.8391812596,664937.3759891932,126793.74011446087,60548.55654748969,18115.487459434422,26336.66576889516,1205.5961489957954,3534.419369355988,2749.460934661892,770.9243743007521,313.9012459307519,854.8320601105486,0.010996561177058505,0.05028409845081728,0.015511077369182344,2.7999617196798346e-06
79,-365.1348637418453,690540.5284822622,666329.1342702896,118706.575646403,61267.77580495189,18176.342670025395,28167.841063523232,1642.4194364727198,3320.8383357360144,2767.7097460755194,213.58611065224162,307.52990842503164,853.641693826725,0.01064925394672115,0.04188089184651277,0.009207653455759426,6.129559526557856e-06
80,-317.33919680582136,773668.5633506597,757396.2953120472,120437.29792432902,62873.436618753956,16829.54863777823,28740.476895314594,1287.3491592244523,2820.854850015833,2359.411877697681,292.5033054802999,567.0179934342972,926.5126568313033,0.006907363246276097,0.06623050287328519,0.016768841759057927,6.8501218721099826e-06
81,-439.3655179586565,738769.6539422376,668405.7704060994,116671.91627339061,63582.630499906205,17428.613694070584,28553.30683138528,4275.874467023744,3121.7154307209944,2527.6627310107633,79.94442858331755,506.657339540522,1192.5815501955017,0.005700010297438534,0.06378661038155689,0.013353799905508352,5.934164600878406e-06
82,-294.15758933272673,720877.3133105893,712378.1746197077,122631.97792541947,64489.18420698732,17789.021522932584,28164.754405211006,433.336011974353,3196.389994110677,2867.881844247407,382.14187427633374,429.9776542578354,928.5955523286472,0.008867447713970585,0.05178238371382476,0.011538873048757534,3.968320555022793e-06
83,-265.84201421013904,727200.9904565106,701285.5159911254,128799.78250840887,64139.99893313636,17659.257938726394,28068.259978353497,1573.8194782740386,3246.506642585357,2624.9132032617285,693.3092487535737,426.3937779265453,1038.0853278549873,0.006385513021508531,0.05457211080991885,0.014504014968329712,4.9440637325409084e-06
84,-376.2073183224902,736143.8241892777,714837.49719954,125087.23862730691,61453.83703185591,17645.637664801798,27205.532108762643,1215.1065282410343,3172.3262404972597,2684.854251537559,605.4310658636809,299.5311896441971,865.6995648062307,1.0000001858839993e-08,0.0570520359273914,0.012981704036577365,4.404602768890711e-06
