sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
447,-766.9475913139338,654024.1881605855,553019.2879936444,116862.9694009651,63042.2362921994,55643.10947548704,52435.86151942934,30625.490920148095,14691.05597287558,4993.130005932257,2617.0365485807315,2325.1836106711194,372.69937415301104,1039.78424125615,108.8448975560457,24326.30519110164,33675.88929966116,236.60544884454234,1612.4505347577342,8267.603270830472,1016.2235735528733,5.24508310040643e-06,5.225720943646802e-05,0.009321754390127727,0.04099573170442186,0.016784255479402266,0.021774860223439666,0.5482638304478179
448,-778.8804136360443,718476.4994054202,639161.2972064158,117763.952336705,59236.72962961135,56128.616504489655,52836.49499439506,24294.297881071332,13836.09648904907,4898.626446554339,2633.536675720261,2232.207901381746,174.17785741417418,703.9949563175909,233.39297960358337,24801.932169031872,51847.80223052491,271.35073147225864,1974.2007752290747,6109.02858432677,1284.7067317366166,7.044741695084158e-06,1.2116408082508632e-05,0.01031613868032735,0.053681939683771156,0.023439089176343807,0.01679397917925789,0.4850552876092893
449,-798.5462522838184,689248.5400441425,573348.2882480558,116896.92011980539,58246.65292051973,53909.882071889406,49787.68299438124,26230.186024044422,14444.310898864887,5899.480247159588,2640.9182896956613,2422.3817507096846,117.46389597256896,767.400285551497,134.26244513817724,24373.682710020206,74634.3530577546,309.8196529606308,1697.168349246823,5760.046968268509,941.1766577583004,6.094719713855143e-06,2.4582875726291633e-05,0.016741475619545653,0.037586667744855064,0.01955994677563131,0.024400690011302004,0.46489135402192416
450,-826.0049902674039,693350.4540170226,608176.7289104718,117178.99137134838,60010.70274461231,52885.34468447412,49671.16096171231,10369.70550991692,14294.366076320848,5010.491249695777,2542.1088912766627,2281.4213866513264,218.3919325779386,708.6660657419156,135.0787407253405,25525.938853381143,22251.18935337748,226.89529546417768,1424.8876869747041,4175.34844186143,861.6234441268072,7.014947783586693e-06,8.020193907774524e-05,0.015248567308343133,0.04481354791765971,0.019900654169561202,0.013156384811602083,0.31397562753912645
451,-828.1743884320963,684151.8755847558,585589.4294865809,116446.79169214128,59808.6022189959,53110.387576909256,49737.54189199552,10156.152983184853,14681.199798089125,5772.968689051163,2642.1232301594127,2463.8663253120503,240.9748257170159,884.7800416306571,71.33008660978302,24751.88616065807,28586.73781014439,247.69649560587925,1679.4145624044545,4613.62719290304,8333.891554315123,7.015578411618378e-06,4.011386474357509e-05,0.019735735340272457,0.037194754384373696,0.014418934659223176,0.01246104363804894,0.27952255771711265
452,-884.5765657308912,668307.1978629371,548761.6273446176,115902.72134181946,57988.440707480964,53631.292700783866,50803.43665044469,32044.217049198105,14500.635046419779,5689.054481041649,2556.8235979522965,2340.1363452885753,107.7367192139962,646.4303444795905,49.641998601482975,23826.887943658734,40639.68868463311,240.06007563123234,1828.3702798119891,8286.951941309722,1807.9653142589837,5.482957590151693e-06,1.5287650006891043e-05,0.01816590560345371,0.042171537398629735,0.018721335266152675,0.016464112223883,0.5795864386126341
453,-1020.7826834596741,671177.3952376278,586375.3890159164,116157.69183917374,59713.75995311276,54248.83550164592,50742.58333381583,33956.789587184336,14776.894866475366,5207.494776478465,2613.8322335568428,2310.541682922969,169.91575600425978,691.480877596871,70.69322593809856,24616.81798109694,38846.35704618014,261.92822707811104,1606.0202241276754,11513.26794768976,1068.3547483818172,6.697255587964999e-06,3.358586229406733e-05,0.00899005253544394,0.051238663159060914,0.018558644736456888,0.017087954276576944,0.6477701031095705
454,-782.9200048533778,689790.5038503197,591425.7233366036,116055.84707986946,60060.161292256875,54892.619648828186,51410.3235160046,31671.472816601803,14370.38433985788,4937.037715274742,2781.6782657111294,2258.7676621206447,228.95507973471663,924.862016191655,77.96091872481767,24310.587584263616,39073.2967331326,271.2071514571305,1565.9489021878178,8003.275287292605,2623.098365432238,6.0915701982159e-06,3.6352855196113605e-05,0.007086695131859179,0.06232705572378846,0.017099963807391753,0.024057153786148294,0.6230342486623682
455,-824.8366756666246,713827.8073534223,608464.652858571,116641.82797822874,61082.25003068128,53663.93696421228,50801.12134103977,11129.828488990772,14086.492311687196,4990.693775599473,2899.0051463182226,2471.573909447962,229.1562606380023,972.8305463609406,96.27918502126842,25156.774211363798,27656.29364450921,213.06960173854773,1534.0573661791611,3461.3216923465598,99999.99999999967,4.880395503248655e-06,5.495054625158031e-05,0.0084881028109579,0.05568917961748491,0.01207405666102173,0.01992269189247264,0.31395248849368235
456,-705.3678358894806,678000.0764209607,620257.6795447335,116764.93748452664,59333.454743004295,55040.20832440894,51423.25006583339,32149.08650188218,14841.484351292123,5123.262112455187,2368.9460419540383,2167.62935786402,172.82413273192012,747.1026063869205,90.35435390537806,23931.3208409525,42321.38280445866,261.4470477155722,1763.4340114372053,7589.00866898934,99962.50165167384,9.068890647311242e-06,3.455739070141459e-05,0.0069534259339549655,0.04392075626627223,0.018146442062495553,0.017084391463454193,0.5779739361181705
