sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
295,-623.7908889646181,788810.5231908477,730949.2027631991,118829.11070297736,64881.46252168762,48026.77073806277,507870.2856662721,17134.315076267274,3750.1687467965903,2986.182187466012,2992.2926408145945,149.56428804568787,555.5743435072878,1146.953785757339,34283.47620722115,7096.297269055859,681.4946905802866,7.89842989508423e-06,0.00022458853411971914,0.2552490160179662,0.03859922163625394
296,-556.5860814509484,771008.2696105608,736651.3328937102,127596.14673620947,82943.97270955698,71379.34292398243,555488.4105217082,17514.918629313295,1991.5083718418064,2692.88238360051,2627.7056159969757,520.7589394308054,1675.6206737347857,2137.1432373456605,40640.10646539132,7602.205296935788,821.4569328775959,1.0156828195347835e-05,0.00021131089710701368,0.484635966842189,0.03602279466089322
297,-683.3781411671235,779006.1543953416,743251.44149454,115832.1490376901,62974.89265633792,48841.055252088336,199950.58683150975,17004.012949266787,2319.988578114612,3281.845705148568,2917.5270208333686,31.428871381403944,463.5496671988305,1285.4639693977726,34828.486422467715,7070.607149874841,666.357029884389,5.3476614015195155e-06,0.0002505928914575419,0.042803312160103725,0.054028330158264956
298,-546.5473156616845,751563.2362707391,731686.8240736196,119890.55204969143,68266.61795954392,59538.68656535929,240432.99762840226,17413.409246981744,1218.7618532533227,3290.6617201182207,2726.869960629493,188.00622233122468,854.2002627280009,1632.1953852078077,37142.27680540868,6212.139531525337,731.9801404831558,5.4219826111870465e-06,0.000240519940435873,0.0734530310327049,0.054700906021285835
299,-637.1498516579356,783719.2358209563,770951.0147688078,117538.63517862528,67435.67702006477,53225.529669333955,465351.9074015411,16903.279086110997,845.7491271211811,2770.334406810988,2831.8735050485634,78.00208740165235,624.2318953268996,1040.4535752735271,47214.35940299876,4664.946578675735,580.9055933083863,8.120555727180689e-06,0.0003105079470907549,0.2646125352359109,0.0281970551319586
300,-513.302645267139,816388.6785293813,784976.1658329258,120308.40545794423,74245.87481102788,88314.45606250162,484648.189054585,16760.60660787467,2137.4128396824617,2915.325479451073,2775.2176598813085,225.64117752276042,1235.6437016712846,1409.787027277464,40594.99175812717,8854.080726863685,1120.769556209022,8.743929313541192e-06,0.0001645467125615391,0.2770494380769573,0.03784640738671406
301,-656.8316939650695,740308.9108039823,732429.5417813471,117817.32406107434,66681.74076856693,57587.92264741726,490496.76699605037,17603.618327852346,407.1899090005837,3014.5286642810124,2960.5344181281926,114.92786336051307,570.5977004586387,1186.0825102150873,36526.589300014864,6072.768897476036,716.8276699589514,7.168476861062908e-06,0.00024333364449014429,0.2815634581587337,0.02157668646500856
302,-586.7526633665576,768477.1506370348,747649.2187796725,119652.01898657945,65377.67105845138,48000.000000426815,336520.50674389984,17460.574983597744,1431.4677612859266,2928.5946512875803,2927.2667969081645,166.18061469643044,717.9769357358908,1398.810696988025,41985.608881624896,4387.74016478827,550.9174291155816,6.9264306897962255e-06,0.00034199650291753223,0.08227745374289866,0.0623032725627045
303,-519.4622239085716,768590.6487272936,738060.1066648129,118468.34501583832,63016.64874477176,57500.23617306173,270441.977751718,17144.458533362318,1612.4040720776036,3353.129353333001,2848.500418510923,117.78631004558568,477.1485707152263,1155.5522948596138,38470.21122436862,6786.209679923287,691.6761775153168,5.253072011662557e-06,0.0002718817727396454,0.07582743845830191,0.055808652827966015
304,-549.8768353055802,795696.5086855643,779983.9677232399,119224.89364274262,72697.66363776987,48000.00000003749,284655.1386284933,16606.193140081523,1583.7313492901085,2943.520222336713,2570.074621641608,180.9788925102198,1026.0608748954292,1613.662572064114,35193.62034229122,6523.950670756658,658.5207831525737,7.764025692618296e-06,0.0002300213914362296,0.09177858806538333,0.03862092609243933
305,-574.0159877074752,803396.2545618532,784129.352767782,123416.23992484935,78068.5090612285,57456.330085338996,417807.1361063792,16975.844191749882,1154.5621308675125,3207.7609652415326,2594.175926559512,357.57506886052175,1659.8817041361397,1641.1933138044758,34219.511848890295,7602.247078436806,794.4422787222371,8.259029071857379e-06,0.00019517174259788925,0.2450205390876522,0.03050859813959349
306,-571.7910577800533,771037.1929144588,746947.7847338495,119600.41846659547,70012.41907522861,61168.51677495141,337243.4631109406,17178.889664365444,1293.4674732080744,3290.0275647439057,2779.7896303979837,189.61678797709294,933.9783963429671,1389.1060797112007,35214.70504987673,7665.974315677762,842.1435046864736,5.991815406240094e-06,0.00019555493806825306,0.12389647670355901,0.04606813312476962
307,-547.9342995360474,784941.9270047066,776015.3181211939,122105.56720127609,77405.43268371937,68055.3991164502,343677.9242791115,17114.14436791398,724.8129834877192,3004.807614856716,2549.8533162153985,307.9814661609517,1630.9432704549868,1633.1986315679324,37212.896483644625,8548.164309758527,934.3856191448908,7.69297445648939e-06,0.00019357579091658003,0.14357191899968402,0.029173457733404923
308,-496.7446832944374,766889.0733754917,691855.2446658303,120559.19525323756,71325.50439862887,74730.89688523584,241868.4971290972,17196.677492730378,3953.2295449655157,3166.7243533048004,2480.56127579526,219.23325776005936,1236.3359634445148,1700.6147214068885,39801.483639945815,7031.880553937358,904.8769130540195,4.48003685800113e-06,0.0002104172079619553,0.09552108140938068,0.03999458803374677
309,-602.7109025509782,743066.801271343,731063.6145137752,118063.5350855527,75814.52769218065,89827.14899176918,356038.7118857747,17602.98060949176,680.0949933737147,2966.614247604676,2575.1045226872234,126.34087765134691,1096.8858162650508,1640.2874371084308,40157.95157549653,8191.305717713423,1054.8532208817337,6.643962838872828e-06,0.00018064185553300996,0.19241168452872295,0.035927610574850645
310,-651.9049125698687,764938.0819066965,727709.5199716667,120631.56228032013,61471.85952624814,48000.00000050278,322110.7429106616,17182.065435956807,1964.7894403210876,3469.7823215637804,3055.625741307036,232.12638532630703,336.77183917134215,978.3621952910185,36158.28944793633,5607.487622627874,591.7342435726039,4.55554224719824e-06,0.00027651308362723755,0.09183711594141779,0.05446837662063447
311,-569.3526493924165,789259.676794492,705329.6107019504,120087.11598585511,62092.101730287264,75088.06115781421,609284.8670990905,17283.278810602467,1588.4793445398846,3153.346904945942,3071.7396443195403,214.15776311480155,348.48556035099364,962.6016225758101,44656.745184314794,6836.469606828934,812.1655608288025,7.907348011012962e-06,0.00023681954728064312,0.6671063350344278,0.03337347624624615
