sample,ll,T_NDH,T_OOA,T_LS,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,m_LS,p_H_N,p_N_OOA
66,-143.79718143219569,805000.4866410489,53796.42368208657,52313.86890877672,16511.661223897976,2450.872808632496,29378.30745347619,23806.47986608275,110.45943472300954,4590.016547030949,9999.999999989777,1027.1885271997235,9.2253025444309e-06,6.0011106388164586e-05,0.00037010547947360965,0.12126627575490163,0.021608363935053828
67,-144.55409487458866,782119.8453664669,52763.93265535617,51765.876044848614,16920.949750818272,2388.5494183382143,29023.657131464002,20329.510066359904,74.05680683704965,4784.218246302782,9999.9999999316,879.2246234448886,2.0929042700270422e-05,4.371221653184115e-05,0.00044816858791946114,0.12480882011707914,0.028102465019185327
68,-173.3103001587977,817898.9430872016,53049.40067876851,51569.406936436826,16574.372433463446,2333.699471430463,28954.592466566326,24521.128031565575,120.71783935480452,4466.18999884182,9999.999999961143,962.8017077359325,1.0000000104716822e-08,4.986673130677151e-05,0.00044196455920541384,0.13756777570425965,0.019600014582671195
69,-160.79646892491456,759287.2117317816,53274.80252878691,51830.925052079125,17357.43947791125,2608.259601532039,27702.789511926032,24802.52030015169,114.01594421224966,5688.222361242502,2528.739526308136,835.3105735980918,1.0000000024718379e-08,5.21889021945895e-05,0.00039301819803369683,0.0919430565956334,0.02725025990387306
70,-152.86048720815143,777385.3259385682,52388.39056120101,51207.89708467455,16717.445055579534,2482.302368092999,29063.764464720494,18873.541850169644,80.02503981083605,5573.156370055224,9999.999999970574,904.8890864497844,1.0000000149828791e-08,7.095822096335832e-05,0.0003710905741605827,0.09620054321926855,0.027707871898630377
71,-187.12976380704464,781913.7866282357,52757.40720231918,51210.179513418705,16771.506213359226,2433.7255999318063,28582.719884964103,23730.444908216123,111.88841349140593,6307.010430152059,9999.999999977734,915.6750195542925,1.0000000175055474e-08,6.583342429125291e-05,0.0004099695301500559,0.11322655801721596,0.019917812861881354
72,-175.69591310153191,808300.3426578841,51581.45800795654,50232.09702372259,16727.857106334694,2575.492935618794,29287.76631914022,30913.210875481218,95.55077404947862,5720.253392180558,6906.866013461597,1125.550706546796,1.0000000251359843e-08,3.450252251386056e-05,0.00028362052191007787,0.09655055951984684,0.025164982487945135
73,-196.81143212461012,808114.0371951341,52730.98885673359,51091.032422827535,16669.513283058684,2495.9376009564903,29473.7287772252,20000.245078405074,118.6584839071318,3592.236476229278,1611.5314146290534,1002.5697297913631,1.000000009214512e-08,6.732321583492318e-05,0.0003119585300575024,0.11049669603079962,0.01531002473098505
74,-168.867544113988,766761.2016716924,52821.563276450455,51392.191414396584,17185.605977938867,2442.104028152781,28528.829964309338,26587.44072227582,110.40494084274553,4379.617034736497,1494.0766481441262,954.2961858621782,1.0000000051306356e-08,6.621285516104512e-05,0.00037520412434791675,0.11249739483082995,0.011089789889379219
75,-172.89337404819645,750726.4472161267,52406.809298498854,51281.31983652539,17492.709110127606,2637.0605013177374,27490.749962850372,28026.682390776532,88.23545417536694,4634.107133268758,9999.999999942667,928.8319694633482,1.0000000058517511e-08,4.80791574651571e-05,0.00042158449889795655,0.0874290768047834,0.015809487517573967
76,-132.0487911289341,802922.0082011251,51610.761192969934,49643.260652939534,16784.782882848198,2375.510056323594,29538.156245639417,21202.519371015485,123.78307920333481,4936.489281351691,9999.999999896749,839.6678692958908,3.194589404199452e-05,6.974016421249068e-05,0.0004146493426735301,0.1403428209368342,0.03319298967677781
77,-169.98285214401417,817474.0201195893,54375.199545281306,52891.368565505014,16537.178940535367,2437.658451794912,29089.07801842966,26987.284047762376,120.50022773052196,5617.90229752598,9999.99999989698,1012.2629910017574,1.000000000135957e-08,3.4492654901947926e-05,0.00037123032583786944,0.128705034838075,0.02224997134896096
78,-188.61491048608625,773259.6423593374,51471.370798319644,50783.362618958796,17004.638066880667,2527.2224240322375,27541.425943837112,25490.735000884953,55.694363192310284,4851.292838470606,1499.9292019538486,1145.5056429626025,1.0000000076710355e-08,3.0189901739424733e-05,0.0003716456068565096,0.10305468661503027,0.015656470119136862
79,-170.25999454259832,754687.9157166495,55296.85029342658,53385.46690475981,17468.503386830427,2630.517029033011,28891.293511553948,26488.88313303194,142.51618329451432,4366.970834823762,3060.8702795357913,822.9743261891424,1.0000000027351616e-08,7.099881947073944e-05,0.00043469485631474476,0.09444321404760019,0.018542728193688702
80,-122.81877947306322,792536.3056215124,51846.56179509729,50669.721448370656,16727.344074849716,2469.9555579315884,30807.80634496213,12966.556048874387,73.09430011461113,3796.1395400481047,8215.298671969622,896.5354920199186,6.293064982443558e-05,5.9292424095633625e-05,0.0004830857511415384,0.1131271855970973,0.016517035388994458
81,-191.43720029487494,793927.3304860541,55853.99642377312,54840.325314340276,16842.804975334566,2762.5423347784454,29633.33013851052,25716.33996783361,78.66715933305791,4292.39385368845,9999.999999976668,873.7722451759084,1.0000000684292415e-08,6.562986786898301e-05,0.00042779362720525446,0.10130204521550472,0.020923834993298678
