sample,ll,T_SA,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
64,-191.27311146874726,2198528.9374667834,796236.8153102867,784367.4460200804,122555.79726191069,63723.47373960156,16536.796957409333,29844.658825002156,591.089185801779,3509.5838104002537,2954.748113746397,366.5212895283914,357.74199051711173,1075.2431726340888,0.0163273914516264,0.05560087173027023,0.004236761195762388,4.562855449069687e-06
65,-360.00560650682195,1000000.0000041953,764605.5278040494,689133.8278978631,117293.23279337962,59381.82801736129,17248.694237395157,28684.07053603452,4126.43371278399,2910.646668031256,2566.299871330996,127.21660830986359,170.8532403813107,704.4001542259901,0.03336814520174312,0.06641410624097012,0.014741362940840962,5.333104615330434e-06
66,-373.8247063256301,1058096.1375914626,742332.0371821993,690002.0675476239,131427.2806432322,61533.06489056481,17457.851556924536,27235.247111875262,1892.227221031651,3753.592102468066,2942.3520892404886,1017.1197668579334,272.59573429742295,889.2286553134713,0.039396336603773535,0.05919248655333338,0.01019133202880126,6.568057340267568e-07
67,-341.69322163467007,2499999.999981558,767361.3345199501,733604.5248334132,118447.1198714601,59224.03701528792,17039.514952417947,28700.08479058264,1936.8143412191648,3118.132920419364,2708.717369517488,193.06899095513378,156.2958722343028,757.5276618250298,0.009773964795636586,0.05650798497727027,0.010864862673773266,5.465883924293162e-06
68,-366.7996155178927,1133991.6429603947,795953.1011498332,773465.9548646383,122612.71398837735,59551.33154783154,16727.831108168084,28473.42606059126,858.7351635433763,3598.9261003326596,2862.8681178457646,562.1535821680314,161.44071318255115,867.1322960527806,0.0313348785853367,0.06075729597215653,0.016588034201855582,2.2960360041973505e-06
69,-354.0463185511129,1480596.9777182965,734692.4575441238,672516.7653078609,124009.74317157011,63389.41426128417,17384.168339270054,27293.33444369834,2619.7980617538824,3520.5157407612173,2709.9110490963158,547.7531146207847,367.27593855398794,894.9106461611786,0.024051759338500334,0.06874488165676196,0.012923672984268213,2.571217675521862e-06
70,-390.28303768326964,1000000.000000909,707345.3102145375,678988.4893259634,137185.85485836287,67515.6376302586,17990.243533195637,27176.678171954154,974.7905148305073,3709.5794869405554,2853.6111699043636,1762.9540906726227,603.9533954025778,1035.5785028048758,0.04618057947648914,0.05702678185095342,0.015047061177305992,3.577939862736905e-07
71,-367.0835247235001,2499999.999976633,754531.698211401,684634.191664968,123167.30895797139,61100.601741123166,17287.91191509943,27199.758413305775,4661.6564376341175,3036.0299823728947,2562.9990215043686,402.7375092352734,267.96448856945835,839.6068501441105,0.006273415226951264,0.06065747697020653,0.010519018711135947,6.22039188930199e-06
72,-420.7452182256746,2114624.709001478,740993.6738613148,703623.945865171,125853.25450264018,59466.797900315236,17872.324192560776,27592.727404600664,1745.1305070889427,3356.762075227009,3035.9726148980144,532.5397521590875,163.12146593982783,729.0449040792038,0.012397077072217044,0.04488039682471257,0.009630449057205488,3.7326529386004973e-06
73,-348.3847651243376,1297635.7642289544,765762.0540710988,735512.86573113,125265.31319308511,63807.58153835916,16688.337291780437,30138.474985836787,1673.0508782344582,2969.752651142277,2820.888608606294,552.0591464066244,333.72870988573766,855.0051441295004,0.04593448861033413,0.03575724290749172,0.01364003011922387,5.195540788973604e-06
74,-337.4271540832648,2499999.999999606,759988.2050288325,700660.2080954287,125725.25091461895,60819.626283891725,16785.2382984023,29030.505938557264,2996.629270194925,3186.118578875924,2837.255834629925,643.6211579862894,230.50054874682237,820.6878163974436,0.014686864959663667,0.045171631840854945,0.010554684023088158,4.505297487789799e-06
75,-317.88020870144715,2393937.9230240537,771616.6348739171,734548.0360344066,128766.07443503999,63637.06798382787,16950.157450604816,28762.60370484385,1705.2498874603225,3539.091541872305,2855.0635587906995,783.0493040293579,383.73626847711097,1173.8938191465513,0.008530601536673031,0.049926102938694546,0.010606363971489365,3.082954970507064e-06
76,-386.06728502611054,1236520.181878686,738476.6697900783,730630.4151837429,130508.88076981007,61923.324245173375,17439.03902667978,28099.714405038703,348.8057220434555,3470.715806476833,2888.3726788334516,945.7320285869515,248.38984830272565,1046.5088919009372,0.016088284741993968,0.04846121671365158,0.014380193522219488,2.827819626173163e-06
77,-330.80237857101406,1971684.6515405094,755358.0230755408,652888.7375871523,124458.48065547076,62697.45319431341,17166.956827852202,28675.681983989096,4868.0661984305725,3184.7862229527773,2622.640763456445,654.5440870401151,366.50975344124254,793.9841078438768,0.014187726428351194,0.05847728193582967,0.013870938780989757,3.848580867450185e-06
78,-334.984756318405,1220289.109305703,796416.4523090622,732180.2921336339,120525.68194759851,59803.00334743251,16228.015281228503,29814.968376905697,3182.203781052868,3214.784479278022,2729.9691109512287,277.7193536140343,192.94671260626072,854.0218378579987,0.031170841035685456,0.05385674698507372,0.011115465604597545,4.436621543817869e-06
79,-377.365137336015,2261702.7499787556,775512.7103828416,743518.9730731071,128339.3999654383,64616.22819088543,16894.873942762533,28835.201791229567,1299.2389413684782,3410.407460168243,2708.1695906834866,664.0541623625152,475.954196326766,994.1399981415558,0.010809285376557969,0.07145429040931332,0.013149669766183942,2.303066324267791e-06
80,-368.6286380226355,1108830.7130030112,768414.6792196116,725523.9199306994,130289.15465889947,60238.79335456827,17128.018160188167,27613.594491870335,1349.471450011114,3910.8349661492653,2982.7968253744493,917.7323309014004,194.905612284939,615.3051205976561,0.035910810014588325,0.0754487267037718,0.010902675681574136,1.7550352727870247e-07
81,-253.47983108848857,1128283.4116825324,773561.8038011405,758727.2760739437,128170.21757809863,61476.322863192945,16882.262564002656,29068.08049295534,823.1153904067679,3283.882246738417,2817.108637739645,840.6793913448187,280.26965998662394,825.0806867611922,0.050157605866799765,0.046486158682052914,0.01067819780216754,4.654947319019147e-06
