sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
328,-432.33490555130373,770673.833241035,642369.4703101375,117700.65523831907,62100.66809181226,16911.81985163337,30013.911918252925,6090.365817418545,3039.364484097352,2801.4087887761725,147.94948010547736,302.54350176139997,804.6357145731234,0.018564939015478885,0.05086638329243552,0.009315614247270478,4.3523253548726905e-06
329,-351.92560571228387,762996.4823757358,743006.8731804705,124920.80132329583,62400.600017677265,17070.91031961717,28583.432805686836,955.9319385287406,3349.1144877830575,2711.168019640462,480.81638434938543,285.57399306141065,795.9125417427412,0.008424286255761953,0.061170983212621315,0.011418936577292612,4.180153056068254e-06
330,-376.1991318256846,752344.5636106571,701452.3015338986,118860.82187728328,60657.291568833876,17241.005832974308,28730.151941720706,2673.728810050097,3467.6238418587022,2779.998035819961,181.63145274191976,276.66630995817604,893.1608731324014,0.01686411791830777,0.05058500041300112,0.007893988862452551,5.505767630380172e-06
331,-296.6284091678937,748813.3929201345,638748.9737735196,121991.20796752177,60849.835794259314,16916.78819039418,27819.329800487012,4720.644071488331,3475.0049907447064,2759.31151664697,542.7772108957131,251.03359202508082,774.538056630963,0.016171033259175332,0.058993056671956,0.011369457503767942,2.7779442080334285e-06
332,-385.32240004076215,714936.6274010936,613627.1272486418,141130.0006022444,60964.803212254374,17853.716834002047,26340.429554844908,3769.499715622392,3731.5662230935595,2783.7647769517926,2694.057200094839,241.64424045574043,796.234021656536,0.0061530865074343345,0.04611920535004176,0.01887398841208794,1.0000000004708607e-08
333,-402.10048093972085,767556.4787679524,657277.5525142527,116903.78299503108,57996.310183689864,16856.95880855166,30401.05400576421,7856.156653315183,2752.3017980248255,2777.443901073506,71.93897966465433,94.80810116959856,610.6485704764663,0.024228487458140713,0.02696168907854102,0.013162972035498923,7.0528824407727995e-06
334,-329.8736546534227,741438.8714721949,729190.3298146329,120764.68824257782,59930.72353741199,17272.55401042932,26497.091425725095,610.0243334815888,3432.5232776677053,2611.6226825323765,302.1529699590223,187.62257235795144,838.1101327900278,0.004923525702733237,0.06970629348654482,0.011876497910793989,4.232302845730738e-06
335,-247.87776913472158,795565.6338283726,754310.1532050286,128150.94251286841,62287.81291420148,16630.175410420517,29058.53351989185,1990.1421698198728,3266.9625474825275,2805.4108279060165,553.6835804656467,261.06895536643026,974.2765471879462,0.01222818343954268,0.05391786068124269,0.009413191334847838,4.111577395003155e-06
336,-342.5888396896459,776453.9585450691,712685.7413563227,132924.57887378256,65485.14683233448,16617.963664665942,28775.944900611146,3188.3436213596174,3308.4857970081885,2710.014453219991,1127.812606867443,442.7260899941754,1034.2074903048958,0.00605384915193358,0.04873653439597521,0.011862728132994372,3.839526109358762e-06
337,-626.3653651939607,750686.0829535952,730602.6585329083,117649.65715163511,60111.927342340816,17135.865998162415,27571.46252456968,1050.5891843062152,3128.479779125533,2714.766165078376,105.5792904821099,223.29095861145018,751.6697993518679,0.015205788367873065,0.07095729260972893,0.007951767035281576,4.872909790690165e-06
338,-282.2751631232628,750653.9138845252,704125.7791825042,133223.27778627718,67336.59529077541,17031.97353567461,28929.272752587716,2279.1165937826017,3264.0356550052934,2811.2044034950654,1266.452422864037,520.8517830122588,1177.7355429610775,0.015681719077882024,0.03819613898362747,0.01202659646166249,3.950126969141898e-06
