sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
49,-866.4261565203017,912728.329829463,865163.6322664756,130667.57998773074,69099.99561085203,55596.35554273618,54179.749396538406,26577.75366120884,19775.905301758074,3173.3114897986266,3320.002548161791,3329.5477741018676,551.8592574530511,1137.5150161391691,588.4830834222485,36768.63073081514,17620.18367108605,106.86994177016352,1673.6385323771424,6535.264850057418,1350.4502731904588,5.40863543816327e-06,6.406446327041974e-05,0.043462943542867546,0.03122635311252139,0.007588882003583267,0.016908870926673928,0.4949529783870693
50,-959.2672279022811,938504.2293514102,879941.8751492499,137395.45905644185,67338.90928776225,58041.32564788476,56546.28356269942,27694.01079384176,19579.95866392627,3159.0513947309655,3631.7823306258597,3578.4933175088327,682.2424928708131,1457.2917512451213,1049.185101281879,36772.73650291371,30185.569195955817,114.20803773290925,1610.3681735987923,6917.109729954119,99999.99999881537,4.282182092504608e-06,6.617703833382376e-05,0.03254139066697771,0.03636923216868821,0.003818041159888426,0.023168101032407483,0.577570234667788
51,-696.4503807916344,886189.10753609,822551.4287286304,135574.75579625997,68480.83227747754,58255.70704619496,56848.085303632855,33024.52396106006,20326.02902241332,3192.0360797149046,3771.0695687780035,3425.240524069205,659.8833545550538,1228.8993554111964,886.1074654776817,35604.940459314734,25505.889705842266,111.99826052783054,1639.3628120180504,8132.223647697996,1121.0928970956024,3.941337657144782e-06,5.884901773691587e-05,0.028737907359038917,0.035109494409539664,0.003951687736579305,0.025294553435006147,0.6668959459738127
52,-778.5306844189633,916946.5499218252,856830.4668756494,134603.45163263276,74344.91727798141,53759.22935251327,52421.83898257946,32837.41503511062,19441.42786594797,3373.1895459051407,3467.7088006471554,3113.0679123990994,950.9694686671579,1391.4548782825686,1048.9019287612434,35778.32415824709,37513.352992498716,102.46950810299425,1614.7365142227586,14678.435912124813,1745.2909385331375,4.523589469841748e-06,4.6795146822977816e-05,0.026869822463427673,0.05069294735536735,0.00570261324465768,0.024966270412357543,0.6343706334041213
53,-798.2864258231664,924695.1350100292,858064.986404655,138224.15116675338,71886.25144482557,57479.35334676246,55934.73346115929,14417.877988593116,19584.705891734684,3406.131098764483,3736.9688533424574,3640.483387178339,787.1617323372915,1545.5649909045314,1197.945914268045,39052.24543129476,18294.693747568672,105.1105740084268,1391.5491372399931,6693.54123778306,99999.99978701626,3.8190307982785674e-06,0.00010227010863648886,0.047036584653014406,0.02887196981156023,0.003913823749056859,0.017877598397210613,0.4203027398891166
54,-730.8563165731352,906253.492931507,852114.8313080308,144144.55254194103,82922.86831004174,56048.84470592906,54656.78337140366,31317.928886315916,20037.63761030725,3227.579287102575,3660.3944478845365,2895.4936257424138,1748.449546443089,2245.695737719095,1273.5565753716237,35888.80586212102,27170.10690893023,102.40851206066317,1452.7824404140124,14088.884710882077,1049.3493335142525,5.091008236567256e-06,7.37669711511251e-05,0.0310677654734119,0.045979249730124856,0.004393747896146733,0.026870783231671663,0.647450851754396
55,-736.7974497569426,916644.9543756528,851806.1725833109,137391.90835526437,72440.88043628866,56815.65586568857,55381.597467060616,31357.52402811459,19546.539738712843,3431.9073088102264,3749.0486921622983,3678.2143666483544,715.7989494634697,1208.6721817096527,968.3066520019487,35924.4680649112,33943.98315166435,110.21552852474447,1518.0721409853022,13738.406810283459,10237.448893450508,4.0929233589689655e-06,3.893635024634554e-05,0.03644301450705935,0.027523463365770662,0.005669060364193719,0.02546184239737894,0.5831539871530205
56,-806.1239050332874,921979.517948612,857716.068428013,136640.5250179631,67752.1283476019,57996.7670993595,56741.92025822628,35803.63361084111,19505.828746920106,3190.7283949058115,3753.769285619038,3427.049768450897,572.1270054950323,1244.3156664443575,1072.5086809484424,36542.18128264826,31574.436089985662,119.25594187764841,1572.134477037022,11441.110565979247,670.418570838474,4.089379583955526e-06,5.783955347869079e-05,0.033510814947108315,0.03594432792819924,0.008317599682564495,0.01987729288959908,0.8088754726079186
57,-723.8068162206065,915697.936392847,850163.8848624231,135236.81886452567,68431.74873650445,54451.476312354534,53023.98984211216,32491.3270140296,19983.039159484826,3357.3638299843515,3805.860812774248,3484.062028002744,570.4309642981232,1370.0414769005847,899.271022462518,36699.565604530755,28497.873036942972,113.01985178144733,1467.7335412417326,7931.843490560006,99999.99999991209,4.000744336169025e-06,5.9555594024382555e-05,0.03582891210128395,0.03354666565498498,0.004316563619219311,0.017195874021932296,0.6593977448356901
58,-610.1016692695341,925330.143710689,858492.2968757371,128256.41272439978,67652.02634970135,54474.92847914181,52652.618152485724,23843.183054930312,19615.94190847333,3088.5199465722962,3878.2973783675216,3382.1940799205354,589.0404856120215,1178.286574659115,520.5847560689708,36202.281724528904,26111.06947478663,117.76459636101592,1499.2415354237996,5373.590037559849,1999.945891735999,3.739473716036125e-06,7.88290017213822e-05,0.026323065667723296,0.04435265490042792,0.0030345879006992197,0.027493061512686545,0.4415437898179111
59,-705.71029455866,931240.1342694621,871702.0265719956,130397.36688264109,65477.98750918156,53724.74585258076,52283.31628811887,29878.800655378698,19424.239356622013,3156.260956030144,3881.3661637870036,3428.4013696908182,487.2920636233044,1030.3305652061817,648.0863280455285,34477.533726498354,24929.283994976504,113.06489980467742,1635.381301750256,10440.141646040925,99999.99999586519,4.235812384542614e-06,3.816103686365359e-05,0.029942153007993286,0.04096711920927925,0.004099367726084534,0.021976323451033567,0.5646145743739996
60,-929.2629103235984,895947.5611331684,827893.6053730948,140551.96445616335,70660.54805177225,55287.83609444968,53783.726922977046,31939.511499416283,19762.81372756095,3087.4952286563835,3990.143647225495,3538.3816341036104,669.8397769125484,1244.316786465406,1185.1195719878083,35492.115184463444,22180.100569433525,105.78955438228063,1547.308206142534,10280.417172224224,4252.7781643364,3.3592564490236378e-06,6.565210098511768e-05,0.03685525366178855,0.030373416448926282,0.007201136671585188,0.021494869333555634,0.6240527038016279
61,-675.3350217606231,919925.6616140543,858041.4104081145,145757.27755866846,81469.99308653375,57147.88467717403,55563.67012442602,10480.307261448539,19460.627226499782,3264.330707288653,3668.4881854903365,3437.283551837448,1321.6527417946552,1856.3477236376145,1301.2877726340696,38463.79902199606,19011.60560297408,109.61053902856351,1514.1797811978186,4518.590981816141,99999.99999398598,3.972800288592319e-06,9.185030409318149e-05,0.044979692683512124,0.03222286307760189,0.00494060662710285,0.01779114056966043,0.34262443337328125
62,-838.8400727354253,885947.3671005539,823157.0110667142,143276.86086254424,68757.81852836927,56137.27069861993,54811.01153752634,36751.84653532386,20086.494449470632,3209.281799523729,3704.7484800814896,3429.1852934446806,610.9954368831582,1323.072755590059,1552.2083689181811,34157.86466789213,42866.36508088141,117.2662461019989,1607.1745903380274,9824.233492311769,99999.99999976838,3.7508497795142256e-06,4.578290194562606e-05,0.03518793833411704,0.025393242377308202,0.007040547771393909,0.021131998983678853,0.783158275751245
63,-734.4445038272544,924453.0105839549,861873.4887012715,140268.6050716738,66521.55545304301,57423.26087842278,55968.36909839167,30188.105397504103,19399.257334682294,3388.0236307604564,3558.5107280621987,3448.4104032986256,556.8322801029715,1320.0222957315455,1369.545317275563,38055.6888879199,24029.45636520162,115.4430471304198,1541.8119435756075,10247.077444067505,1147.6466970813565,4.424211317812058e-06,6.196136751233602e-05,0.034248835429246435,0.025988432579459417,0.007649707842861317,0.023943043799433614,0.6323057851700028
64,-623.9614904121498,928094.3386051233,862962.4489895396,134238.0380108535,68307.03464213372,58430.84928019887,57213.7221143874,31413.734863391157,19542.733149480588,3207.623885365966,3980.2443822902105,3628.607487518806,597.5445107609978,1371.2838674286509,831.7952184746666,36351.65765021399,25823.706163507828,113.4135016244524,1563.36260230362,10362.07590539959,2518.9147409813304,3.864137484474957e-06,4.9089069600284964e-05,0.034660840635849365,0.038910698357351774,0.00035870297665066233,0.025086195512387024,0.6884918863588799
