ll0,ll1,D_naive,p_naive,adj0,D_adj0,p_adj0,adj1,D_adj1,p_adj1,N_A_simple,T_XY_simple,N_X_Y_simple,N_A_complex,T_XY_complex,N_X_complex,N_Y_complex
-403.15982512579984,-0.9250631741458336,804.469523903308,0.0,0.0061362538176561,4.936429187239664,0.0262963082249684,0.0708373276684006,56.98647126398088,4.385380947269368e-14,15201.268983428608,4331.191406900954,21331.23119862982,15000.054170299234,5157.174062040948,14920.599757349746,32478.964923093587
-353.0233895662518,-0.8532758979929367,704.3402273365177,0.0,0.0044807829089182,3.155995652713063,0.0756485302846941,0.069558146104714,48.99260044050102,2.5692781235875373e-12,14786.528562954156,4781.596820097666,19556.14526520984,15301.582492074782,4971.836340270798,15732.939583091138,29054.557922350767
-398.7220919578687,-1.0257888137823217,795.3926062881728,0.0,0.0030629145694666,2.4362196022460942,0.1185616508577356,0.0688366217747381,54.75214000148213,1.3677947663381929e-13,14948.31902971644,5254.871853399836,19840.75813957565,15370.11519912395,5094.612122179514,15827.91860251771,28329.130529080918
-552.6283264119103,-1.6657782480479648,1101.9250963277243,0.0,0.0036130401791762,3.981299647474746,0.0460080515336962,0.0734806333340362,80.97015396483006,0.0,15275.225949815596,4425.7460896883695,18374.424259094507,15266.89710554429,4746.365578712849,14308.81510297432,28969.050493404477
-341.7847329792986,-2.2762750346412477,679.0169158893148,0.0,0.0055812641159142,3.789772746751793,0.0515666492042617,0.0720866273731942,48.94803939580864,2.628341988497596e-12,14609.2414084437,4770.258169811994,19512.859152555404,14966.879161284289,5020.152940212524,15898.993208483542,28927.33473522374
-404.29577093152267,-2.1439350526193337,804.3036717578067,0.0,0.0031006870523638,2.4938939811881142,0.1142886406182116,0.0689297494831458,55.44045060263996,9.636735853746361e-14,15384.87795674432,4852.807535874526,17857.746005834048,15283.537252668417,4924.681940631708,15178.887000078306,28222.62039753549
-401.2792902998143,-2.987456029824944,796.5836685399787,0.0,0.0031477570552428,2.507451862737948,0.1133090127632356,0.0695427610789874,55.3966277406991,9.847678228425141e-14,15404.253983208466,5181.1035676528345,19928.575695712807,15330.36020764668,5403.655675058653,17135.486960520102,29011.68348851385
-447.0376341583478,-3.3026006935522174,887.4700669295912,0.0,0.0036149440221673,3.208154613299554,0.0732720805475952,0.0710958457082213,63.09543494909109,1.9984014443252818e-15,15954.112039908126,5190.761617093615,21912.77022199818,15865.740549797563,5206.63924419698,16579.467463209396,31609.09140629257
-754.987852429611,-0.8023835178533978,1508.3709378235153,0.0,0.0025880924654613,3.903803459301906,0.0481769225223017,0.0714506184074743,107.77403629535216,0.0,13847.40405844562,4755.895165116103,19716.422382058845,14830.092007455914,4814.313281086458,14001.607652691178,33922.92872372271
-331.57717417838006,-0.917027491482317,661.3202933737955,0.0,0.0048764551903183,3.22489877708551,0.0725262803798503,0.0694104806804528,45.90255944681326,1.2428391649166317e-11,15155.200036740054,4455.974704731645,18496.14819712205,15286.91248540714,4825.22722047948,15449.398796546322,29264.60512231109
-415.3481834761211,-0.8207040271574593,829.0549588979273,0.0,0.0055327069407103,4.586918125324858,0.0322168931720956,0.0725661394159254,60.161317730851295,8.770761894538737e-15,14544.284528425696,4984.265232501678,20874.093440874407,14855.17039571628,5286.477969657338,15471.648646080244,30382.98336321414
