ll,T_NDH,T_ND,T_AMH_Alt,p_AMH_Alt,N_Anc,N_Yor,N_ND,N_Den,N_Alt,m_AltDen,model,T_Gho,T_Gho_Den,p_Gho_Den,N_Gho
-90.5546910421494,782713.3364361383,698085.141149463,262925.5759709019,0.126879901299087,16210.145113147586,27569.747464043983,4220.331047010279,2038.0675360351831,981.343636421756,2.4990028139105063e-05,31,782713.3364364108,690470.0311801664,0.1979540909697655,99999.99999987372
-33.89945639917898,752834.2325213074,726602.6138350616,363201.5012989221,0.1425507746723847,16663.67761724807,26745.233673587725,1005.6030236053608,3421.5736186874637,2308.921435115724,7.451988566909777e-06,32,754632.2815068187,219588.36295076503,0.0005477662317798,99999.9977371536
-32.79806807476699,758850.2160910424,724962.470794055,304217.8426245226,0.0916391522167992,16424.371643913408,27364.45213051705,1318.800430639678,3459.9629524949373,2295.155543366375,6.807547303706796e-06,33,1144681.0443681255,724962.4338004343,0.0240022210585279,99999.99999937616
-32.87618694915729,779695.6174937658,713510.4257274799,339232.40464119136,0.1197666260670342,16195.351371036752,27658.446024274144,2552.7561042832263,3489.674893156261,2357.129818681205,6.290661484250683e-06,34,3999999.999999999,620592.5008658263,0.0007044429806275,20380.28306867962
-34.04312176207738,754785.5163843996,718882.7745563496,290858.23836879065,0.0874595795437958,16490.16555977106,27228.15846994324,1088.5162261152625,3682.3141916332,2484.8656813658963,3.601304164715257e-06,35,815203.9458437606,718882.1693467447,0.1559734348817855,99997.91274787026
-44.23203072748653,729279.1496330062,720362.5837458898,320172.3070735906,0.1310312249502872,17023.981068883448,26083.9239612113,332.5917199409935,2796.7721971079336,2108.7108403513166,7.493905786429702e-06,36,729279.1496330114,257982.30534731763,0.0366241655835685,99999.99999999984
-34.557696862843,749673.9920863752,715669.8919930581,250751.3536259254,0.0704712958089375,16500.047701940493,27302.94859329005,1327.13191550108,3430.7176643039543,2203.467200554851,5.6565003542223565e-06,37,1259868.3550704932,526023.5006610011,0.025037154224174,99999.99999999897
-32.51415485340109,753122.4153647717,735051.9561806173,283668.4167668708,0.0827263669780589,16491.851679117448,27256.99227158025,626.1997436523516,3510.348174023142,2290.8862080426907,6.161324130813476e-06,38,862926.2257272188,723910.7660715173,0.0999374135376128,99997.3787671646
-32.40633990296047,768994.2342973051,731362.9989301221,328780.12939777673,0.1198125032297683,16375.998028122816,27311.546335724204,1234.6027689993898,3461.1656423713503,2273.8833628661587,6.807528549120348e-06,39,791779.5097912395,729463.7250624979,0.1191538346383049,99999.98089364376
-33.26398502160022,800106.5923666037,773754.8171124484,333494.79590077914,0.1264388280659608,15929.296385359236,28069.057754892536,858.3567181437726,3302.17049042746,2265.0990416643435,7.033871799939965e-06,40,800106.5923666051,533866.8653195571,0.0954618205205196,3420.4913992104216
