model,rep,ll
model_4,31,-414.13634324666583
model_4,32,-557.6304120143611
model_4,33,-615.2054126640319
model_4,34,-359.6242454558877
model_4,35,-360.7941848949878
model_4,36,-414.7956124422819
model_4,37,-324.0719948098026
model_4,38,-408.89107067343537
model_4,39,-522.5044362514991
model_4,40,-385.18106113800354
model_4,41,-350.3797007708757
model_4,42,-483.13682025704003
model_4,43,-335.6660156712941
model_4,44,-317.3902465103193
model_4,45,-314.75212538158803
model_4,46,-289.0753757236832
model_4,47,-397.5411290774251
model_4,48,-431.51908772495995
model_4,49,-287.3874255958811
model_4,50,-297.787553955205
model_4,51,-347.3915673301519
model_4,52,-374.4293623399612
model_4,53,-367.1516178801804
model_4,54,-300.5895848273018
model_4,55,-349.4297173383509
model_4,56,-295.42439015856365
model_4,57,-334.8954105794066
model_4,58,-373.4920103069626
model_4,59,-434.6595943128269
model_4,60,-346.66195154536996
model_4,61,-239.33635156550852
model_4,62,-385.61250935868316
model_4,63,-402.7048890810714
model_4,64,-313.8321671536553
model_4,65,-437.87005310439093
model_4,66,-372.77639493533724
model_4,67,-312.30527685897084
model_4,68,-335.09358279144465
model_4,69,-338.88560139620927
model_4,70,-361.90069581553394
model_4,71,-431.72575946267483
model_4,72,-236.0404517098278
model_4,73,-323.23086263308863
model_4,74,-364.8638161327466
model_4,75,-347.5029074633537
model_4,76,-384.4010242116225
model_4,77,-239.2323357192805
model_4,78,-353.77965854697794
model_4,79,-375.5958438436163
model_4,80,-369.8301143254062
model_4,81,-359.3023048385406
model_4,82,-503.4837787108495
model_4,83,-337.05151341515625
model_4,84,-287.0136982187312
model_4,85,-431.2331825474249
model_4,86,-299.8643586212347
model_4,87,-297.7736762126768
model_4,88,-416.8720485567532
model_4,89,-337.6566201447181
model_4,90,-404.94486649729674
model_4,91,-406.5300111082994
model_4,92,-297.72200180485515
model_4,93,-370.9376270422996
model_4,94,-341.07940563260604
model_4,95,-399.67152933069
model_4,96,-326.3853390601098
model_4,97,-406.34872696057937
model_4,98,-330.31415636180907
model_4,99,-246.68791039707662
model_5,0,-290.4066532647089
model_5,1,-355.58934713613854
model_5,2,-380.61381885096836
model_5,3,-295.5717177628299
model_5,4,-425.72076127588923
model_5,5,-375.8542676179461
model_5,6,-386.7681617743474
model_5,7,-441.44421959173303
model_5,8,-335.8858713867463
model_5,9,-280.0955384805335
model_5,10,-392.5978414391176
model_5,11,-336.4025975711541
model_5,12,-251.01430479079102
model_5,13,-335.2333438453851
model_5,14,-391.46164067793393
model_5,15,-447.1068846308809
model_5,16,-359.34388394077115
model_5,17,-401.09410084892653
model_5,18,-315.8430641764021
model_5,19,-455.73145120722415
model_5,20,-409.9913245203163
model_5,21,-309.0643649109203
model_5,22,-440.25359646913637
model_5,23,-367.8695115980246
model_5,24,-374.95033031349885
model_5,25,-349.41588036195856
model_5,26,-524.549400399887
model_5,27,-362.2638193494306
model_5,28,-364.2524625310697
model_5,29,-390.42764673877747
model_5,30,-297.34411563367985
model_5,31,-405.1541077886492
model_5,32,-554.2550995755068
model_5,33,-611.1103183465182
model_5,34,-357.0544792786165
model_5,35,-348.0773836070454
model_5,36,-415.40779822572534
model_5,37,-317.4241505798667
model_5,38,-406.04463370204667
model_5,39,-508.20283751786707
model_5,40,-372.2163210618005
model_5,41,-350.36793695907113
model_5,42,-469.0128472965381
model_5,43,-334.0139713115747
model_5,44,-317.17667434214724
model_5,45,-313.7260372399819
model_5,46,-288.6881368958356
model_5,47,-396.51637320673166
model_5,48,-430.1099584870533
model_5,49,-277.0678640084371
model_5,50,-295.77718508658023
model_5,51,-345.84240315634753
model_5,52,-367.2856553890209
model_5,53,-358.5667955590809
model_5,54,-295.2678339728342
model_5,55,-350.76312770227287
model_5,56,-296.1047818991043
model_5,57,-330.30824394661573
model_5,58,-372.477491953371
model_5,59,-430.9378364611358
model_5,60,-341.9892881651632
model_5,61,-239.050910053988
model_5,62,-375.3344607789233
model_5,63,-401.71928471189176
model_5,64,-310.6568056171914
model_5,65,-429.1118541763291
model_5,66,-372.70988676387805
model_5,67,-310.4098405326038
model_5,68,-336.5526355877289
model_5,69,-337.79233370160864
model_5,70,-350.1475822190961
model_5,71,-425.1892476494484
model_5,72,-233.30929672076394
model_5,73,-319.2390803506046
model_5,74,-360.4762113897872
model_5,75,-334.23130698030945
model_5,76,-381.11086073076575
model_5,77,-237.3869862615471
model_5,78,-350.29261796790576
model_5,79,-369.5826896225848
model_5,80,-369.22600335060986
model_5,81,-353.46664498296377
