T_NDH,T_ND,T_H_N,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_ND,p_S_D,p_H_N,p_H_WN,m_ND
704534.9232539942,699688.3094661318,214706.41396504507,133962.83576068273,62105.647214587065,16360.218472018101,27573.495457642348,163.32808483867058,3884.8359141662218,2965.785423923781,1197.5693559353745,361.0468925708821,896.6345601842498,0.017207783963738756,0.007987118518932678,0.04695272738404203,0.014169100603116498,2.94879236981758e-08
828541.5594304003,810130.2361746765,427929.246107388,119770.19499936468,57907.676706569415,15322.220910891017,29496.944704579855,1143.0507117211482,3252.8616366701244,2969.3999457052378,271.04511656650493,103.83966604790533,608.7743000172917,0.0008371138523015725,0.004082434789725534,0.14214007907166892,0.012986176434310966,5.872269500358447e-06
789640.6460427205,773729.7410792178,270025.14949636505,121505.56883391319,59609.48979427182,15938.621879220009,27425.944713916535,752.710786742017,3448.103374891584,2886.764141727613,355.34398015170456,169.13201295030527,691.2625585274684,1.0000007105642019e-06,0.0027442400988996513,0.07460788632462287,0.011034605814267576,3.5266931438759734e-06
801568.4241978845,726014.883763469,447378.46932170005,119956.90319446308,58060.47850645988,15226.64361559965,28813.220222625347,5117.422577717252,3110.3084235038928,2812.624573611194,245.40691069489347,118.7547085063146,729.5511221884449,0.008833801225513608,1.0000000056399318e-06,0.10208340567031376,0.015768443697545466,6.6280052827529956e-06
761993.5576142126,727522.9539228039,197391.17246929335,118203.40578782492,58616.97367498351,16216.712625333636,28633.909356101267,1821.908762749164,3394.1226469164953,2783.4564668903013,144.8665410954772,138.1619425843893,907.9839690944539,0.0008874209832147854,0.017125324708024227,0.04726173905593363,0.012168012066210378,3.884505234037222e-06
723952.8666955159,673388.960000645,427847.118230591,120143.1453304255,59161.24248661307,16663.298736014603,27457.135636049898,2703.2612323056674,3090.385749155659,2908.5613019731995,311.0908965083702,202.8969341765686,823.5177781415061,0.009632861442662356,0.0030543259072677207,0.14821431288506307,0.011567046122857668,5.676336167663088e-06
758942.4081177884,728029.0284894238,265063.4792022663,122631.43751061807,62047.06935205393,16640.76675090492,27816.644578154446,1537.0758689822678,3372.7059071171207,2933.421775763486,352.0141274634899,265.672691641424,1112.4433730332364,0.0020497270525003885,0.00173234419296479,0.06050180476943344,0.013242164365668488,3.2485193530815283e-06
791712.7980252684,775643.6675930669,256170.08524720932,120519.91670520364,57666.492001704675,15630.015915964117,28926.99527295107,756.7323172421249,3277.1068747281856,2768.422931734201,266.2076973490261,110.64867024323213,616.4828304869875,0.002286510340025477,0.003985255404215604,0.06418205474452648,0.016943218602204917,3.4975554115235124e-06
825706.1581545861,813045.4325676103,468810.7958082282,125558.76872544152,62452.56031609606,15400.921844406043,29538.756051594242,800.5042902032056,3154.470064676773,3013.264980413801,548.4253539779731,339.69250531093684,1453.3320262522925,1.0000003122276992e-06,0.009043072778380666,0.1407295687024182,0.007703357627237412,6.503284100362666e-06
871849.2722112328,870040.5851192632,395882.5692765576,121750.91319830423,57963.03912319072,14503.3559297098,31132.37499342818,111.43733326421007,3181.973928786912,2916.203385448328,431.5832333063784,119.01501843849445,757.4360060286457,0.009863099767761677,0.004738863880614074,0.10474072479061936,0.014408695348116432,5.74895014503258e-06
