T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_H_N,p_H_N,p_H_WN
779365.660502495,754126.463875565,125402.54254043625,59531.67409998594,16050.576559659272,26906.65533440755,993.1869152576214,3727.0130942537585,2714.4527626041445,655.4315535316193,221.15549960237087,792.6794054897772,2.874218203582615e-06,359082.4553264054,0.1392290634628694,0.017480152932721607
777431.9733260146,733748.1681013,120992.30726253847,60780.97125249407,16110.406529304246,26919.05884301683,2127.434005776053,3141.133502461697,2868.755064606831,318.61536521914303,219.5200991500752,774.7300272813379,5.094380216800049e-06,422126.63254278514,0.19999999999808196,0.011895595050979764
760253.6981438306,743665.7783876291,121864.51484439935,61793.01059931353,16063.30049331497,27349.858197148726,679.8675694676382,3798.331589457147,2913.844194177458,416.45955073191345,328.0673405160625,830.7462041424451,2.4253519098475734e-06,337448.1741402048,0.11864780613950984,0.010509733823814326
762054.5891426706,724562.7898310882,122360.1014451561,59638.95411956176,16337.07287809655,26185.328228057177,1455.4950634611464,3475.021551079536,2986.430357910795,414.83548460109483,188.72855065733137,773.9243719604868,3.375380139137081e-06,413329.7638661511,0.18490621113013953,0.011097161977094377
769549.2572030043,735337.1920206099,121286.13541018423,60360.75696341451,16204.815703010143,27371.179957397446,1362.7051034356552,3581.3716258385925,2755.1347475592415,273.0357008166402,218.30179023881163,876.9464641616971,3.124530429711735e-06,296879.4899041766,0.11192287010941791,0.011807316266447983
783536.9437882849,751102.0474092963,135784.49531847396,59917.88043667851,15991.05672044317,27723.94479467401,1014.350124695769,4150.254550496067,3283.8828217635514,1822.663094424514,187.75668291314656,771.2175617239317,3.298283898930763e-07,443612.12613966,0.14568987036973885,0.018377991806325242
770221.806397617,733102.9739846257,129007.80303943847,59061.767474384425,16271.062212727955,27596.5993963467,1656.3431029618077,3361.049029544769,2990.080640125914,881.5750999413165,163.56157801677236,854.9938726116997,4.746957734465212e-06,472597.3921196724,0.17572248637030413,0.015042389897223845
766725.5128087449,734181.553423144,124127.66188095472,59962.037512302406,16492.591161509365,28058.20867204007,1522.1446713095145,3277.0879336020885,2676.1969606411103,399.5675875137175,199.25635307960263,884.3060566165747,4.116688424856665e-06,328670.0642523297,0.10949089704119373,0.017817413649204975
761079.4009876809,716637.1735211092,130849.58247945643,60371.22931202287,16448.642236299445,28048.989466629093,1861.0667740515307,3333.132199043443,2966.0208147081994,967.5046568271541,225.7088280926275,768.555722293563,4.157930203606203e-06,499999.9999967632,0.18966885286537624,0.017828796547188223
793851.0428012385,732151.5718836609,122033.69944265431,59278.76153800983,16340.1853810759,28135.62715916881,2449.580839959252,3640.0718796202295,2945.903077162276,428.5136004086173,193.12699109238577,728.0160212466062,4.277953505656666e-06,421278.3998977256,0.1999999999998572,0.011300373055591692
763768.949725896,727279.7868134729,119539.68556534399,60143.442134142715,16045.874760924056,28265.25833003841,1553.0851235722962,3514.6440825038912,2718.1209920277493,232.88142824553933,217.2270714104678,793.7049547180832,2.5513407757016243e-06,281594.0602754704,0.10256920542865913,0.011856643598909722
776940.7442900214,730651.4300000117,119217.7982663307,61696.06287344759,16096.512884701093,28369.22392343561,2206.453752688805,3268.3364407583326,2908.957790560373,195.48905823220792,317.4090371967602,893.4236876045298,4.68997352134034e-06,406305.75250880787,0.1648279490697351,0.011019760405945891
735970.1712854092,692845.434221599,117890.81867988646,60126.393598406474,16647.259097019818,26177.074412332513,2038.2007710922667,3288.391908528579,2709.794219171119,168.90152408380945,247.201226225147,807.2905972616268,5.055421550451176e-06,441812.0807710335,0.19999999999937962,0.018109917517242977
797689.115546883,709986.7909739513,128365.00287920913,62296.368129841,15915.27489087384,29088.331435492175,3484.5527246195493,3564.156931051683,2881.3118119969026,872.3303775146428,339.38695967304955,927.1629681508366,2.726186427702376e-06,404943.723372257,0.14781074112140466,0.01935392661395534
764217.9823059975,724626.4377812727,122254.403348481,58830.13845221494,16680.046059414108,27199.461525042287,1653.7675998693326,3354.5348711240986,3073.4390189682827,312.31278311516434,135.55876109245693,722.0019171056057,3.828044805255447e-06,466855.238315243,0.19999999999866291,0.013443080386373098
763995.2396504455,741066.5682197094,120177.18620212184,61423.80566265031,16358.723159528026,27801.483877543804,1380.8012266913709,3254.461134130634,2836.1918351787344,221.95603734634193,285.8535267525923,903.6264768214437,5.418275523445903e-06,352573.2118708965,0.12033725158339234,0.011081875887773767
760264.6145352143,740137.4813091519,120614.48630829337,60317.53101677111,16297.351008928174,27599.329535953115,928.1516242530157,3465.9701589175393,2682.533017205395,343.491547791122,212.55970032801358,720.5743054367605,3.369584675650359e-06,290469.13400027226,0.09916208975511132,0.016242492058428724
777847.0380566373,731622.2001906687,121772.52136716318,58683.833389627966,16392.688625885075,27571.548327720047,1817.1673842800785,3621.6224987009236,2855.8855207758775,383.8747574846381,150.37380562427933,765.2858595254814,2.6384171785716438e-06,320079.6281113155,0.12819139884310118,0.008641983706787582
784731.4705613906,753732.6721639311,118836.27682658432,59762.7352337572,16092.67874686869,27130.16581848547,1639.1329338354562,3437.365005851756,2817.1292690794435,205.95431740684046,203.91453206061811,850.3602450256143,4.610171954442584e-06,305195.0777366932,0.10222714366059751,0.012003575850993497
764283.2804016501,749656.2993872599,118585.16384838629,60115.01637957756,16401.8047735931,27880.059328291125,881.6257498921581,3351.8073501750528,2752.3123839991913,152.147382389742,202.64530060972658,879.8868367107224,5.261687736987637e-06,290090.62660524406,0.07775607685837566,0.012133802257867251
