data_set,model,rep,ll
ZhouJHS,model_0,86,-817.3999675265679
ZhouJHS,model_0,87,-986.7730267028571
ZhouJHS,model_0,88,-988.5165897778425
ZhouJHS,model_0,89,-934.7332824223404
ZhouJHS,model_0,90,-677.8519153235937
ZhouJHS,model_0,91,-891.3532288378509
ZhouJHS,model_0,92,-844.750136399998
ZhouJHS,model_0,93,-750.4096367975503
ZhouJHS,model_0,94,-719.3247429967535
ZhouJHS,model_0,95,-820.1624420262307
ZhouJHS,model_0,96,-802.670423120178
ZhouJHS,model_0,97,-702.4048675783644
ZhouJHS,model_0,98,-800.1898337005359
ZhouJHS,model_0,99,-949.6022871499968
ZhouJHS,model_1,0,-539.4148438513635
ZhouJHS,model_1,1,-444.53161326171397
ZhouJHS,model_1,2,-449.8120327451262
ZhouJHS,model_1,3,-511.2050082186246
ZhouJHS,model_1,4,-473.1250529954655
ZhouJHS,model_1,5,-450.9619027403237
ZhouJHS,model_1,6,-595.6937220483228
ZhouJHS,model_1,7,-430.8787119655793
ZhouJHS,model_1,8,-495.60366352132274
ZhouJHS,model_1,9,-573.0569461073087
ZhouJHS,model_1,10,-617.0722245875339
ZhouJHS,model_1,11,-563.014560565513
ZhouJHS,model_1,12,-505.8807779808051
ZhouJHS,model_1,13,-379.5451755357627
ZhouJHS,model_1,14,-420.08837865826445
ZhouJHS,model_1,15,-491.1991384966419
ZhouJHS,model_1,16,-450.30902755422443
ZhouJHS,model_1,17,-530.5975993717963
ZhouJHS,model_1,18,-390.22924803752517
ZhouJHS,model_1,19,-475.1916502228397
ZhouJHS,model_1,20,-667.585145682971
ZhouJHS,model_1,21,-378.01280423527317
ZhouJHS,model_1,22,-460.9109550307079
ZhouJHS,model_1,23,-488.1960235040789
ZhouJHS,model_1,24,-551.5272004326018
ZhouJHS,model_1,25,-384.20892790063846
ZhouJHS,model_1,26,-426.85959977181125
ZhouJHS,model_1,27,-583.4478777592611
ZhouJHS,model_1,28,-551.2536343369059
ZhouJHS,model_1,29,-414.8709709308587
ZhouJHS,model_1,30,-469.3390233478358
ZhouJHS,model_1,31,-413.5325661095773
ZhouJHS,model_1,32,-516.7704493305628
ZhouJHS,model_1,33,-481.58468107164003
ZhouJHS,model_1,34,-453.06101866126414
ZhouJHS,model_1,35,-485.1261604218604
ZhouJHS,model_1,36,-420.0741872226707
ZhouJHS,model_1,37,-394.19621755339404
ZhouJHS,model_1,38,-556.3639691906915
ZhouJHS,model_1,39,-509.57296013028935
ZhouJHS,model_1,40,-409.9943145649769
ZhouJHS,model_1,41,-543.720742731597
ZhouJHS,model_1,42,-542.5764185225447
ZhouJHS,model_1,43,-392.7532197633493
ZhouJHS,model_1,44,-552.801049799567
ZhouJHS,model_1,45,-575.4810237800241
ZhouJHS,model_1,46,-626.0287176462077
ZhouJHS,model_1,47,-588.0074760098702
ZhouJHS,model_1,48,-469.47826608765456
ZhouJHS,model_1,49,-569.0088223257872
ZhouJHS,model_1,50,-551.0058338945976
ZhouJHS,model_1,51,-627.9991922476352
ZhouJHS,model_1,52,-400.1743122020742
ZhouJHS,model_1,53,-513.8023599684363
ZhouJHS,model_1,54,-490.41292377966425
ZhouJHS,model_1,55,-532.8097859490304
ZhouJHS,model_1,56,-368.44210789158313
ZhouJHS,model_1,57,-472.0986242424033
ZhouJHS,model_1,58,-408.1066202045356
ZhouJHS,model_1,59,-441.4589618505747
ZhouJHS,model_1,60,-487.6041472414415
ZhouJHS,model_1,61,-331.23898540680204
ZhouJHS,model_1,62,-440.82757512755614
ZhouJHS,model_1,63,-514.2004324492964
ZhouJHS,model_1,64,-590.8026589406833
ZhouJHS,model_1,65,-334.76384179281854
ZhouJHS,model_1,66,-595.0229225509181
ZhouJHS,model_1,67,-584.7943547215858
ZhouJHS,model_1,68,-507.5148459208352
ZhouJHS,model_1,69,-545.1073976960888
ZhouJHS,model_1,70,-488.5072666867238
ZhouJHS,model_1,71,-371.02910040827146
ZhouJHS,model_1,72,-488.43897931570285
ZhouJHS,model_1,73,-520.3407393321424
ZhouJHS,model_1,74,-408.307301357793
ZhouJHS,model_1,75,-605.3449045836305
ZhouJHS,model_1,76,-532.3125362942287
ZhouJHS,model_1,77,-400.1863555610866
ZhouJHS,model_1,78,-435.3997828027907
ZhouJHS,model_1,79,-466.21693887667465
ZhouJHS,model_1,80,-414.9138931111566
ZhouJHS,model_1,81,-445.9968801281492
ZhouJHS,model_1,82,-402.8330418692825
ZhouJHS,model_1,83,-497.506692606439
ZhouJHS,model_1,84,-467.4855370904717
ZhouJHS,model_1,85,-348.9669652348284
ZhouJHS,model_1,86,-496.45008771211883
ZhouJHS,model_1,87,-501.41697633444727
ZhouJHS,model_1,88,-600.0528369782439
ZhouJHS,model_1,89,-699.2015093547941
ZhouJHS,model_1,90,-424.9631177029409
ZhouJHS,model_1,91,-643.4748909708436
ZhouJHS,model_1,92,-621.4875941886537
ZhouJHS,model_1,93,-563.1740012865696
ZhouJHS,model_1,94,-530.6841504398774
ZhouJHS,model_1,95,-583.7719642722906
