ll,T_NDH,T_ND,T_AMH_Alt,p_AMH_Alt,N_Anc,N_Yor,N_ND,N_Den,N_Alt,model,T_Gho,T_Gho_Den,p_Gho_Den,N_Gho
-33.32475495543447,781284.1689602314,710227.2232739608,249192.36617026365,0.0867977868286316,16149.923259986435,27727.893793816587,2518.2869094312487,3601.2592333948123,2386.829673709094,87,3999980.887468653,90933.32271831046,0.0009346632258982,8726.029557757396
-33.45070437468101,788382.2923082671,720584.5503222799,245511.93029896065,0.0844296160780035,16033.252672682062,27940.8079644169,2385.116203556017,3580.6911950220856,2387.555023327929,88,2933981.783379655,92863.62161888483,0.0016869357388431,6917.321512051726
-35.59584423695834,728244.932661959,707995.8223906535,244098.87929176688,0.0886577996310842,16966.906493712802,26209.827775889804,723.4008837765309,3612.765437143692,2304.3841602297903,89,3999999.999993149,92016.04149610478,0.0009021999112989,8298.348696509434
-32.92629359276195,778332.5362550876,727582.8425880164,246902.99196251985,0.0863922128652253,16193.56900121706,27643.877116782696,1777.2156799214868,3643.513374397828,2379.3057532123594,90,3997706.736833544,92670.41801629392,0.0009525962029538,6137.036900946991
-34.47917576899846,765054.9342328286,730846.7594051156,241034.1598879989,0.0802454303787449,16362.400205564962,27435.682705150557,1202.978980356604,3718.4786054705687,2410.0290779546945,91,3632120.080851113,172895.47748617252,0.0017845734668534,99999.99999901307
-35.88277686061284,787107.4766236962,769503.4569911391,265026.41844318545,0.09635285758089,16101.64559635276,27745.023036817154,580.245992992935,3509.6441309646725,2456.722212254492,92,898324.7700975968,122255.57880702616,0.0120367434435848,99999.70035092652
-34.76496970178091,778028.4322955017,687694.1259569613,263027.109610858,0.092282316158346,16216.136004783042,27589.01012629305,3225.170847902938,3482.703776944972,2436.5419890315834,93,1519955.4032305188,90000.00077689964,0.0039861298715449,8989.160486315843
-34.323318732906486,783108.1454170472,700462.8638820823,249768.31289569772,0.0864264139077671,16115.668637749704,27818.18019673222,2946.5615971551656,3579.748231322057,2391.105662209421,94,3999999.999892863,105309.5530754236,0.001070826418097,30008.13317629757
-34.76395442399623,766680.2530959346,716897.2820615366,252481.6762320839,0.0858395357173347,16360.54838354573,27422.23146155121,1755.7866718549142,3666.57959424084,2441.4538596234315,95,2598364.701742785,141123.7376176953,0.002577069108642,99999.99999999984
-72.01462496543539,738787.5983010861,646362.5932523417,236526.7334768715,0.0961437340204824,16836.590407274765,26291.965561337285,3286.192640512358,1750.902568918651,2086.595274881745,96,738787.5983013381,90205.69412664992,0.0292849052713496,83261.35598450774
-33.22955059316328,787675.4883486487,724627.0047957345,250818.0459786053,0.0866060240959966,16048.46374502296,27906.487003599093,2206.632912579174,3627.216923828172,2413.6834415246267,97,3789479.7770593422,92348.49387865816,0.0010575687901078,6951.730980908772
-33.47168997912378,762867.3076283851,706988.5173648646,251701.67901996564,0.0892022027677487,16438.12222387699,27204.798390292613,1986.575536269598,3610.041503989356,2378.296896524233,98,3999999.999999999,90798.72482295938,0.0009035517261154,9607.27201166133
-33.81848090226991,793722.1513782174,715308.8132665083,248600.861314044,0.0851577801476259,15951.816250400554,28077.8556636314,2762.2609936661624,3560.641720795864,2404.986999524195,99,2703448.75841078,91587.4269625011,0.0018966822758595,6742.847205027499
-33.48091278499615,759919.6718913993,754108.2305570338,245868.98013971795,0.0845792353247502,16467.19761822469,27154.77414161708,199.1623320173964,3669.6118426338767,2405.997088379511,100,2916490.522086792,101364.57477162496,0.0018264198096721,6117.518863251707
-33.090173109581,760819.8275691896,721899.444241433,248347.9843202144,0.0872157292774407,16463.024702549712,27163.42724611867,1371.9663031954556,3634.015639492676,2379.5596567337457,101,3999999.995766002,94418.71464064428,0.0009650387957987,8310.830539270428
-32.882886997886075,771453.4107889225,742195.1202530268,255886.3768964843,0.0882924007964366,16299.685504564002,27451.16730044142,1010.5971549735424,3687.617661562271,2451.213139924387,102,2918762.7562252544,96289.99762803098,0.0015848177078285,4921.572950365967
