ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-691.1670294069434,718755.3174518286,504018.9885874634,124451.41675906058,86371.99027260458,16511.3166703449,27270.9446373968,11142.352654703767,2621.7317805325915,3317.9448225083047,516.2656945560904,281.41573156649685,1356.7171271655209,1.955043034443689e-05
-433.60195121414887,737803.9174707354,503103.9856793782,124342.87424763592,87495.77759163988,16365.785495146083,27673.73525724279,12300.505408052528,2963.5509256111186,3250.5285174731703,508.2493365715139,395.322343102214,1763.233814110297,2.1534357253410385e-05
-508.6082332506239,723713.8227240259,487816.6586440182,128642.6089236206,86393.71871626974,16885.51008057922,26688.52722412193,12300.231661574806,2776.661825973724,3250.021612976091,576.2141709990665,300.7258557057708,1431.3321116585353,1.7058741693559612e-05
-371.94569403767184,747098.577885369,511474.1385294584,126539.50351351534,82741.8068148868,16274.75493425026,27240.6106327021,12317.454050308626,2916.63005590875,3383.53679427922,558.5004108694912,112.24946385159508,1411.5290603313103,1.965545148072541e-05
-600.5598348101772,731409.7289417625,493488.1098108133,126503.11258361512,86392.49331389475,16729.939240689,28674.86157122475,12313.789784700515,2738.419208101628,3236.11874183516,566.6160249519547,347.6612058718428,1702.237977960228,2.463135586640204e-05
-465.6749845786025,723738.5557371526,474596.2967606977,132356.79622400063,84293.95759204497,16794.313307422828,27570.254855306463,13396.523545518849,2693.1985864994813,3107.907713415124,705.8100464441983,203.03816835607577,1061.5061170634424,1.1622353069983448e-05
-453.6432800215874,709031.0627343877,474407.3681381829,128648.36392029854,85721.03255914184,17056.007842202962,26816.9706851782,12549.2557387552,2693.305383386959,3117.703783750794,507.27344274391055,317.90985595050785,1524.6557205751683,2.0486109753877217e-05
-375.55945011878487,716362.4933815137,499506.7336325497,126715.85708703104,85847.80682023725,16911.376563234207,26967.354298008155,11594.519471015132,2942.4196914733307,3276.46411741071,564.4564208409607,341.9371023788576,1548.677481203012,1.839918307476224e-05
-330.36983106657897,748138.5359842909,452207.7611124405,125429.64398953096,82367.44366623262,16159.34938726634,26759.698479857456,15017.479266632085,2947.987038747319,3083.2564642000566,494.1858885474903,110.8301934026506,1353.199544984809,1.6446647763195494e-05
-330.7316296405663,733475.9586843841,522484.0125407297,122716.62602205684,83419.63185994525,16530.268991746318,28468.743778382526,11292.530422586768,2721.528840763551,3385.768230752152,377.3294754001536,142.74922847541262,1377.0498956438316,3.043643243311763e-05
-319.6684640554095,757454.847943766,538490.7279928133,132135.03720814473,84661.75158756439,16194.731289141951,28254.88514764407,11208.785137326942,2879.2493868462866,3412.1104663425385,718.5003235733736,199.25877724121472,1403.599557645222,1.6382982195759065e-05
-409.73952188213786,734205.5478241402,479974.13854552846,123464.79878414836,83415.90228036932,16960.076424267365,28534.13114219169,13205.143787382764,2805.3694477934173,3158.832208239651,410.5384089340503,167.6319249453258,1593.640557768955,2.500717178814652e-05
-471.5521655739112,720165.5538931903,485551.0115986127,131040.1391115467,85723.77222571417,16886.278691261825,27347.754605178936,11779.456633996351,2896.4193001659883,3223.2282663468127,619.6803595274542,291.78350926566844,1754.0959702531034,1.4262932033033304e-05
-293.84850649002465,741610.9357659429,517941.7815355892,129421.63744957208,82933.09338210545,16593.875354980344,26264.211772592327,11794.04715787372,2817.9705211589576,3329.214791209746,636.3011233547126,141.67778669980115,1291.1119244234903,1.1255705045025068e-05
-372.7854100032709,775857.8919032913,476944.90739714826,124822.08267581808,84310.17380200939,15854.451524963471,28831.501830099765,15075.274937842065,2723.564076419744,3120.3526408846888,427.440710864132,220.7232032869462,1276.0447081079983,2.564811314847505e-05
-374.4106774008024,755520.9762080759,498729.2872362736,135899.56526019835,86001.15181343879,16137.45406938794,27441.68603057699,13917.875496708904,2912.6468249413515,3197.6817443645223,930.1687254623574,342.100616160437,1576.4818794579908,9.290187682003767e-06
-359.9670255763517,756670.9433297166,457766.3564299503,121255.91327878142,83466.63358938605,15998.158106458915,27581.699013988196,15847.882821752544,2492.074091099992,3086.703041388472,318.55636033280655,166.9557753103422,1469.530869101896,2.887968894399316e-05
-472.01070360622987,741751.3715605129,532679.7089139543,125432.59250206644,86053.28265837402,16331.843338895387,27260.803030796626,11363.59765407997,2887.7973940015595,3451.59330776901,488.5675531454044,365.2654779092711,1492.788713623266,2.431174678713993e-05
-372.0478922758242,739192.6176511503,498551.9192520997,136806.4288674236,85112.03772096767,16866.891099541,27019.45970820339,12818.483799226897,2810.15154661383,3266.6155872235136,895.8493180588677,286.1357456767277,1501.4022058578614,8.553696217586816e-06
-404.145613066484,728494.7477222865,519626.3086287822,136275.9838705089,84184.16203096848,16624.883561122406,26135.39927239512,11383.3513881806,2837.963809343442,3299.1155563147213,950.4369356245048,203.98754454287587,1469.178618247547,6.516549893303715e-06
