ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-426.8767758456884,758640.2070653541,531486.1245379607,135589.8397829534,86471.57016456513,16163.282971901192,27861.89387639018,11561.98393025379,2967.287667702034,3428.864316057046,900.7004643374974,304.3338622885213,1647.9383672401636,1.0735512662268672e-05
-452.44174067395534,805568.7464740437,534135.0322475842,130986.58741977684,87331.98976575934,15484.36057238549,28050.396412523674,13065.65832934582,3052.857890860835,3434.4369560728,678.2784984474818,348.9170161934068,1539.4962564054165,1.769849595718495e-05
-445.9136348282021,772442.666296577,534137.381031946,125304.16397213492,83053.96561119301,15841.53633558135,28320.26486903765,12289.941668547825,2914.34964875573,3449.5602962007324,483.2024395160477,122.32498284103067,1437.542910469689,2.452574343237781e-05
-431.7963550207575,787338.4644411632,524150.6438032445,127856.39734675028,82928.77222778778,15754.919478232125,27545.816216645657,13591.046299833628,2850.937524168919,3385.905846930126,545.4643368460044,132.0056534629532,1902.68232671846,1.956037405623489e-05
-449.6727039217641,812812.88292958,502261.2594784009,132002.1755858555,89454.06173123227,15424.208619596287,28409.60965856687,15543.41754506682,2722.0362136458234,3194.832876245557,725.4501752983322,599.4512807825736,1806.0564958270893,1.5725102415480176e-05
-328.6497064730535,779048.3034585008,542106.5170159696,133681.30799952673,83796.58371368906,15641.620226088298,28447.78635827143,11685.8415458015,2914.251713717676,3428.6594047091594,764.5045436446993,193.0106371163012,1407.9556278859525,1.3552030671856598e-05
-367.402248722144,785303.0470916767,551208.8666401658,135251.44159407043,83662.72276844556,15815.193577648684,28737.5540215602,11988.066466034305,3198.7207985820523,3573.873287285832,1052.9742308786842,144.94675966353498,1304.5444551228495,7.462741581011908e-06
-370.69461865567,738561.4618242033,543490.4500156019,133721.5881926702,84836.94130796459,16619.933767487357,26362.52014438798,9861.689847042995,2932.9020572121763,3520.9732519870563,850.1307699917536,187.2393690308723,1358.266223027663,1.2673718252411805e-05
-232.44559280567412,811677.6602154125,556647.9485603436,127286.9205432366,83646.75557224665,15131.866658642444,28861.308843860515,12637.85577066854,3148.8846097215364,3530.5751783167725,511.8296551840426,155.6850713784388,1537.6364713624223,1.91783538854068e-05
-477.5557047335001,762104.5758446923,542161.5568326648,135515.39760481843,82781.84920187628,16298.517609379853,28204.66285306924,11566.718049063356,3097.753654228813,3551.4777136566604,925.961007877442,110.71591360381323,1710.1437132882725,7.737955516528734e-06
